"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Peoria County, IL","17143","25-29 years","25-29",759
,"Peoria County, IL","17143","30-34 years","30-34",662
,"Peoria County, IL","17143","35-39 years","35-39",285
,"Peoria County, IL","17143","40-44 years","40-44",42
,"Peoria County, IL","17143","45-49 years","45-49",Suppressed
,"Peoria County, IL","17143","50 years and over","50+",0
,"Rock Island County, IL","17161","Under 15 years","15",Suppressed
,"Rock Island County, IL","17161","15-19 years","15-19",105
,"Rock Island County, IL","17161","20-24 years","20-24",413
,"Rock Island County, IL","17161","25-29 years","25-29",530
,"Rock Island County, IL","17161","30-34 years","30-34",406
,"Rock Island County, IL","17161","35-39 years","35-39",231
,"Rock Island County, IL","17161","40-44 years","40-44",41
,"Rock Island County, IL","17161","45-49 years","45-49",Suppressed
,"Rock Island County, IL","17161","50 years and over","50+",0
,"St. Clair County, IL","17163","Under 15 years","15",Suppressed
,"St. Clair County, IL","17163","15-19 years","15-19",187
,"St. Clair County, IL","17163","20-24 years","20-24",704
,"St. Clair County, IL","17163","25-29 years","25-29",989
,"St. Clair County, IL","17163","30-34 years","30-34",771
,"St. Clair County, IL","17163","35-39 years","35-39",391
,"St. Clair County, IL","17163","40-44 years","40-44",64
,"St. Clair County, IL","17163","45-49 years","45-49",Suppressed
,"St. Clair County, IL","17163","50 years and over","50+",0
,"Sangamon County, IL","17167","Under 15 years","15",Suppressed
,"Sangamon County, IL","17167","15-19 years","15-19",130
,"Sangamon County, IL","17167","20-24 years","20-24",407
,"Sangamon County, IL","17167","25-29 years","25-29",699
,"Sangamon County, IL","17167","30-34 years","30-34",671
,"Sangamon County, IL","17167","35-39 years","35-39",295
,"Sangamon County, IL","17167","40-44 years","40-44",34
,"Sangamon County, IL","17167","45-49 years","45-49",Suppressed
,"Sangamon County, IL","17167","50 years and over","50+",Suppressed
,"Tazewell County, IL","17179","Under 15 years","15",Suppressed
,"Tazewell County, IL","17179","15-19 years","15-19",68
,"Tazewell County, IL","17179","20-24 years","20-24",245
,"Tazewell County, IL","17179","25-29 years","25-29",477
,"Tazewell County, IL","17179","30-34 years","30-34",412
,"Tazewell County, IL","17179","35-39 years","35-39",154
,"Tazewell County, IL","17179","40-44 years","40-44",31
,"Tazewell County, IL","17179","45-49 years","45-49",Suppressed
,"Tazewell County, IL","17179","50 years and over","50+",0
,"Will County, IL","17197","Under 15 years","15",Suppressed
,"Will County, IL","17197","15-19 years","15-19",257
,"Will County, IL","17197","20-24 years","20-24",969
,"Will County, IL","17197","25-29 years","25-29",2031
,"Will County, IL","17197","30-34 years","30-34",2515
,"Will County, IL","17197","35-39 years","35-39",1308
,"Will County, IL","17197","40-44 years","40-44",209
,"Will County, IL","17197","45-49 years","45-49",25
,"Will County, IL","17197","50 years and over","50+",Suppressed
,"Winnebago County, IL","17201","Under 15 years","15",Suppressed
,"Winnebago County, IL","17201","15-19 years","15-19",217
,"Winnebago County, IL","17201","20-24 years","20-24",811
,"Winnebago County, IL","17201","25-29 years","25-29",1105
,"Winnebago County, IL","17201","30-34 years","30-34",904
,"Winnebago County, IL","17201","35-39 years","35-39",379
,"Winnebago County, IL","17201","40-44 years","40-44",71
,"Winnebago County, IL","17201","45-49 years","45-49",Suppressed
,"Winnebago County, IL","17201","50 years and over","50+",Suppressed
,"Unidentified Counties, IL","17999","Under 15 years","15",10
,"Unidentified Counties, IL","17999","15-19 years","15-19",1281
,"Unidentified Counties, IL","17999","20-24 years","20-24",5123
,"Unidentified Counties, IL","17999","25-29 years","25-29",7297
,"Unidentified Counties, IL","17999","30-34 years","30-34",5209
,"Unidentified Counties, IL","17999","35-39 years","35-39",2068
,"Unidentified Counties, IL","17999","40-44 years","40-44",363
,"Unidentified Counties, IL","17999","45-49 years","45-49",16
,"Unidentified Counties, IL","17999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Illinois (17)"
"Year: 2018"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 12:32:43 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 12:32:43 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
