"Notes","State of Residence","State of Residence Code","Plurality","Plurality Code",Births
,"Alabama","01","Single","1",55655
,"Alabama","01","Twin","2",2015
,"Alabama","01","Triplet or higher","3",91
,"Alaska","02","Single","1",9741
,"Alaska","02","Twin","2",330
,"Alaska","02","Triplet or higher","3",15
,"Arizona","04","Single","1",78082
,"Arizona","04","Twin","2",2545
,"Arizona","04","Triplet or higher","3",96
,"Arkansas","05","Single","1",35854
,"Arkansas","05","Twin","2",1124
,"Arkansas","05","Triplet or higher","3",40
,"California","06","Single","1",440699
,"California","06","Twin","2",13851
,"California","06","Triplet or higher","3",370
,"Colorado","08","Single","1",60867
,"Colorado","08","Twin","2",1990
,"Colorado","08","Triplet or higher","3",28
,"Connecticut","09","Single","1",33429
,"Connecticut","09","Twin","2",1265
,"Connecticut","09","Triplet or higher","3",31
,"Delaware","10","Single","1",10323
,"Delaware","10","Twin","2",295
,"Delaware","10","Triplet or higher","3",Suppressed
,"District of Columbia","11","Single","1",8887
,"District of Columbia","11","Twin","2",314
,"District of Columbia","11","Triplet or higher","3",11
,"Florida","12","Single","1",214480
,"Florida","12","Twin","2",6906
,"Florida","12","Triplet or higher","3",156
,"Georgia","13","Single","1",121778
,"Georgia","13","Twin","2",4281
,"Georgia","13","Triplet or higher","3",113
,"Hawaii","15","Single","1",16443
,"Hawaii","15","Twin","2",511
,"Hawaii","15","Triplet or higher","3",18
,"Idaho","16","Single","1",20690
,"Idaho","16","Twin","2",701
,"Idaho","16","Triplet or higher","3",12
,"Illinois","17","Single","1",139561
,"Illinois","17","Twin","2",5102
,"Illinois","17","Triplet or higher","3",152
,"Indiana","18","Single","1",78876
,"Indiana","18","Twin","2",2699
,"Indiana","18","Triplet or higher","3",71
,"Iowa","19","Single","1",36433
,"Iowa","19","Twin","2",1320
,"Iowa","19","Triplet or higher","3",32
,"Kansas","20","Single","1",35097
,"Kansas","20","Twin","2",1152
,"Kansas","20","Triplet or higher","3",12
,"Kentucky","21","Single","1",52091
,"Kentucky","21","Twin","2",1799
,"Kentucky","21","Triplet or higher","3",32
,"Louisiana","22","Single","1",57526
,"Louisiana","22","Twin","2",2029
,"Louisiana","22","Triplet or higher","3",60
,"Maine","23","Single","1",11884
,"Maine","23","Twin","2",408
,"Maine","23","Triplet or higher","3",19
,"Maryland","24","Single","1",68592
,"Maryland","24","Twin","2",2397
,"Maryland","24","Triplet or higher","3",91
,"Massachusetts","25","Single","1",66664
,"Massachusetts","25","Twin","2",2373
,"Massachusetts","25","Triplet or higher","3",72
,"Michigan","26","Single","1",105973
,"Michigan","26","Twin","2",3950
,"Michigan","26","Triplet or higher","3",109
,"Minnesota","27","Single","1",65015
,"Minnesota","27","Twin","2",2270
,"Minnesota","27","Triplet or higher","3",59
,"Mississippi","28","Single","1",35697
,"Mississippi","28","Twin","2",1251
,"Mississippi","28","Triplet or higher","3",52
,"Missouri","29","Single","1",70611
,"Missouri","29","Twin","2",2593
,"Missouri","29","Triplet or higher","3",65
,"Montana","30","Single","1",11184
,"Montana","30","Twin","2",320
,"Montana","30","Triplet or higher","3",Suppressed
,"Nebraska","31","Single","1",24551
,"Nebraska","31","Twin","2",894
,"Nebraska","31","Triplet or higher","3",43
,"Nevada","32","Single","1",34638
,"Nevada","32","Twin","2",1026
,"Nevada","32","Triplet or higher","3",18
,"New Hampshire","33","Single","1",11579
,"New Hampshire","33","Twin","2",416
,"New Hampshire","33","Triplet or higher","3",0
,"New Jersey","34","Single","1",97667
,"New Jersey","34","Twin","2",3457
,"New Jersey","34","Triplet or higher","3",99
,"New Mexico","35","Single","1",22453
,"New Mexico","35","Twin","2",573
,"New Mexico","35","Triplet or higher","3",13
,"New York","36","Single","1",218244
,"New York","36","Twin","2",7754
,"New York","36","Triplet or higher","3",240
,"North Carolina","37","Single","1",114948
,"North Carolina","37","Twin","2",3873
,"North Carolina","37","Triplet or higher","3",133
,"North Dakota","38","Single","1",10290
,"North Dakota","38","Twin","2",340
,"North Dakota","38","Triplet or higher","3",Suppressed
,"Ohio","39","Single","1",130554
,"Ohio","39","Twin","2",4431
,"Ohio","39","Triplet or higher","3",149
,"Oklahoma","40","Single","1",48129
