Session Title,Firearm injury in ED by state and BRFSS Age,,,,
Session ID,2770964,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2023 - 12/31/2023 (Based On Arrival Date),,,,
Measure,Number of ED Encounters,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,10/29/2025,,,,
,,,,,
,,,,,
,,,ED Diagnoses,Firearm Injury,None of the above
Year,Month,State of Residence (U.S.),Age at Time of Visit,,
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,74393
,,Colorado,Less than 18 Years,10 or fewer,23043
,,,≥ 18 and < 25 Years,13,8336
,,,≥ 25 and < 35 Years,10 or fewer,12292
,,,≥ 35 and < 45 Years,10 or fewer,10352
,,,≥ 45 and < 55 Years,10 or fewer,8255
,,,≥ 55 and < 65 Years,10 or fewer,7907
,,,65 Years or more,10 or fewer,15280
,,,No value,10 or fewer,10 or fewer
,,,Total,32,85465
,,Indiana,Less than 18 Years,10 or fewer,12870
,,,≥ 18 and < 25 Years,17,7733
,,,≥ 25 and < 35 Years,14,12035
,,,≥ 35 and < 45 Years,10 or fewer,10880
,,,≥ 45 and < 55 Years,10 or fewer,10198
,,,≥ 55 and < 65 Years,10 or fewer,10500
,,,65 Years or more,10 or fewer,20504
,,,No value,10 or fewer,10 or fewer
,,,Total,48,84720
,,Connecticut,Less than 18 Years,10 or fewer,14860
,,,≥ 18 and < 25 Years,10 or fewer,6639
,,,≥ 25 and < 35 Years,10 or fewer,10827
,,,≥ 35 and < 45 Years,10 or fewer,10430
,,,≥ 45 and < 55 Years,10 or fewer,9265
,,,≥ 55 and < 65 Years,10 or fewer,10907
,,,65 Years or more,10 or fewer,21366
,,,No value,10 or fewer,10 or fewer
,,,Total,19,84294
,,Massachusetts,Less than 18 Years,10 or fewer,10878
,,,≥ 18 and < 25 Years,10 or fewer,6145
,,,≥ 25 and < 35 Years,10 or fewer,9892
,,,≥ 35 and < 45 Years,10 or fewer,9114
,,,≥ 45 and < 55 Years,10 or fewer,8015
,,,≥ 55 and < 65 Years,10 or fewer,8726
,,,65 Years or more,10 or fewer,17802
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,70572
,,Kentucky,Less than 18 Years,10 or fewer,15483
,,,≥ 18 and < 25 Years,10 or fewer,6327
,,,≥ 25 and < 35 Years,10 or fewer,9473
,,,≥ 35 and < 45 Years,10 or fewer,9412
,,,≥ 45 and < 55 Years,10 or fewer,9115
,,,≥ 55 and < 65 Years,10 or fewer,9345
,,,65 Years or more,10 or fewer,18874
,,,No value,10 or fewer,10 or fewer
,,,Total,23,78030
,,Louisiana,Less than 18 Years,29,15412
,,,≥ 18 and < 25 Years,31,7406
,,,≥ 25 and < 35 Years,24,10512
,,,≥ 35 and < 45 Years,10 or fewer,9947
,,,≥ 45 and < 55 Years,10 or fewer,8229
,,,≥ 55 and < 65 Years,10 or fewer,9251
,,,65 Years or more,10 or fewer,15913
,,,No value,10 or fewer,10 or fewer
,,,Total,103,76670
,,Wisconsin,Less than 18 Years,10 or fewer,14770
,,,≥ 18 and < 25 Years,10 or fewer,6193
,,,≥ 25 and < 35 Years,10 or fewer,9081
,,,≥ 35 and < 45 Years,10 or fewer,8638
,,,≥ 45 and < 55 Years,10 or fewer,7441
,,,≥ 55 and < 65 Years,10 or fewer,8752
,,,65 Years or more,10 or fewer,17953
,,,No value,10 or fewer,10 or fewer
,,,Total,22,72828
,,Minnesota,Less than 18 Years,10 or fewer,10445
,,,≥ 18 and < 25 Years,10 or fewer,5914
,,,≥ 25 and < 35 Years,10 or fewer,8919
,,,≥ 35 and < 45 Years,10 or fewer,8697
,,,≥ 45 and < 55 Years,10 or fewer,7221
,,,≥ 55 and < 65 Years,10 or fewer,8249
,,,65 Years or more,10 or fewer,17453
,,,No value,10 or fewer,10 or fewer
,,,Total,26,66898
,,Mississippi,Less than 18 Years,17,10287
,,,≥ 18 and < 25 Years,20,5112
,,,≥ 25 and < 35 Years,32,7710
,,,≥ 35 and < 45 Years,14,7344
,,,≥ 45 and < 55 Years,10 or fewer,6825
,,,≥ 55 and < 65 Years,10 or fewer,7350
,,,65 Years or more,10 or fewer,13791
,,,No value,10 or fewer,10 or fewer
,,,Total,97,58419
,,Maryland,Less than 18 Years,10 or fewer,9782
,,,≥ 18 and < 25 Years,11,5319
,,,≥ 25 and < 35 Years,10 or fewer,8867
,,,≥ 35 and < 45 Years,10 or fewer,8223
,,,≥ 45 and < 55 Years,10 or fewer,7105
,,,≥ 55 and < 65 Years,10 or fewer,8310
,,,65 Years or more,10 or fewer,15593
,,,No value,10 or fewer,13
,,,Total,23,63212
,,Tennessee,Less than 18 Years,10 or fewer,9087
,,,≥ 18 and < 25 Years,10 or fewer,3825
,,,≥ 25 and < 35 Years,10 or fewer,5748
,,,≥ 35 and < 45 Years,10 or fewer,5174
,,,≥ 45 and < 55 Years,10 or fewer,5136
,,,≥ 55 and < 65 Years,10 or fewer,5247
,,,65 Years or more,10 or fewer,10572
,,,No value,10 or fewer,10 or fewer
,,,Total,17,44789
,,Oregon,Less than 18 Years,10 or fewer,8342
,,,≥ 18 and < 25 Years,10 or fewer,4161
,,,≥ 25 and < 35 Years,10 or fewer,6311
,,,≥ 35 and < 45 Years,10 or fewer,5982
,,,≥ 45 and < 55 Years,10 or fewer,5453
,,,≥ 55 and < 65 Years,10 or fewer,5941
,,,65 Years or more,10 or fewer,13445
,,,No value,10 or fewer,10 or fewer
,,,Total,23,49635
,,Oklahoma,Less than 18 Years,10 or fewer,5321
,,,≥ 18 and < 25 Years,10 or fewer,2384
,,,≥ 25 and < 35 Years,10 or fewer,3747
,,,≥ 35 and < 45 Years,10 or fewer,3695
,,,≥ 45 and < 55 Years,10 or fewer,3288
,,,≥ 55 and < 65 Years,10 or fewer,3555
,,,65 Years or more,10 or fewer,7397
,,,No value,10 or fewer,10 or fewer
,,,Total,22,29387
,,Iowa,Less than 18 Years,10 or fewer,6445
,,,≥ 18 and < 25 Years,10 or fewer,3066
,,,≥ 25 and < 35 Years,10 or fewer,4480
,,,≥ 35 and < 45 Years,10 or fewer,4117
,,,≥ 45 and < 55 Years,10 or fewer,3618
,,,≥ 55 and < 65 Years,10 or fewer,4109
,,,65 Years or more,10 or fewer,8456
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,34291
,,West Virginia,Less than 18 Years,10 or fewer,4274
,,,≥ 18 and < 25 Years,10 or fewer,2451
,,,≥ 25 and < 35 Years,10 or fewer,3342
,,,≥ 35 and < 45 Years,10 or fewer,3306
,,,≥ 45 and < 55 Years,10 or fewer,3419
,,,≥ 55 and < 65 Years,10 or fewer,3664
,,,65 Years or more,10 or fewer,7460
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,27916
,,Arkansas,Less than 18 Years,10 or fewer,9864
,,,≥ 18 and < 25 Years,10 or fewer,2836
,,,≥ 25 and < 35 Years,10 or fewer,4271
,,,≥ 35 and < 45 Years,10 or fewer,3934
,,,≥ 45 and < 55 Years,10 or fewer,3454
,,,≥ 55 and < 65 Years,10 or fewer,3585
