Session Title,"Base Patients, % with HbA1c 6.5+, % with BMI 30+, by state and BRFSS age",,,
Session ID,2748555,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Base Patient,,,
Session Date Range,1/1/2023 - 7/17/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,8/11/2025,,,
,,,,
,,,,
,Measures,Number of Patients,Percentage with Base Patient followed by Hemoglobin A1C 6.5% or more within 10 years (%),Percentage with Base Patient followed by BMI 30.0  or more within 10 years (%)
State of Residence (U.S.),Age in Years (Current),,,
,≥ 45 and < 55,397002,8.4%,51.7%
,≥ 55 and < 65,455843,12.2%,51.6%
,65 or more,811726,15.6%,49.2%
,No value,10 or fewer,-,-
,Total,3649222,6.7%,36.4%
South Carolina,Less than 18,664835,0.401%,7%
,≥ 18 and < 25,278482,1.3%,28.5%
,≥ 25 and < 35,406782,2.2%,43.9%
,≥ 35 and < 45,424557,4.9%,50.4%
,≥ 45 and < 55,416903,10.4%,54.4%
,≥ 55 and < 65,482762,15.6%,53.5%
,65 or more,933489,18.7%,44.9%
,No value,33,-,48.5%
,Total,3607843,9.1%,39.4%
Colorado,Less than 18,736337,0.282%,3.5%
,≥ 18 and < 25,292508,0.813%,18.7%
,≥ 25 and < 35,495708,1.1%,28.9%
,≥ 35 and < 45,479442,2.3%,33.8%
,≥ 45 and < 55,389198,5.3%,37%
,≥ 55 and < 65,376370,8.5%,37.1%
,65 or more,695511,11%,32%
,No value,17,-,-
,Total,3465091,4.3%,25.7%
New Jersey,Less than 18,442202,0.323%,5.8%
,≥ 18 and < 25,228822,0.867%,22.1%
,≥ 25 and < 35,372133,1.5%,37.1%
,≥ 35 and < 45,399026,3.5%,43.8%
,≥ 45 and < 55,396616,7.3%,45.6%
,≥ 55 and < 65,480398,11.8%,45.8%
,65 or more,882081,14.8%,39.4%
,No value,25,-,-
,Total,3201303,7.5%,35.5%
Indiana,Less than 18,606154,0.208%,6.3%
,≥ 18 and < 25,266038,0.875%,29.2%
,≥ 25 and < 35,392552,2%,46.7%
,≥ 35 and < 45,396133,4.9%,53%
,≥ 45 and < 55,379288,10.8%,56.9%
,≥ 55 and < 65,405732,16%,56.5%
,65 or more,745456,19.6%,50.9%
,No value,20,-,-
,Total,3191373,8.9%,41.8%
Minnesota,Less than 18,541403,0.261%,4.1%
,≥ 18 and < 25,242258,0.8%,20.2%
,≥ 25 and < 35,362197,1.6%,35%
,≥ 35 and < 45,390381,3.4%,42.8%
,≥ 45 and < 55,331273,7.6%,47%
,≥ 55 and < 65,369699,11.6%,47.4%
,65 or more,721654,15.1%,45.1%
,No value,10 or fewer,-,-
,Total,2958875,6.7%,34.5%
Connecticut,Less than 18,480918,0.373%,5.7%
,≥ 18 and < 25,237329,0.909%,20.5%
,≥ 25 and < 35,351548,1.4%,35.7%
,≥ 35 and < 45,364359,2.9%,44.6%
,≥ 45 and < 55,335086,6.4%,47.1%
,≥ 55 and < 65,408752,10.5%,48.2%
,65 or more,729171,14.2%,44.2%
,No value,31,-,41.9%
,Total,2907194,6.5%,35.8%
Kentucky,Less than 18,549361,0.439%,7.3%
,≥ 18 and < 25,224890,1.3%,31.6%
,≥ 25 and < 35,332028,2.1%,48%
,≥ 35 and < 45,334561,4.9%,53.7%
,≥ 45 and < 55,335676,10.8%,58.1%
,≥ 55 and < 65,367712,16.3%,57.4%
,65 or more,654894,19.5%,49.6%
,No value,30,-,-
,Total,2799152,9%,42.2%
Louisiana,Less than 18,474226,0.271%,7%
,≥ 18 and < 25,217651,0.895%,28.9%
,≥ 25 and < 35,310667,1.6%,44.9%
,≥ 35 and < 45,328284,4%,51.4%
,≥ 45 and < 55,301153,8.8%,55.4%
,≥ 55 and < 65,332404,13.5%,54.5%
,65 or more,604597,17.6%,48.2%
,No value,30,-,-
,Total,2569012,7.7%,40.6%
Maryland,Less than 18,284870,0.314%,5.3%
,≥ 18 and < 25,169755,0.861%,23.1%
,≥ 25 and < 35,310051,1.5%,38.5%
,≥ 35 and < 45,333210,3.4%,45.3%
,≥ 45 and < 55,289888,7.6%,48.1%
,≥ 55 and < 65,345120,12.1%,48%
,65 or more,623643,15.3%,41.3%
,No value,18,-,-
,Total,2356555,7.5%,37.6%
Oregon,Less than 18,436106,0.43%,5.1%
,≥ 18 and < 25,193696,0.992%,20.3%
,≥ 25 and < 35,304076,1.4%,29.7%
,≥ 35 and < 45,313189,3.1%,34.9%
,≥ 45 and < 55,267026,7.1%,39.1%
,≥ 55 and < 65,254481,11.5%,41%
,65 or more,505757,13.7%,38.4%
,No value,14,-,-
,Total,2274345,5.9%,29.2%
Washington,Less than 18,326553,0.175%,4.1%
,≥ 18 and < 25,154534,0.662%,18.1%
,≥ 25 and < 35,297676,1.2%,27.5%
,≥ 35 and < 45,312540,2.9%,33%
,≥ 45 and < 55,251222,6.5%,37.2%
,≥ 55 and < 65,253421,10.1%,38.5%
,65 or more,472800,12.8%,35%
,No value,10 or fewer,-,-
,Total,2068751,5.6%,28.2%
Mississippi,Less than 18,375375,0.41%,7.9%
,≥ 18 and < 25,163528,1.3%,33.7%
,≥ 25 and < 35,230369,2.3%,50.4%
,≥ 35 and < 45,237589,5.4%,56.1%
,≥ 45 and < 55,250558,11.4%,60.1%
,≥ 55 and < 65,279987,16.8%,58.1%
,65 or more,526188,20.1%,48.8%
,No value,22,-,63.6%
,Total,2063616,9.9%,43.8%
Iowa,Less than 18,424679,0.392%,6%
,≥ 18 and < 25,178155,1%,26.8%
,≥ 25 and < 35,244538,1.9%,44.6%
,≥ 35 and < 45,244048,4.2%,52%
,≥ 45 and < 55,216404,9.2%,55.6%
,≥ 55 and < 65,231993,13.5%,54.9%
,65 or more,456343,15.7%,49.2%
,No value,20,-,-
,Total,1996180,7.1%,39.1%
Arizona,Less than 18,271526,0.178%,4.2%
,≥ 18 and < 25,144103,0.663%,20.1%
,≥ 25 and < 35,249127,1.5%,33%
,≥ 35 and < 45,245590,3.6%,37.9%
,≥ 45 and < 55,228425,7.4%,40.6%
,≥ 55 and < 65,253369,10.3%,39.7%
,65 or more,522780,10.6%,32.2%
,No value,10 or fewer,-,-
,Total,1914923,5.9%,30.1%
