,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,18.5%,65.6%,227
,,Virgin Islands,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,10 or fewer
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,Colorado,Less than 1,22.1%,61.3%,421
,,,≥ 1 and < 5,11.8%,50.4%,629
,,,≥ 5 and < 18,2.7%,46.5%,553
,,,≥ 18 and < 50,1.7%,47.7%,989
,,,≥ 50 and < 65,3.3%,66.8%,331
,,,65 or more,7.3%,74.6%,464
,,,No value,-,-,10 or fewer
,,,Total,7.2%,55.2%,3387
,,North Dakota,Less than 1,-,60.6%,33
,,,≥ 1 and < 5,-,64.3%,42
,,,≥ 5 and < 18,-,60.5%,43
,,,≥ 18 and < 50,-,53.4%,146
,,,≥ 50 and < 65,-,50%,66
,,,65 or more,-,60.2%,98
,,,No value,-,-,10 or fewer
,,,Total,8.9%,56.8%,428
,,Minnesota,Less than 1,23.7%,63.7%,135
,,,≥ 1 and < 5,15.7%,62.6%,235
,,,≥ 5 and < 18,-,54.9%,206
,,,≥ 18 and < 50,3.7%,52%,594
,,,≥ 50 and < 65,-,55.9%,272
,,,65 or more,5.7%,60.9%,581
,,,No value,-,-,10 or fewer
,,,Total,6.9%,57.4%,2023
,,Pennsylvania,Less than 1,16.9%,70.6%,326
,,,≥ 1 and < 5,5.1%,65.3%,649
,,,≥ 5 and < 18,-,56.8%,658
,,,≥ 18 and < 50,0.868%,54.1%,1959
,,,≥ 50 and < 65,2.3%,61.6%,1089
,,,65 or more,4.3%,64.7%,2221
,,,No value,-,-,10 or fewer
,,,Total,3.4%,60.8%,6902
,,Oklahoma,Less than 1,14.9%,74.7%,87
,,,≥ 1 and < 5,-,68.2%,132
,,,≥ 5 and < 18,-,51.2%,129
,,,≥ 18 and < 50,-,45.2%,354
,,,≥ 50 and < 65,-,50.5%,182
,,,65 or more,3.4%,57.1%,350
,,,No value,-,-,10 or fewer
,,,Total,3.2%,54.5%,1234
,,Nevada,Less than 1,28.2%,51.3%,78
,,,≥ 1 and < 5,17.5%,47.4%,137
,,,≥ 5 and < 18,-,31.6%,57
,,,≥ 18 and < 50,-,40.8%,169
,,,≥ 50 and < 65,-,40%,70
,,,65 or more,-,66.4%,107
,,,No value,-,-,10 or fewer
,,,Total,9.9%,47.1%,618
,,Maryland,Less than 1,12.5%,68%,128
,,,≥ 1 and < 5,9.6%,71.8%,209
,,,≥ 5 and < 18,-,56.7%,178
,,,≥ 18 and < 50,-,48.8%,531
,,,≥ 50 and < 65,3.6%,55.9%,304
,,,65 or more,2.1%,63.7%,532
,,,No value,-,-,10 or fewer
,,,Total,3.6%,58.8%,1882
,,Nebraska,Less than 1,-,75%,28
,,,≥ 1 and < 5,-,43.9%,41
,,,≥ 5 and < 18,-,50%,46
,,,≥ 18 and < 50,-,52.1%,194
,,,≥ 50 and < 65,-,57.1%,98
,,,65 or more,-,64.6%,181
,,,No value,-,-,10 or fewer
,,,Total,3.7%,57.1%,588
,,Idaho,Less than 1,34.5%,72.4%,87
,,,≥ 1 and < 5,18.9%,56.1%,132
,,,≥ 5 and < 18,-,25%,80
,,,≥ 18 and < 50,-,19.9%,241
,,,≥ 50 and < 65,-,34.3%,108
,,,65 or more,4.7%,44%,257
,,,No value,-,-,10 or fewer
,,,Total,8.8%,39.2%,905
,,Connecticut,Less than 1,9.9%,57.2%,152
,,,≥ 1 and < 5,-,48.5%,241
,,,≥ 5 and < 18,-,42.1%,273
,,,≥ 18 and < 50,-,48.3%,768
,,,≥ 50 and < 65,-,58.4%,445
,,,65 or more,2%,70.2%,755
,,,No value,-,-,10 or fewer
,,,Total,2.2%,56.2%,2634
,,Alaska,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,10 or fewer
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,13
,,New York,Less than 1,14.6%,71.2%,233
,,,≥ 1 and < 5,6.8%,62.4%,500
,,,≥ 5 and < 18,-,52.5%,566
,,,≥ 18 and < 50,1.2%,47.9%,1613
,,,≥ 50 and < 65,1.9%,56.2%,918
,,,65 or more,2.3%,64.1%,1904
,,,No value,-,-,10 or fewer
,,,Total,2.7%,57.3%,5734
,,Vermont,Less than 1,-,64.7%,17
,,,≥ 1 and < 5,-,70.6%,17
,,,≥ 5 and < 18,-,69%,29
,,,≥ 18 and < 50,-,58.2%,67
,,,≥ 50 and < 65,-,73.8%,42
,,,65 or more,-,73%,111
,,,No value,-,-,10 or fewer
,,,Total,4.6%,68.6%,283
,,Florida,Less than 1,8.7%,62.9%,815
,,,≥ 1 and < 5,3.5%,49.9%,1892
,,,≥ 5 and < 18,1%,44.1%,1925
,,,≥ 18 and < 50,0.622%,48.8%,4340
,,,≥ 50 and < 65,1.1%,49.7%,1848
,,,65 or more,1.9%,55.6%,3446
,,,No value,-,-,10 or fewer
,,,Total,1.9%,50.9%,14266
,,Louisiana,Less than 1,12.8%,72.1%,226
,,,≥ 1 and < 5,4.4%,59.5%,383
,,,≥ 5 and < 18,-,21.1%,370
,,,≥ 18 and < 50,-,17.1%,1035
,,,≥ 50 and < 65,-,20.9%,436
,,,65 or more,-,27.4%,548
,,,No value,-,-,10 or fewer
,,,Total,1.9%,29.6%,2998
,,Rhode Island,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,23
,,,≥ 50 and < 65,-,-,14
,,,65 or more,-,70%,20
,,,No value,-,-,10 or fewer
,,,Total,-,54%,63
,,Indiana,Less than 1,14.9%,61%,141
,,,≥ 1 and < 5,-,46.4%,248
,,,≥ 5 and < 18,-,23.6%,242
,,,≥ 18 and < 50,-,21.2%,816
,,,≥ 50 and < 65,-,33.3%,403
,,,65 or more,1.7%,41.6%,759
,,,No value,-,-,10 or fewer
,,,Total,2%,33.8%,2609
,,Texas,Less than 1,8.2%,50.1%,784
,,,≥ 1 and < 5,3.8%,39.2%,1358
,,,≥ 5 and < 18,-,26.8%,1126
,,,≥ 18 and < 50,0.713%,26.6%,3367
,,,≥ 50 and < 65,1.7%,37.3%,1558
,,,65 or more,2.4%,41.8%,2747
,,,No value,-,-,10 or fewer
,,,Total,2.2%,35.2%,10940
,,Oregon,Less than 1,13.7%,31.6%,117
,,,≥ 1 and < 5,10.8%,24.1%,166
,,,≥ 5 and < 18,-,26.1%,111
,,,≥ 18 and < 50,-,22.7%,343
,,,≥ 50 and < 65,-,24.3%,152
,,,65 or more,6.2%,34.9%,292
,,,No value,-,-,10 or fewer
,,,Total,5.8%,27.3%,1181
,,Missouri,Less than 1,-,81.8%,22
,,,≥ 1 and < 5,-,81.3%,32
,,,≥ 5 and < 18,-,42.9%,28
,,,≥ 18 and < 50,-,37.4%,222
