Session Title,"Opioid Overdoses in ED, State Month Age",,,,,
Session ID,2768309,,,,,
Data Model,ED Encounters,,,,,
Population Base,All ED Encounters,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,,
Session Date Range,1/1/2020 - 3/31/2021 (Based On Arrival Date),,,,,
Measure,Number of ED Encounters,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,10/22/2025,,,,,
,,,,,,
,,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above,"Total: Total includes all data, including data from columns not currently displayed."
Year,Month,State of Residence (U.S.),Age at Time of Visit,,,
2020,Jan,Ohio,Less than 15 Years,10 or fewer,49514,49517
,,,≥ 15 and < 25 Years,44,38879,38923
,,,≥ 25 and < 45 Years,303,86222,86525
,,,≥ 45 and < 65 Years,94,70444,70538
,,,65 Years or more,28,59400,59428
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,472,304461,304933
,,Texas,Less than 15 Years,10 or fewer,55258,55258
,,,≥ 15 and < 25 Years,10 or fewer,28980,28990
,,,≥ 25 and < 45 Years,29,61164,61193
,,,≥ 45 and < 65 Years,12,52153,52165
,,,65 Years or more,10 or fewer,43877,43884
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,58,241432,241490
,,Pennsylvania,Less than 15 Years,10 or fewer,28770,28771
,,,≥ 15 and < 25 Years,30,22117,22147
,,,≥ 25 and < 45 Years,147,48806,48953
,,,≥ 45 and < 65 Years,58,43918,43976
,,,65 Years or more,10 or fewer,44047,44053
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,242,187658,187900
,,North Carolina,Less than 15 Years,10 or fewer,31663,31663
,,,≥ 15 and < 25 Years,21,22943,22964
,,,≥ 25 and < 45 Years,96,50663,50759
,,,≥ 45 and < 65 Years,34,42941,42975
,,,65 Years or more,13,37607,37620
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,164,185819,185983
,,Virginia,Less than 15 Years,10 or fewer,22449,22449
,,,≥ 15 and < 25 Years,10 or fewer,18089,18095
,,,≥ 25 and < 45 Years,46,42729,42775
,,,≥ 45 and < 65 Years,28,36526,36554
,,,65 Years or more,10 or fewer,34399,34407
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,88,154194,154282
,,Michigan,Less than 15 Years,10 or fewer,21744,21744
,,,≥ 15 and < 25 Years,10 or fewer,15817,15827
,,,≥ 25 and < 45 Years,75,32647,32722
,,,≥ 45 and < 65 Years,22,27784,27806
,,,65 Years or more,11,25274,25285
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,118,123267,123385
,,Illinois,Less than 15 Years,10 or fewer,28481,28481
,,,≥ 15 and < 25 Years,10 or fewer,15936,15942
,,,≥ 25 and < 45 Years,72,31277,31349
,,,≥ 45 and < 65 Years,62,27137,27199
,,,65 Years or more,14,27265,27279
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,154,130096,130250
,,New York,Less than 15 Years,10 or fewer,22301,22301
,,,≥ 15 and < 25 Years,11,15725,15736
,,,≥ 25 and < 45 Years,59,34055,34114
,,,≥ 45 and < 65 Years,26,30310,30336
,,,65 Years or more,10 or fewer,29981,29984
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,99,132373,132472
,,Florida,Less than 15 Years,10 or fewer,25568,25568
,,,≥ 15 and < 25 Years,10 or fewer,13179,13184
,,,≥ 25 and < 45 Years,47,28415,28462
,,,≥ 45 and < 65 Years,18,27097,27115
,,,65 Years or more,10 or fewer,22317,22324
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,77,116577,116654
,,California,Less than 15 Years,10 or fewer,13026,13026
,,,≥ 15 and < 25 Years,10 or fewer,12526,12536
,,,≥ 25 and < 45 Years,42,30814,30856
,,,≥ 45 and < 65 Years,17,28333,28350
,,,65 Years or more,10 or fewer,25501,25509
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,77,110200,110277
,,Georgia,Less than 15 Years,10 or fewer,29644,29645
,,,≥ 15 and < 25 Years,10 or fewer,13408,13414
,,,≥ 25 and < 45 Years,36,27867,27903
,,,≥ 45 and < 65 Years,16,23210,23226
,,,65 Years or more,10 or fewer,15698,15705
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,66,109827,109893
