Session Title,"Opioid Overdoses in ED, State Month Age",,,,
Session Description,ED encountersWA-WY by countycount pts with ED diagnosis opioid overdose,,,,
Session ID,2766034,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2025 - 9/30/2025 (Based On Arrival Date),,,,
Measure,Number of ED Encounters,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,10/16/2025,,,,
,,,,,
,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above
Year,Month,State of Residence (U.S.),Age at Time of Visit,,
,,Louisiana,Less than 15 Years,10 or fewer,12781
,,,≥ 15 and < 25 Years,10 or fewer,10755
,,,≥ 25 and < 45 Years,25,23089
,,,≥ 45 and < 65 Years,16,18663
,,,65 Years or more,10 or fewer,19055
,,,No value,10 or fewer,10 or fewer
,,,Total,55,84344
,,Mississippi,Less than 15 Years,10 or fewer,13038
,,,≥ 15 and < 25 Years,10 or fewer,10049
,,,≥ 25 and < 45 Years,13,21414
,,,≥ 45 and < 65 Years,10 or fewer,20463
,,,65 Years or more,10 or fewer,21050
,,,No value,10 or fewer,10 or fewer
,,,Total,22,86015
,,Tennessee,Less than 15 Years,10 or fewer,15243
,,,≥ 15 and < 25 Years,10 or fewer,9419
,,,≥ 25 and < 45 Years,36,19328
,,,≥ 45 and < 65 Years,12,18407
,,,65 Years or more,10 or fewer,19025
,,,No value,10 or fewer,10 or fewer
,,,Total,65,81422
,,Wisconsin,Less than 15 Years,10 or fewer,17546
,,,≥ 15 and < 25 Years,10 or fewer,9069
,,,≥ 25 and < 45 Years,10 or fewer,19933
,,,≥ 45 and < 65 Years,10 or fewer,17912
,,,65 Years or more,10 or fewer,21813
,,,No value,10 or fewer,10 or fewer
,,,Total,11,86273
,,Minnesota,Less than 15 Years,10 or fewer,13801
,,,≥ 15 and < 25 Years,10 or fewer,9215
,,,≥ 25 and < 45 Years,49,20385
,,,≥ 45 and < 65 Years,10 or fewer,18057
,,,65 Years or more,10 or fewer,22569
,,,No value,10 or fewer,10 or fewer
,,,Total,72,84027
,,Kentucky,Less than 15 Years,10 or fewer,13438
,,,≥ 15 and < 25 Years,10 or fewer,8142
,,,≥ 25 and < 45 Years,16,17097
,,,≥ 45 and < 65 Years,10 or fewer,17018
,,,65 Years or more,10 or fewer,18180
,,,No value,10 or fewer,10 or fewer
,,,Total,28,73875
,,Maryland,Less than 15 Years,10 or fewer,9085
,,,≥ 15 and < 25 Years,10 or fewer,7715
,,,≥ 25 and < 45 Years,20,19461
,,,≥ 45 and < 65 Years,12,17371
,,,65 Years or more,10 or fewer,18865
,,,No value,10 or fewer,10 or fewer
,,,Total,39,72497
,,Oregon,Less than 15 Years,10 or fewer,8484
,,,≥ 15 and < 25 Years,10 or fewer,6120
,,,≥ 25 and < 45 Years,46,13802
,,,≥ 45 and < 65 Years,11,11592
,,,65 Years or more,10 or fewer,13761
,,,No value,10 or fewer,10 or fewer
,,,Total,64,53759
,,Iowa,Less than 15 Years,10 or fewer,8480
,,,≥ 15 and < 25 Years,10 or fewer,4703
,,,≥ 25 and < 45 Years,10 or fewer,9953
,,,≥ 45 and < 65 Years,10 or fewer,9263
,,,65 Years or more,10 or fewer,11381
,,,No value,10 or fewer,10 or fewer
,,,Total,17,43780
,,Oklahoma,Less than 15 Years,10 or fewer,12845
,,,≥ 15 and < 25 Years,10 or fewer,5908
,,,≥ 25 and < 45 Years,10 or fewer,11909
,,,≥ 45 and < 65 Years,10 or fewer,10677
,,,65 Years or more,10 or fewer,11052
,,,No value,10 or fewer,10 or fewer
,,,Total,15,52391
,,West Virginia,Less than 15 Years,10 or fewer,4290
,,,≥ 15 and < 25 Years,10 or fewer,4254
,,,≥ 25 and < 45 Years,10 or fewer,9269
,,,≥ 45 and < 65 Years,10 or fewer,9927
,,,65 Years or more,10 or fewer,11352
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,39092
,,Arizona,Less than 15 Years,10 or fewer,5183
,,,≥ 15 and < 25 Years,10 or fewer,4103
,,,≥ 25 and < 45 Years,36,9590
,,,≥ 45 and < 65 Years,10 or fewer,8956
,,,65 Years or more,10 or fewer,12817
,,,No value,10 or fewer,10 or fewer
,,,Total,50,40649
,,Arkansas,Less than 15 Years,10 or fewer,10614
,,,≥ 15 and < 25 Years,10 or fewer,4560
,,,≥ 25 and < 45 Years,10 or fewer,8364
