Session Title,"Opioid Overdoses in ED, State Month Age",,,,
Session Description,ED encountersWA-WY by countycount pts with ED diagnosis opioid overdose,,,,
Session ID,2766034,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2024 - 12/31/2024 (Based On Arrival Date),,,,
Measure,Number of ED Encounters,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,10/16/2025,,,,
,,,,,
,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above
Year,Month,State of Residence (U.S.),Age at Time of Visit,,
2024,Jan,Texas,Less than 15 Years,10 or fewer,64276
,,,≥ 15 and < 25 Years,14,38519
,,,≥ 25 and < 45 Years,42,84681
,,,≥ 45 and < 65 Years,22,72379
,,,65 Years or more,11,73218
,,,No value,10 or fewer,10 or fewer
,,,Total,92,333073
,,Florida,Less than 15 Years,10 or fewer,57554
,,,≥ 15 and < 25 Years,18,40416
,,,≥ 25 and < 45 Years,143,93396
,,,≥ 45 and < 65 Years,80,80344
,,,65 Years or more,21,91058
,,,No value,10 or fewer,10 or fewer
,,,Total,262,362768
,,Ohio,Less than 15 Years,10 or fewer,49909
,,,≥ 15 and < 25 Years,22,43111
,,,≥ 25 and < 45 Years,180,98888
,,,≥ 45 and < 65 Years,76,86786
,,,65 Years or more,18,93429
,,,No value,10 or fewer,10 or fewer
,,,Total,301,372125
,,Pennsylvania,Less than 15 Years,10 or fewer,26002
,,,≥ 15 and < 25 Years,10 or fewer,23662
,,,≥ 25 and < 45 Years,72,57538
,,,≥ 45 and < 65 Years,45,54348
,,,65 Years or more,10 or fewer,64700
,,,No value,10 or fewer,10 or fewer
,,,Total,134,226250
,,North Carolina,Less than 15 Years,10 or fewer,27248
,,,≥ 15 and < 25 Years,22,22747
,,,≥ 25 and < 45 Years,98,54699
,,,≥ 45 and < 65 Years,41,48444
,,,65 Years or more,22,51562
,,,No value,10 or fewer,10 or fewer
,,,Total,188,204701
,,New York,Less than 15 Years,10 or fewer,23454
,,,≥ 15 and < 25 Years,10 or fewer,21245
,,,≥ 25 and < 45 Years,88,52113
,,,≥ 45 and < 65 Years,55,46531
,,,65 Years or more,11,50969
,,,No value,10 or fewer,10 or fewer
,,,Total,160,194312
,,Virginia,Less than 15 Years,10 or fewer,25191
,,,≥ 15 and < 25 Years,11,22557
,,,≥ 25 and < 45 Years,62,55181
,,,≥ 45 and < 65 Years,53,48297
,,,65 Years or more,10 or fewer,51348
,,,No value,10 or fewer,10 or fewer
,,,Total,136,202574
,,Michigan,Less than 15 Years,10 or fewer,16365
,,,≥ 15 and < 25 Years,10 or fewer,15073
,,,≥ 25 and < 45 Years,42,36082
,,,≥ 45 and < 65 Years,23,33709
,,,65 Years or more,19,37881
,,,No value,10 or fewer,10 or fewer
,,,Total,89,139110
,,California,Less than 15 Years,10 or fewer,21366
,,,≥ 15 and < 25 Years,11,16238
,,,≥ 25 and < 45 Years,85,40376
