Session Title,HA1C % or more and BMI by Age and County,,,
Session Description,states ND-VA,,,
Session ID,2733054,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence (U.S.): North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia",Base Patient,,
Session Date Range,1/1/2023 - 7/17/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,8/7/2025,,,
,,,,
,,,,
,Measures,Number of Patients,Percentage with Base Patient followed by Hemoglobin A1C 6.5% or more within 10 years (%),Percentage with Base Patient followed by BMI 30.0  or more within 10 years (%)
Age in Years (Current),County of Residence,,,
,"ALBEMARLE, VA",16103,0.255%,3.9%
,"LUZERNE, PA",15934,0.201%,5.9%
,"RICHLAND, OH",15402,0.11%,6.6%
,"PORTAGE, OH",13495,0.156%,5.2%
,"WASHINGTON, TN",14437,0.194%,6.7%
,"FRANKLIN, PA",17389,0.207%,6.6%
,"WASHINGTON, PA",11525,-,5.1%
,"FAYETTE, PA",13278,0.294%,8%
,"DAVIS, UT",24196,-,1.6%
,"FAIRFIELD, OH",8867,-,5.5%
,"WOOD, OH",19323,0.362%,6.4%
,"ALEXANDRIA CITY, VA",13413,0.209%,2.8%
,"ADAMS, PA",14478,0.256%,7.3%
,"DORCHESTER, SC",17947,0.418%,6.1%
,"BURLEIGH, ND",19598,0.337%,4.4%
,"YORK, SC",13652,0.22%,3.6%
,"ROCKWALL, TX",10025,-,5.1%
,"HANOVER, VA",12883,0.481%,4.9%
,"SUMTER, SC",13250,0.551%,6.2%
,"JAMES CITY, VA",12546,0.143%,4.3%
,"ALLEN, OH",15293,0.314%,5.4%
,"NUECES, TX",49222,0.177%,4%
,"PROVIDENCE, RI",17375,0.161%,7.4%
,"LACKAWANNA, PA",7905,-,5.4%
,"BENTON, OR",9820,0.285%,4.6%
,"SUFFOLK CITY, VA",7555,-,6.8%
,"RANDALL, TX",11124,0.171%,4.1%
,"GREENWOOD, SC",15288,0.307%,10.1%
,"TUSCARAWAS, OH",11051,-,5.1%
,"BUTLER, PA",8274,-,3.3%
,"UTAH, UT",26881,-,0.718%
,"LANCASTER, SC",13370,0.239%,6.1%
,"GRAND FORKS, ND",15198,0.171%,3.8%
,"ROCKINGHAM, VA",11509,0.4%,6.7%
,"FREDERICK, VA",11056,0.335%,5.8%
,"PORTSMOUTH CITY, VA",5189,-,7.8%
,"CARBON, PA",11671,0.283%,9.2%
,"JACKSON, OR",14757,0.793%,6.2%
,"OCONEE, SC",9338,0.343%,7.6%
,"GEAUGA, OH",12331,0.276%,3.5%
,"ROGERS, OK",11162,0.349%,5.7%
,"GREENE, TN",11123,0.216%,8.8%
,"MARION, OH",12255,0.131%,9.5%
,"KERSHAW, SC",10431,0.451%,7.9%
,"WAYNE, OH",10690,-,3.3%
,"COOS, OR",8151,0.393%,8.4%
,"ASHTABULA, OH",10340,0.338%,7.8%
,"WAGONER, OK",11198,0.179%,6%
,"YORK, VA",8677,-,3.5%
,"BRADFORD, PA",11318,0.265%,5.9%
,"PENNINGTON, SD",11081,0.289%,3.9%
,"WASHINGTON, VT",8584,0.349%,5.5%
,"HENDERSON, TX",8923,-,6.9%
,"POTTER, TX",8116,-,6.7%
,"BELMONT, OH",9228,0.293%,8.5%
,"LINCOLN, OR",7207,0.375%,8.2%
,"LANE, OR",14491,1.2%,4%
,"CREEK, OK",10093,0.327%,7.1%
,"CHEROKEE, SC",10567,0.35%,10.8%
,"WASHINGTON, VA",7141,0.336%,8%
,"ORANGEBURG, SC",8772,0.547%,10.2%
,"LAURENS, SC",10328,0.397%,9%
,"MUSKOGEE, OK",7666,0.3%,7.6%
,"HAYS, TX",11097,0.126%,4.5%
,"COLUMBIANA, OH",4903,-,8.3%
,"LINCOLN, SD",12069,0.249%,3.1%
,"BEAUFORT, SC",9422,0.541%,5%
,"CORYELL, TX",11177,0.403%,7%
,"HAWKINS, TN",7512,0.173%,10.5%
,"HIDALGO, TX",27849,0.101%,6.8%
,"MADISON, TN",7826,0.358%,6.4%
,"CULPEPER, VA",10033,0.419%,6.4%
,"HUNT, TX",7607,0.21%,6.1%
,"AUGUSTA, VA",8157,0.539%,5.8%
,"BEAVER, PA",3909,-,4.8%
,"CHARLOTTESVILLE CITY, VA",7486,0.24%,4.2%
,"WINDSOR, VT",5534,0.235%,4.7%
,"LIBERTY, TX",15891,0.441%,5.5%
,"PICKAWAY, OH",5319,0.207%,5.8%
,"ATHENS, OH",5264,-,6%
,"CARTER, TN",6328,0.205%,8.2%
,"CLEVELAND, OK",8956,0.659%,6.8%
,"FAUQUIER, VA",5294,0.548%,4.9%
,"COLUMBIA, OR",7109,0.338%,5.9%
,"DARLINGTON, SC",4422,0.724%,7.2%
,"CRAWFORD, OH",6919,0.188%,8.2%
,"YAMHILL, OR",6892,0.522%,6.1%
,"GLOUCESTER, VA",5872,-,5.2%
,"SANDUSKY, OH",7373,0.312%,7.6%
,"SHENANDOAH, VA",6801,0.338%,7.7%
,"WISE, VA",6550,0.412%,11.6%
,"MADISON, OH",4493,-,5.6%
,"SENECA, OH",6513,0.568%,7.1%
,"HARRISONBURG CITY, VA",8722,0.424%,5.8%
,"DARKE, OH",6793,0.442%,6%
,"UMATILLA, OR",7530,0.571%,8.8%
,"FULTON, OH",7176,0.376%,7.8%
,"PREBLE, OH",7227,0.346%,8.5%
,"BURNET, TX",6027,0.232%,7.4%
,"TIPTON, TN",5712,0.455%,6.2%
,"BRADLEY, TN",7810,0.768%,6.9%
,"BROWN, OH",6769,0.532%,5.4%
,"WASHINGTON, TX",6951,0.158%,9.2%
,"LYNCHBURG CITY, VA",4817,0.561%,8%
,"CLINTON, OH",6848,0.438%,5.9%
,"MAYES, OK",6846,0.321%,7.5%
,"WILLIAMS, OH",6925,0.332%,8.4%
,"UNION, OH",4334,-,3.9%
,"ISLE OF WIGHT, VA",3522,-,6.6%
,"TOOELE, UT",8870,-,2.7%
,"ASHLAND, OH",4432,-,6%
,"WASHINGTON, RI",2431,-,4.2%
,"ERIE, OH",6422,0.358%,5.6%
,"WEBER, UT",8913,-,1.1%
,"JEFFERSON, TX",10805,1.1%,6.5%
,"ADDISON, VT",4963,0.282%,5%
,"STAFFORD, VA",6570,0.776%,4.8%
,"STARK, ND",8625,0.29%,4.2%
,"PERRY, PA",4308,-,6.6%
,"NEWPORT, RI",1904,-,3.1%
,"DEFIANCE, OH",6962,0.287%,8.4%
,"GRAYSON, TX",4874,0.513%,5.5%
,"AIKEN, SC",5415,0.462%,6.5%
,"MORTON, ND",6734,0.267%,5.4%
,"LOUISA, VA",4599,0.37%,7.5%
,"WARREN, VA",5759,-,6.8%
,"ORANGE, VA",5901,0.424%,6%
,"WARD, ND",6031,0.514%,4.2%
,"PIKE, PA",3517,0.426%,7.3%
,"HURON, OH",5344,0.299%,6.7%
,"BASTROP, TX",9495,-,7.7%
,"MALHEUR, OR",6329,0.348%,8.7%
,"HOOD, TX",8780,0.308%,4.9%
,"WINDHAM, VT",2784,0.539%,4.7%
,"MERCER, PA",2368,-,5.7%
,"HALIFAX, VA",4661,0.515%,10.1%
,"WISE, TX",7734,0.504%,4.8%
,"MANASSAS CITY, VA",5817,0.241%,5.2%
,"PETERSBURG CITY, VA",4148,0.41%,9.7%
,"CROOK, OR",5041,0.397%,5.4%
,"ACCOMACK, VA",3881,-,4.6%
,"SMYTH, VA",4006,0.3%,9%
,"CANADIAN, OK",7363,0.367%,6.1%
,"OKMULGEE, OK",4451,0.292%,8.2%
,"AUGLAIZE, OH",4670,0.6%,4.8%
,"WOOD, TX",4231,-,7.6%
,"OTTAWA, OH",4524,0.486%,7.6%
,"HIGHLAND, OH",4491,0.49%,6.8%
,"COMAL, TX",3300,0.576%,4.8%
,"SPOTSYLVANIA, VA",6235,0.93%,6.4%
,"UNION, SC",4979,0.502%,11.5%
,"CHAMBERS, TX",7454,0.443%,4.6%
,"ROSS, OH",1504,-,8.4%
,"RUTLAND, VT",3970,0.453%,5.8%
,"FRANKLIN, VT",3626,0.579%,4.2%
,"MARION, SC",4417,0.272%,10.2%
,"SHELBY, OH",5740,0.453%,4.7%
,"FLUVANNA, VA",3712,0.458%,6.4%
,"VAN ZANDT, TX",3647,-,6.4%
,"CHAMPAIGN, OH",4888,0.389%,6.3%
,"CHESTER, SC",4559,0.307%,11.6%
,"PUTNAM, OH",5241,-,4.6%
,"JEFFERSON, OR",5125,0.293%,7.1%
,"WASHINGTON, OH",2632,-,6.5%
,"LUBBOCK, TX",6313,-,6.5%
,"FAIRFAX CITY, VA",4081,-,2.8%
,"CHEROKEE, TX",6904,-,6.9%
,"DOUGLAS, OR",4492,1.2%,6.3%
,"OBION, TN",3258,-,6.9%
,"PITTSBURG, OK",5157,0.213%,8.2%
,"CLARENDON, SC",2943,0.476%,7.9%
,"TIOGA, PA",4155,-,5.3%
,"CHESTERFIELD, SC",3351,-,8.6%
,"MECKLENBURG, VA",3258,0.43%,9.4%
,"BEDFORD, VA",3153,0.603%,6.2%
,"ARMSTRONG, PA",632,-,7.4%
,"KNOX, OH",1419,-,4.6%
,"WALLER, TX",6232,0.353%,5.1%
,"RUSK, TX",5172,-,6.5%
,"BROWN, SD",4804,0.396%,5.1%
,"SUMMIT, UT",3359,-,0.804%
,"RUSSELL, VA",3704,-,9.1%
,"MORROW, OH",3357,-,7.2%
,"ERATH, TX",5629,0.302%,5%
,"GEORGETOWN, SC",2742,1.1%,7.4%
,"HANCOCK, OH",3072,0.944%,6.1%
,"CARROLL, TN",3668,-,10.6%
,"GREENE, PA",4511,0.355%,8%
,"CAMERON, TX",8025,0.187%,6.8%
,"DILLON, SC",3663,0.601%,10%
,"JEFFERSON, OH",3277,-,7.3%
,"DYER, TN",3430,0.379%,7.4%
,"PAGE, VA",3678,0.299%,8.9%
,"HARDIN, OH",3874,-,7.5%
,"GIBSON, TN",2999,-,7.2%
,"FAYETTE, TN",1730,0.694%,5.3%
,"DAVIDSON, TN",952,-,1.9%
,"ORANGE, VT",2733,0.476%,5.6%
,"STUTSMAN, ND",3981,0.276%,5.4%
,"NEWBERRY, SC",2923,0.65%,8%
,"NEW KENT, VA",3446,-,4.8%
,"SEQUOYAH, OK",3219,-,8.7%
,"LLANO, TX",3001,-,8.9%
,"MILAM, TX",3976,0.302%,9%
,"HENRY, OH",4177,0.359%,7%
,"WILLIAMSBURG, SC",2389,0.502%,10.3%
,"POWHATAN, VA",2764,0.724%,5.9%
,"LOGAN, OH",1787,-,4.7%
,"ABBEVILLE, SC",3383,0.325%,8.5%
,"WEAKLEY, TN",2289,-,10.3%
,"LE FLORE, OK",2736,0.694%,7.3%
,"POLK, OR",3279,1.3%,4.7%
,"HILL, TX",3782,0.582%,6.5%
,"LAMPASAS, TX",3318,0.422%,7.7%
,"GRIMES, TX",4177,0.407%,6.9%
,"SUSQUEHANNA, PA",2249,-,4.8%
,"TAZEWELL, VA",2083,0.576%,6.7%
,"FAIRFIELD, SC",2693,-,10.4%
,"NAVARRO, TX",1958,-,5.6%
,"COOKE, TX",4881,0.348%,4.5%
,"LEE, VA",3144,0.477%,11.8%
,"GOOCHLAND, VA",2240,0.491%,5.9%
,"CODINGTON, SD",4256,-,4%
,"LAWRENCE, PA",1201,-,5.8%
,"GREENE, VA",3059,-,6.9%
,"AUSTIN, TX",4269,0.492%,6%
,"WEBB, TX",7175,0.585%,9.5%
,"WALKER, TX",4366,0.71%,5.6%
,"MUSKINGUM, OH",879,-,4.8%
,"WILLIAMS, ND",4069,0.639%,5.3%
,"PRINCE GEORGE, VA",3253,0.461%,6.1%
,"WAYNESBORO CITY, VA",4146,0.362%,5.5%
,"SCOTT, VA",2504,-,10.4%
,"ADAMS, OH",3100,0.677%,5.1%
,"CAMPBELL, VA",2416,1.2%,8.5%
,"PAYNE, OK",2699,0.445%,6.6%
,"WAYNE, PA",1477,-,5%
,"CRAWFORD, PA",1164,-,6.2%
,"BAKER, OR",2820,0.39%,6.7%
,"TILLAMOOK, OR",2806,-,5.8%
,"GUADALUPE, TX",2634,0.645%,5.4%
,"WASHINGTON, OK",2392,0.46%,4.8%
,"WHARTON, TX",2793,0.465%,6.2%
,"KLAMATH, OR",7904,0.38%,5.4%
,"WYANDOT, OH",2906,-,6%
,"DINWIDDIE, VA",2380,0.84%,9.1%
,"COLONIAL HEIGHTS CITY, VA",2387,-,8.8%
,"RICHLAND, ND",3362,0.327%,5.2%
,"PANOLA, TX",3445,-,9.3%
,"LAMOILLE, VT",1801,0.999%,3.7%
,"HOOD RIVER, OR",3506,0.314%,4.3%
,"STAUNTON CITY, VA",3373,0.326%,5.3%
,"PITTSYLVANIA, VA",1389,-,7.4%
,"KING WILLIAM, VA",2662,0.413%,6.5%
,"MARION, TN",1820,0.989%,7.2%
,"WASCO, OR",2713,-,6.6%
,"COLLETON, SC",2409,0.83%,7.1%
,"JOHNSON, TN",2002,-,11.7%
,"GREGG, TX",2582,-,7%
,"CALEDONIA, VT",1564,0.959%,5.9%
,"BROOKINGS, SD",3278,0.397%,4.3%
,"MERCER, OH",2960,0.642%,3.6%
,"NELSON, VA",1897,-,7.3%
,"AMHERST, VA",1937,1%,9.2%
,"UNICOI, TN",1875,-,8.7%
,"ANDERSON, TX",2333,-,5.1%
,"MCINTOSH, OK",1839,-,8.5%
,"LAWRENCE, OH",3284,-,6%
,"CARROLL, OH",2122,-,3.2%
,"FAYETTE, OH",1791,-,7.8%
,"MCKENZIE, ND",3825,-,6.6%
,"CHEROKEE, OK",1662,0.782%,7.4%
,"VAN WERT, OH",2381,-,5.2%
,"POLK, TX",2534,0.908%,4.8%
,"TAYLOR, TX",2823,0.815%,7.1%
,"CLATSOP, OR",1426,1.4%,4.6%
,"BRISTOL CITY, VA",2063,-,8.8%
,"SAN PATRICIO, TX",8171,0.159%,4.5%
,"SALUDA, SC",2448,-,8.1%
,"MEADE, SD",2699,-,2.8%
,"KNOX, TN",1195,-,3.6%
,"LAUDERDALE, TN",2048,0.537%,7.7%
,"HOPEWELL CITY, VA",1714,0.758%,7.6%
,"SOUTHAMPTON, VA",1152,-,8.2%
,"BURLESON, TX",2532,0.513%,7.1%
,"GREENSVILLE, VA",1794,-,8.8%
,"CRAIG, OK",2210,-,8.6%
,"SEQUATCHIE, TN",2307,-,8.3%
,"SCIOTO, OH",848,-,7.3%
,"EDGEFIELD, SC",1870,-,9.4%
,"KENDALL, TX",1476,-,2.7%
,"VICTORIA, TX",4512,0.554%,7.2%
,"MCNAIRY, TN",992,1.1%,5.8%
,"HOCKING, OH",1221,-,7.6%
,"ORLEANS, VT",1416,1.3%,5.2%
,"WINCHESTER CITY, VA",1705,-,6.6%
,"LANCASTER, VA",1474,-,8.8%
,"CLARKE, VA",1771,-,5.3%
,"DICKENSON, VA",1953,0.563%,12.1%
,"LAWRENCE, SD",2087,-,3.1%
,"UNION, SD",2493,-,4.6%
,"WARREN, PA",478,-,7.9%
,"PAULDING, OH",2354,-,7.3%
,"NORTHUMBERLAND, VA",1454,-,9.4%
,"MARLBORO, SC",1396,-,9.7%
,"MONTGOMERY, VA",1777,-,5.9%
,"CAROLINE, VA",2162,0.694%,6.9%
,"RAMSEY, ND",2447,-,4.8%
,"MIDDLESEX, VA",1569,-,6.7%
,"MADISON, VA",1887,0.689%,6.1%
,"PERRY, OH",879,-,4.7%
,"CLAY, SD",1881,-,6.1%
,"WALSH, ND",2483,-,6.6%
,"RHEA, TN",2394,0.627%,6.1%
,"GUERNSEY, OH",427,-,8.7%
,"DANVILLE CITY, VA",976,-,7.6%
,"BRUNSWICK, VA",1367,-,9.3%
,"POQUOSON CITY, VA",1351,-,2.7%
,"HARRISON, OH",1521,-,10.2%
,"WYTHE, VA",1014,-,8.8%
,"BARNES, ND",1843,-,5.9%
,"BUCKINGHAM, VA",1276,-,9.8%
,"BOWIE, TX",2239,1.4%,8.9%
,"FALLS CHURCH CITY, VA",1658,-,2.6%
,"CALHOUN, SC",1688,0.652%,9.4%
,"FALLS, TX",2318,-,8.8%
,"ESSEX, VA",1605,0.81%,10.3%
,"BUCHANAN, VA",996,-,8.4%
,"WICHITA, TX",2671,1.4%,7.8%
,"CACHE, UT",2789,-,0.645%
,"NORTHAMPTON, VA",988,-,2.6%
,"ORANGE, TX",3582,1.2%,5.1%
,"WASHINGTON, UT",1986,-,-
,"MONTGOMERY, TN",1036,-,1.4%
,"KENT, RI",870,-,4.9%
,"BOSQUE, TX",2028,-,7%
,"FRANKLIN CITY, VA",1379,-,7.4%
,"LIMESTONE, TX",2001,0.55%,8%
,"BENNINGTON, VT",1547,1.3%,6.3%
,"PAWNEE, OK",1680,-,8.7%
,"CAMP, TX",1835,-,8.7%
,"WESTMORELAND, VA",1348,-,9.6%
,"ROBERTSON, TX",2186,-,7.3%
,"CALDWELL, TX",3041,-,8.5%
,"ANGELINA, TX",2833,1.3%,7.6%
,"HARDEMAN, TN",990,-,6.8%
,"HENDERSON, TN",802,-,6.1%
,"DELAWARE, OK",1181,-,5.2%
,"LEE, SC",990,-,8.1%
,"MORROW, OR",2108,0.617%,8.4%
,"WYOMING, PA",1328,-,6.1%
,"PALO PINTO, TX",2496,0.721%,5%
,"MEIGS, OH",793,-,7.4%
,"MONROE, OH",1335,-,8.9%
,"COSHOCTON, OH",603,-,4.3%
,"WILLIAMSBURG CITY, VA",1326,-,4.7%
,"CURRY, OR",949,1.2%,5.4%
,"MATAGORDA, TX",1807,0.885%,6.9%
,"BRISTOL, RI",763,-,2.4%
,"NOTTOWAY, VA",1133,-,9.2%
,"HENRY, VA",832,-,8.7%
,"MCCORMICK, SC",783,-,12.9%
