Session Title,Positive RSV Tests and RSV tests and Number of Encounters by State of Residence (U.S.) and Age in Years Range,,,,,
Session ID,2747766,,,,,
Data Model,Encounters,,,,,
Population Base,All Encounters,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Diagnosis (All): Pneumonia due to Streptococcus pneumoniae( ICD-10-CM: J13.* ), Acute nasopharyngitis (common cold)( ICD-10-CM: J00.* ), Acute sinusitis( ICD-10-CM: J01.* ), Acute pharyngitis( ICD-10-CM: J02.* ), Acute tonsillitis( ICD-10-CM: J03.* ), Acute laryngitis and tracheitis( ICD-10-CM: J04.* ), Acute obstructive laryngitis (croup) and epiglottitis( ICD-10-CM: J05.* ), Acute upper respiratory infections of multiple and unspecified sites( ICD-10-CM: J06.* ), Influenza due to certain identified influenza viruses( ICD-10-CM: J09.* ), Influenza due to other identified influenza virus( ICD-10-CM: J10.* ), Influenza due to unidentified influenza virus( ICD-10-CM: J11.* ), Viral pneumonia, not elsewhere classified( ICD-10-CM: J12.* ), Pneumonia due to hemophilus influenzae( ICD-10-CM: J14.* ), Bacterial pneumonia, not elsewhere classified( ICD-10-CM: J15.* ), Pneumonia due to other infectious organisms, not elsewhere classified( ICD-10-CM: J16.* ), Pneumonia in diseases classified elsewhere( ICD-10-CM: J17.* ), Pneumonia, unspecified organism( ICD-10-CM: J18.* ), Acute bronchitis( ICD-10-CM: J20.* ), Acute bronchiolitis( ICD-10-CM: J21.* ), Unspecified acute lower respiratory infection( ICD-10-CM: J22.* )",Encounter Type: ED Encounter,,,,
Session Date Range,1/1/2023 - 12/31/2023 (Based On Encounter Start Date),,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,8/5/2025,,,,,
,,,,,,
,,,,,,
,,,Measures,Positive RSV Tests (%),RSV tests (%),Number of Encounters
Year,Week,State of Residence (U.S.),Age in Years,,,
,,,No value,-,-,10 or fewer
,,,Total,7.4%,55.6%,3435
,,North Dakota,Less than 1,-,60.6%,33
,,,≥ 1 and < 5,-,64.3%,42
,,,≥ 5 and < 18,-,60.5%,43
,,,≥ 18 and < 49,-,53.1%,143
,,,≥ 49 and < 65,-,50.7%,69
,,,65 or more,-,60.2%,98
,,,No value,-,-,10 or fewer
,,,Total,8.9%,56.8%,428
,,Minnesota,Less than 1,24.1%,63.5%,137
,,,≥ 1 and < 5,16%,62.9%,237
,,,≥ 5 and < 18,-,55.3%,208
,,,≥ 18 and < 49,3.5%,52.7%,577
,,,≥ 49 and < 65,3.8%,55.2%,288
,,,65 or more,5.7%,60.9%,583
,,,No value,-,-,10 or fewer
,,,Total,6.9%,57.6%,2030
,,Nevada,Less than 1,28.2%,51.3%,78
,,,≥ 1 and < 5,17.6%,47.1%,136
,,,≥ 5 and < 18,-,31.6%,57
,,,≥ 18 and < 49,-,40.7%,162
,,,≥ 49 and < 65,-,40.3%,77
,,,65 or more,-,66.4%,107
,,,No value,-,-,10 or fewer
,,,Total,9.9%,47%,617
,,Pennsylvania,Less than 1,16.5%,70.7%,321
,,,≥ 1 and < 5,5%,65.4%,636
,,,≥ 5 and < 18,-,57.3%,648
,,,≥ 18 and < 49,0.847%,54.8%,1890
,,,≥ 49 and < 65,2.3%,62.3%,1111
,,,65 or more,4.4%,65.7%,2200
,,,No value,-,-,10 or fewer
,,,Total,3.4%,61.5%,6806
,,Oklahoma,Less than 1,15.1%,74.4%,86
,,,≥ 1 and < 5,-,68.2%,132
,,,≥ 5 and < 18,-,51.2%,129
,,,≥ 18 and < 49,-,45.4%,339
,,,≥ 49 and < 65,-,49.5%,194
,,,65 or more,3.4%,56.7%,353
,,,No value,-,-,10 or fewer
,,,Total,3.2%,54.3%,1233
,,Nebraska,Less than 1,-,75%,28
,,,≥ 1 and < 5,-,43.9%,41
,,,≥ 5 and < 18,-,50%,46
,,,≥ 18 and < 49,-,51.6%,190
,,,≥ 49 and < 65,-,56.9%,102
,,,65 or more,-,65.1%,186
,,,No value,-,-,10 or fewer
,,,Total,3.7%,57.2%,593
,,Maryland,Less than 1,12.6%,67.7%,127
,,,≥ 1 and < 5,9.5%,72%,211
,,,≥ 5 and < 18,-,56.7%,178
,,,≥ 18 and < 49,-,49%,525
,,,≥ 49 and < 65,3.4%,56.5%,324
,,,65 or more,2%,63.7%,542
,,,No value,-,-,10 or fewer
,,,Total,3.5%,58.9%,1907
,,Idaho,Less than 1,34.1%,71.6%,88
,,,≥ 1 and < 5,18.8%,55.6%,133
,,,≥ 5 and < 18,-,25%,80
,,,≥ 18 and < 49,-,19.5%,236
,,,≥ 49 and < 65,-,34.5%,113
,,,65 or more,4.7%,44%,257
,,,No value,-,-,10 or fewer
,,,Total,8.8%,39.1%,907
,,Virgin Islands,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 49,-,-,10 or fewer
,,,≥ 49 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,Connecticut,Less than 1,9.7%,57.8%,154
,,,≥ 1 and < 5,-,48.8%,242
,,,≥ 5 and < 18,-,42.3%,274
,,,≥ 18 and < 49,-,48.1%,749
,,,≥ 49 and < 65,-,58.7%,475
,,,65 or more,1.9%,70.3%,775
,,,No value,-,-,10 or fewer
,,,Total,2.1%,56.5%,2669
,,Alaska,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 49,-,-,10 or fewer
,,,≥ 49 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,12
,,Vermont,Less than 1,-,64.7%,17
,,,≥ 1 and < 5,-,70.6%,17
,,,≥ 5 and < 18,-,69%,29
,,,≥ 18 and < 49,-,60%,65
,,,≥ 49 and < 65,-,71.7%,46
,,,65 or more,-,73.2%,112
,,,No value,-,-,10 or fewer
,,,Total,4.5%,68.9%,286
,,New York,Less than 1,14.5%,71.4%,234
,,,≥ 1 and < 5,6.8%,62.2%,502
,,,≥ 5 and < 18,-,52.3%,568
,,,≥ 18 and < 49,1.1%,47.8%,1580
,,,≥ 49 and < 65,1.9%,56.1%,957
,,,65 or more,2.3%,64.3%,1909
,,,No value,-,-,10 or fewer
,,,Total,2.7%,57.3%,5750
,,Florida,Less than 1,8.6%,62.6%,826
,,,≥ 1 and < 5,3.5%,49.7%,1913
,,,≥ 5 and < 18,1%,44%,1937
,,,≥ 18 and < 49,0.631%,48.8%,4282
,,,≥ 49 and < 65,0.998%,49.6%,2004
,,,65 or more,1.9%,55.6%,3512
,,,No value,-,-,10 or fewer
,,,Total,1.9%,50.8%,14474
,,Louisiana,Less than 1,12.8%,72.1%,226
,,,≥ 1 and < 5,4.4%,59.3%,383
,,,≥ 5 and < 18,-,21.1%,370
,,,≥ 18 and < 49,-,17.5%,1019
,,,≥ 49 and < 65,-,21%,452
,,,65 or more,-,27%,559
,,,No value,-,-,10 or fewer
,,,Total,1.9%,29.6%,3009
,,Indiana,Less than 1,14.5%,60%,145
,,,≥ 1 and < 5,-,46.4%,248
,,,≥ 5 and < 18,-,23.8%,239
,,,≥ 18 and < 49,-,21.5%,809
,,,≥ 49 and < 65,-,33.2%,437
,,,65 or more,1.8%,41.8%,772
,,,No value,-,-,10 or fewer
,,,Total,2%,34%,2650
,,Texas,Less than 1,7.7%,49.1%,757
,,,≥ 1 and < 5,3.8%,38.6%,1319
,,,≥ 5 and < 18,-,26.8%,1094
,,,≥ 18 and < 49,0.693%,26.4%,3175
,,,≥ 49 and < 65,1.7%,37.3%,1600
,,,65 or more,2.4%,42.3%,2669
,,,No value,-,-,10 or fewer
,,,Total,2.2%,35.2%,10614
,,Rhode Island,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 49,-,45.8%,24
,,,≥ 49 and < 65,-,-,15
,,,65 or more,-,68.4%,19
,,,No value,-,-,10 or fewer
,,,Total,-,53.1%,64
,,Oregon,Less than 1,13.8%,31.9%,116
,,,≥ 1 and < 5,10.7%,23.8%,168
,,,≥ 5 and < 18,-,25.9%,112
,,,≥ 18 and < 49,-,23.9%,330
,,,≥ 49 and < 65,-,24%,167
,,,65 or more,6.1%,35.4%,297
,,,No value,-,-,10 or fewer
,,,Total,6%,27.7%,1190
,,Puerto Rico,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 49,-,-,10 or fewer
,,,≥ 49 and < 65,-,-,10 or fewer
,,,65 or more,-,80%,15
,,,No value,-,-,10 or fewer
,,,Total,-,66.7%,33
,,Missouri,Less than 1,-,81.8%,22
,,,≥ 1 and < 5,-,81.3%,32
,,,≥ 5 and < 18,-,42.9%,28
,,,≥ 18 and < 49,-,36.9%,217
,,,≥ 49 and < 65,-,46.7%,107
,,,65 or more,-,47.1%,210
,,,No value,-,-,10 or fewer
,,,Total,4.4%,46.3%,616
,,South Carolina,Less than 1,12.3%,62.6%,171
,,,≥ 1 and < 5,5.3%,61.5%,338
,,,≥ 5 and < 18,-,49.1%,409
,,,≥ 18 and < 49,1%,54.1%,1398
,,,≥ 49 and < 65,-,58.8%,714
,,,65 or more,2.3%,61.3%,1039
,,,No value,-,-,10 or fewer
,,,Total,2.3%,57.2%,4069
,,Arizona,Less than 1,22.7%,41.3%,75
,,,≥ 1 and < 5,12.4%,41.9%,129
,,,≥ 5 and < 18,-,46.4%,84
,,,≥ 18 and < 49,-,48.5%,309
,,,≥ 49 and < 65,-,65.5%,142
,,,65 or more,7.7%,65.2%,310
,,,No value,-,-,10 or fewer
,,,Total,7.2%,54.2%,1049
,,Georgia,Less than 1,4.5%,28.2%,379
,,,≥ 1 and < 5,2.1%,23.5%,722
,,,≥ 5 and < 18,-,21.9%,667
,,,≥ 18 and < 49,0.954%,25%,1153
,,,≥ 49 and < 65,-,33%,551
,,,65 or more,-,37.5%,864
,,,No value,-,-,10 or fewer
,,,Total,1.3%,28.1%,4336
,,North Carolina,Less than 1,9.1%,58.4%,320
,,,≥ 1 and < 5,6.1%,53.9%,621
,,,≥ 5 and < 18,-,39.5%,610
,,,≥ 18 and < 49,0.778%,37.1%,2056
,,,≥ 49 and < 65,1.7%,42.3%,1027
,,,65 or more,2.2%,48.2%,1701
,,,No value,-,-,10 or fewer
,,,Total,2.3%,43.9%,6335
,,California,Less than 1,17.6%,44.5%,353
,,,≥ 1 and < 5,8.5%,39.7%,574
,,,≥ 5 and < 18,-,31.4%,312
,,,≥ 18 and < 49,1.2%,26.5%,954
,,,≥ 49 and < 65,2.5%,30.8%,484
,,,65 or more,2.9%,40.7%,910
,,,No value,-,-,10 or fewer
,,,Total,4.6%,35%,3587
,,Armed Forces Africa,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 49,-,-,10 or fewer
,,,≥ 49 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,Tennessee,Less than 1,-,61.9%,134
,,,≥ 1 and < 5,-,47.2%,218
,,,≥ 5 and < 18,-,26.7%,191
,,,≥ 18 and < 49,-,36.4%,448
,,,≥ 49 and < 65,-,42.1%,254
,,,65 or more,-,50.9%,468
,,,No value,-,-,10 or fewer
,,,Total,1.8%,43.5%,1713
,,Washington,Less than 1,19.7%,39.3%,61
,,,≥ 1 and < 5,11.7%,33%,94
,,,≥ 5 and < 18,-,-,62
,,,≥ 18 and < 49,-,24.4%,213
,,,≥ 49 and < 65,-,33.6%,137
,,,65 or more,-,43.4%,251
,,,No value,-,-,10 or fewer
,,,Total,4.5%,33%,818
,,Alabama,Less than 1,-,72.2%,18
,,,≥ 1 and < 5,-,71.4%,49
,,,≥ 5 and < 18,-,-,46
,,,≥ 18 and < 49,-,-,227
,,,≥ 49 and < 65,-,10.4%,134
,,,65 or more,-,15.7%,185
,,,No value,-,-,10 or fewer
,,,Total,-,15.9%,659
,,Utah,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 49,-,45.5%,44
,,,≥ 49 and < 65,-,42.9%,28
,,,65 or more,-,66%,53
,,,No value,-,-,10 or fewer
,,,Total,-,52.1%,140
,,Michigan,Less than 1,11.2%,48.8%,215
,,,≥ 1 and < 5,5.5%,45.7%,453
,,,≥ 5 and < 18,-,27.2%,471
,,,≥ 18 and < 49,-,26.6%,1510
,,,≥ 49 and < 65,1.4%,36.7%,828
,,,65 or more,2.2%,43.4%,1427
,,,No value,-,-,10 or fewer
,,,Total,2.1%,36%,4904
,,Mississippi,Less than 1,-,60.3%,136
,,,≥ 1 and < 5,-,40.1%,277
,,,≥ 5 and < 18,-,19%,200
,,,≥ 18 and < 49,-,19%,701
,,,≥ 49 and < 65,-,21.4%,337
,,,65 or more,-,23.4%,518
,,,No value,-,-,10 or fewer
,,,Total,0.922%,25.7%,2169
,,Virginia,Less than 1,8.5%,46.8%,235
,,,≥ 1 and < 5,3.1%,40.6%,419
,,,≥ 5 and < 18,-,30.2%,562
,,,≥ 18 and < 49,-,19.9%,1980
,,,≥ 49 and < 65,1.4%,27.5%,1067
,,,65 or more,2%,34.5%,1630
,,,No value,-,-,10 or fewer
,,,Total,1.6%,28.8%,5893
