Session Title,Number of Patients by Diagnosis (Encounter) and State of Residence (U.S.) and Age at Encounter in Years Range,,,,,
Session ID,2773601,,,,,
Data Model,Patients,,,,,
Population Base,All Patients,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,
Session Date Range,1/1/2025 - 10/16/2025,,,,,
Measure,Number of Patients,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,11/5/2025,,,,,
,,,,,,
,,,,,,
,,,Diagnosis (Encounter),firearms initial,None of the above,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence (U.S.),Age at Encounter in Years,Year,Month,,,
Texas,Less than 15 Years,2025,Jan,10 or fewer,72343,72352
,,,Feb,10 or fewer,65593,65602
,,,Mar,10 or fewer,68377,68383
,,,Apr,10 or fewer,69291,69299
,,,May,10 or fewer,67993,68000
,,,Jun,10 or fewer,52423,52432
,,,Jul,10 or fewer,49357,49363
,,,Aug,10 or fewer,59902,59911
,,,Sep,10 or fewer,65431,65436
,,,Oct 1 – Oct 16,10 or fewer,22221,22223
,≥ 15 and < 25 Years,2025,Jan,80,42678,42758
,,,Feb,66,38035,38101
,,,Mar,77,41605,41682
,,,Apr,103,41316,41419
,,,May,83,41191,41274
,,,Jun,87,38032,38119
,,,Jul,116,39268,39384
,,,Aug,86,41536,41622
,,,Sep,53,42840,42893
,,,Oct 1 – Oct 16,19,12946,12965
,≥ 25 and < 45 Years,2025,Jan,92,92030,92122
,,,Feb,90,81735,81825
,,,Mar,96,90117,90213
,,,Apr,107,88521,88628
,,,May,85,91337,91422
,,,Jun,93,89128,89221
,,,Jul,84,91964,92048
,,,Aug,81,92132,92213
,,,Sep,85,91262,91347
,,,Oct 1 – Oct 16,15,26937,26952
,≥ 45 and < 65 Years,2025,Jan,29,75111,75140
,,,Feb,24,68753,68777
,,,Mar,30,75323,75353
,,,Apr,26,73708,73734
,,,May,29,76357,76386
,,,Jun,28,74326,74354
,,,Jul,22,75966,75988
,,,Aug,19,76112,76131
,,,Sep,24,74545,74569
,,,Oct 1 – Oct 16,10 or fewer,21419,21425
,65 Years or more,2025,Jan,12,77736,77748
,,,Feb,10 or fewer,71502,71512
,,,Mar,10 or fewer,78708,78717
,,,Apr,15,75539,75554
,,,May,14,78863,78877
,,,Jun,13,75482,75495
,,,Jul,16,76347,76363
,,,Aug,13,77429,77442
,,,Sep,10 or fewer,75040,75047
,,,Oct 1 – Oct 16,10 or fewer,19812,19813
,No value,2025,Jan,10 or fewer,11155,11164
,,,Feb,10 or fewer,12044,12047
,,,Mar,10 or fewer,11134,11139
,,,Apr,10 or fewer,11488,11496
,,,May,11,10866,10877
,,,Jun,10 or fewer,10580,10588
,,,Jul,13,10478,10491
,,,Aug,10 or fewer,10022,10029
,,,Sep,10 or fewer,9995,10004
,,,Oct 1 – Oct 16,10 or fewer,12439,12442
,"Total: Total includes all data under the Texas bucket, including data from rows not currently displayed.",2025,Jan,230,371010,371240
,,,Feb,202,337619,337821
,,,Mar,223,365212,365435
,,,Apr,267,359829,360096
,,,May,229,366558,366787
,,,Jun,237,339930,340167
,,,Jul,257,343321,343578
,,,Aug,215,357075,357290
,,,Sep,183,359060,359243
,,,Oct 1 – Oct 16,46,115773,115819
Florida,Less than 15 Years,2025,Jan,10 or fewer,66444,66447
,,,Feb,10 or fewer,62351,62356
,,,Mar,10 or fewer,62751,62755
,,,Apr,10 or fewer,61081,61083
,,,May,10 or fewer,60452,60455
,,,Jun,10 or fewer,47290,47295
,,,Jul,10 or fewer,44993,44997
,,,Aug,10 or fewer,53827,53831
,,,Sep,10 or fewer,59169,59170
,,,Oct 1 – Oct 16,10 or fewer,22037,22037
,≥ 15 and < 25 Years,2025,Jan,35,40949,40984
,,,Feb,32,36620,36652
,,,Mar,32,38697,38729
,,,Apr,34,38293,38327
,,,May,35,38167,38202
,,,Jun,56,34380,34436
,,,Jul,44,35606,35650
,,,Aug,31,37776,37807
,,,Sep,38,38736,38774
,,,Oct 1 – Oct 16,10 or fewer,13984,13991
,≥ 25 and < 45 Years,2025,Jan,41,90889,90930
,,,Feb,58,81201,81259
,,,Mar,49,87940,87989
,,,Apr,53,86511,86564
,,,May,51,89763,89814
,,,Jun,38,85322,85360
,,,Jul,54,87911,87965
,,,Aug,53,88313,88366
,,,Sep,50,86537,86587
,,,Oct 1 – Oct 16,16,31131,31147
,≥ 45 and < 65 Years,2025,Jan,17,76447,76464
,,,Feb,15,70569,70584
,,,Mar,19,75093,75112
,,,Apr,17,72741,72758
,,,May,19,76133,76152
,,,Jun,20,72745,72765
,,,Jul,14,74541,74555
,,,Aug,17,74569,74586
,,,Sep,18,73479,73497
,,,Oct 1 – Oct 16,10 or fewer,25326,25327
,65 Years or more,2025,Jan,10 or fewer,88397,88406
,,,Feb,10 or fewer,80154,80161
,,,Mar,10 or fewer,86453,86457
,,,Apr,10 or fewer,83521,83529
,,,May,10 or fewer,86910,86919
,,,Jun,10 or fewer,83043,83050
,,,Jul,10 or fewer,84170,84173
