Session Title,"Opioid Overdoses in ED, State Month Age",,,,,
Session ID,2768313,,,,,
Data Model,ED Encounters,,,,,
Population Base,All ED Encounters,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,,
Session Date Range,1/1/2024 - 3/31/2025 (Based On Arrival Date),,,,,
Measure,Number of ED Encounters,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,10/22/2025,,,,,
,,,,,,
,,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above,"Total: Total includes all data, including data from columns not currently displayed."
Year,Month,State of Residence (U.S.),Age at Time of Visit,,,
2024,Jan,Ohio,Less than 15 Years,10 or fewer,49961,49966
,,,≥ 15 and < 25 Years,22,43249,43271
,,,≥ 25 and < 45 Years,180,99210,99390
,,,≥ 45 and < 65 Years,78,86982,87060
,,,65 Years or more,18,93559,93577
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,303,372963,373266
,,Florida,Less than 15 Years,10 or fewer,57559,57559
,,,≥ 15 and < 25 Years,18,40397,40415
,,,≥ 25 and < 45 Years,143,93400,93543
,,,≥ 45 and < 65 Years,80,80307,80387
,,,65 Years or more,21,91069,91090
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,262,362732,362994
,,Texas,Less than 15 Years,10 or fewer,64287,64290
,,,≥ 15 and < 25 Years,14,38508,38522
,,,≥ 25 and < 45 Years,41,84698,84739
,,,≥ 45 and < 65 Years,22,72376,72398
,,,65 Years or more,11,73209,73220
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,91,333078,333169
,,Pennsylvania,Less than 15 Years,10 or fewer,26010,26011
,,,≥ 15 and < 25 Years,10 or fewer,23679,23686
,,,≥ 25 and < 45 Years,72,57558,57630
,,,≥ 45 and < 65 Years,44,54354,54398
,,,65 Years or more,10 or fewer,64687,64696
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,133,226288,226421
,,North Carolina,Less than 15 Years,10 or fewer,27247,27252
,,,≥ 15 and < 25 Years,22,22766,22788
,,,≥ 25 and < 45 Years,99,54700,54799
,,,≥ 45 and < 65 Years,41,48456,48497
,,,65 Years or more,23,51607,51630
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,190,204777,204967
,,Virginia,Less than 15 Years,10 or fewer,25176,25177
,,,≥ 15 and < 25 Years,11,22584,22595
,,,≥ 25 and < 45 Years,62,55113,55175
,,,≥ 45 and < 65 Years,53,48253,48306
,,,65 Years or more,10 or fewer,51372,51381
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,136,202498,202634
,,New York,Less than 15 Years,10 or fewer,23449,23449
,,,≥ 15 and < 25 Years,10 or fewer,21222,21228
,,,≥ 25 and < 45 Years,89,52107,52196
,,,≥ 45 and < 65 Years,55,46512,46567
,,,65 Years or more,11,50958,50969
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,161,194248,194409
,,California,Less than 15 Years,10 or fewer,21366,21368
,,,≥ 15 and < 25 Years,11,16264,16275
,,,≥ 25 and < 45 Years,86,40566,40652
,,,≥ 45 and < 65 Years,33,36206,36239
,,,65 Years or more,11,37292,37303
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,143,151694,151837
,,Illinois,Less than 15 Years,10 or fewer,25268,25268
,,,≥ 15 and < 25 Years,10 or fewer,18608,18614
,,,≥ 25 and < 45 Years,44,40749,40793
,,,≥ 45 and < 65 Years,39,38026,38065
,,,65 Years or more,15,44126,44141
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,104,166777,166881
,,Michigan,Less than 15 Years,10 or fewer,16366,16367
,,,≥ 15 and < 25 Years,10 or fewer,15076,15080
,,,≥ 25 and < 45 Years,42,36120,36162
,,,≥ 45 and < 65 Years,23,33729,33752
,,,65 Years or more,19,37872,37891
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,89,139163,139252
,,Georgia,Less than 15 Years,10 or fewer,31899,31900
,,,≥ 15 and < 25 Years,17,16889,16906
,,,≥ 25 and < 45 Years,58,37856,37914
,,,≥ 45 and < 65 Years,36,32995,33031
,,,65 Years or more,10 or fewer,29753,29760
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,119,149392,149511
,,South Carolina,Less than 15 Years,10 or fewer,18138,18138
,,,≥ 15 and < 25 Years,16,15806,15822
,,,≥ 25 and < 45 Years,52,36486,36538
,,,≥ 45 and < 65 Years,24,33471,33495
,,,65 Years or more,10 or fewer,33498,33508
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,102,137399,137501
,,New Jersey,Less than 15 Years,10 or fewer,18849,18849
,,,≥ 15 and < 25 Years,10 or fewer,12917,12921
,,,≥ 25 and < 45 Years,52,31002,31054
,,,≥ 45 and < 65 Years,38,27744,27782
,,,65 Years or more,11,28931,28942
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,105,119443,119548
,,Colorado,Less than 15 Years,10 or fewer,25348,25348
,,,≥ 15 and < 25 Years,13,12440,12453
,,,≥ 25 and < 45 Years,48,25360,25408
,,,≥ 45 and < 65 Years,14,17433,17447
,,,65 Years or more,10 or fewer,17709,17717
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,83,98290,98373
,,Indiana,Less than 15 Years,10 or fewer,12709,12710
,,,≥ 15 and < 25 Years,11,10513,10524
,,,≥ 25 and < 45 Years,50,25083,25133
,,,≥ 45 and < 65 Years,17,21458,21475
,,,65 Years or more,10 or fewer,22287,22294
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,86,92050,92136
,,Connecticut,Less than 15 Years,10 or fewer,12795,12796
,,,≥ 15 and < 25 Years,10 or fewer,9311,9313
,,,≥ 25 and < 45 Years,31,21531,21562
,,,≥ 45 and < 65 Years,32,21265,21297
,,,65 Years or more,10 or fewer,23267,23271
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,70,88169,88239
,,Massachusetts,Less than 15 Years,10 or fewer,10380,10380
,,,≥ 15 and < 25 Years,10 or fewer,8773,8776
,,,≥ 25 and < 45 Years,46,21337,21383
,,,≥ 45 and < 65 Years,24,18530,18554
,,,65 Years or more,10 or fewer,20617,20623
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,79,79637,79716
,,Kentucky,Less than 15 Years,10 or fewer,14680,14680
,,,≥ 15 and < 25 Years,12,9184,9196
,,,≥ 25 and < 45 Years,59,19847,19906
,,,≥ 45 and < 65 Years,23,19021,19044
,,,65 Years or more,10 or fewer,20610,20614
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,98,83342,83440
,,Louisiana,Less than 15 Years,10 or fewer,11673,11674
,,,≥ 15 and < 25 Years,10 or fewer,9333,9336
,,,≥ 25 and < 45 Years,41,20318,20359
,,,≥ 45 and < 65 Years,29,17289,17318
,,,65 Years or more,10 or fewer,17071,17076
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,79,75684,75763
,,Minnesota,Less than 15 Years,10 or fewer,12047,12047
,,,≥ 15 and < 25 Years,17,8776,8793
,,,≥ 25 and < 45 Years,32,19836,19868
,,,≥ 45 and < 65 Years,18,16921,16939
,,,65 Years or more,10 or fewer,20143,20147
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,71,77723,77794
,,Wisconsin,Less than 15 Years,10 or fewer,13918,13918
,,,≥ 15 and < 25 Years,10 or fewer,8374,8378
,,,≥ 25 and < 45 Years,16,17890,17906
,,,≥ 45 and < 65 Years,10 or fewer,17343,17347
,,,65 Years or more,10 or fewer,19375,19376
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,25,76900,76925
,,Mississippi,Less than 15 Years,10 or fewer,8559,8559
,,,≥ 15 and < 25 Years,11,7406,7417
,,,≥ 25 and < 45 Years,16,15907,15923
,,,≥ 45 and < 65 Years,10 or fewer,15438,15446
,,,65 Years or more,10 or fewer,15671,15674
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,38,62981,63019
,,Maryland,Less than 15 Years,10 or fewer,7952,7952
,,,≥ 15 and < 25 Years,10 or fewer,7075,7081
,,,≥ 25 and < 45 Years,35,17715,17750
,,,≥ 45 and < 65 Years,29,16108,16137
,,,65 Years or more,10 or fewer,16806,16813
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,77,65656,65733
,,Tennessee,Less than 15 Years,10 or fewer,7495,7495
,,,≥ 15 and < 25 Years,10 or fewer,5275,5279
,,,≥ 25 and < 45 Years,28,11210,11238
,,,≥ 45 and < 65 Years,11,10713,10724
,,,65 Years or more,10 or fewer,11099,11102
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,46,45792,45838
,,Oregon,Less than 15 Years,10 or fewer,7093,7093
,,,≥ 15 and < 25 Years,10 or fewer,5764,5769
,,,≥ 25 and < 45 Years,61,13673,13734
,,,≥ 45 and < 65 Years,24,12841,12865
,,,65 Years or more,10 or fewer,15524,15534
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,100,54896,54996
,,Oklahoma,Less than 15 Years,10 or fewer,9283,9283
,,,≥ 15 and < 25 Years,10 or fewer,4578,4582
,,,≥ 25 and < 45 Years,15,10218,10233
,,,≥ 45 and < 65 Years,10 or fewer,9431,9434
,,,65 Years or more,10 or fewer,9490,9491
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,23,43000,43023
,,West Virginia,Less than 15 Years,10 or fewer,4597,4597
,,,≥ 15 and < 25 Years,10 or fewer,4030,4030
,,,≥ 25 and < 45 Years,10 or fewer,8631,8633
,,,≥ 45 and < 65 Years,10 or fewer,9105,9106
,,,65 Years or more,10 or fewer,10146,10146
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,36509,36512
,,Iowa,Less than 15 Years,10 or fewer,6028,6028
,,,≥ 15 and < 25 Years,10 or fewer,3936,3938
,,,≥ 25 and < 45 Years,10 or fewer,8607,8612
,,,≥ 45 and < 65 Years,10 or fewer,7666,7670
,,,65 Years or more,10 or fewer,9125,9126
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,12,35362,35374
,,Arkansas,Less than 15 Years,10 or fewer,8859,8860
,,,≥ 15 and < 25 Years,10 or fewer,4285,4286
,,,≥ 25 and < 45 Years,10 or fewer,8121,8129
