Session Title,HA1C 6.5+ and Percentage w/ BMI 30.0+ by Age and ,,,
Session ID,2733047,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence (U.S.): Alaska, Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas",Base Patient,,
Session Date Range,1/1/2023 - 7/10/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,8/7/2025,,,
,,,,
,,,,
,Measures,Number of Patients,Percentage with Base Patient followed by Hemoglobin A1C 6.5% or more within 10 years (%),Percentage with Base Patient followed by BMI 30.0  or more within 10 months (%)
Age in Years (Current),County of Residence,,,
Less than 18,"COOK, IL",379377,0.271%,2.3%
,"SAN DIEGO, CA",150382,0.037%,1.5%
,"MARICOPA, AZ",121980,0.074%,2.3%
,"ORANGE, FL",204937,0.291%,2.1%
,"RIVERSIDE, CA",145921,0.308%,3.1%
,"BROWARD, FL",134092,0.372%,2.2%
,"MIAMI-DADE, FL",123194,0.335%,2%
,"LOS ANGELES, CA",129585,0.106%,2.7%
,"HONOLULU, HI",106290,0.233%,1.2%
,"SANTA CLARA, CA",122579,0.274%,1.9%
,"FRESNO, CA",156259,0.218%,2.5%
,"HILLSBOROUGH, FL",89676,0.186%,2.5%
,"NEW HAVEN, CT",109530,0.389%,1.6%
,"ALAMEDA, CA",121094,0.116%,1.9%
,"ORANGE, CA",89433,0.035%,1.5%
,"HARTFORD, CT",131913,0.346%,2.1%
,"DUVAL, FL",130094,0.391%,2.8%
,"CONTRA COSTA, CA",108634,0.137%,1.7%
,"LEE, FL",102595,0.314%,2%
,"MARION, IN",122475,0.098%,2%
,"COBB, GA",113188,0.203%,1.3%
,"FAIRFIELD, CT",94888,0.434%,2%
,"EL PASO, CO",117032,0.426%,0.983%
,"DENVER, CO",107328,0.168%,1.1%
,"SAN BERNARDINO, CA",110026,0.458%,2.7%
