Session Title,Workplace Injury in ED by state and BRFSS Age,,
Session ID,2748876,,
Data Model,ED Encounters,,
Population Base,All ED Encounters,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,ED Diagnoses: External cause status( ICD-10-CM: Y99.* ),,
Session Date Range,1/1/2023 - 7/10/2025 (Based On Arrival Date),,
Measure,Number of ED Encounters,,
Export User,Stephanie Perniciaro,,
Date of Export,8/11/2025,,
,,,
,,,
,,,Number of ED Encounters
Year,State of Residence (U.S.),Age at Time of Visit,
Jan 1 – Dec 31 2023,Ohio,Less than 18 Years,17
,,≥ 18 and < 25 Years,373
,,≥ 25 and < 35 Years,445
,,≥ 35 and < 45 Years,346
,,≥ 45 and < 55 Years,297
,,≥ 55 and < 65 Years,252
,,65 Years or more,64
,,No value,10 or fewer
,,Total,1794
,Texas,Less than 18 Years,10 or fewer
,,≥ 18 and < 25 Years,114
,,≥ 25 and < 35 Years,155
,,≥ 35 and < 45 Years,106
,,≥ 45 and < 55 Years,69
,,≥ 55 and < 65 Years,50
,,65 Years or more,13
,,No value,10 or fewer
,,Total,517
,North Carolina,Less than 18 Years,10 or fewer
,,≥ 18 and < 25 Years,24
,,≥ 25 and < 35 Years,37
,,≥ 35 and < 45 Years,17
,,≥ 45 and < 55 Years,23
,,≥ 55 and < 65 Years,17
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,122
,Florida,Less than 18 Years,10 or fewer
,,≥ 18 and < 25 Years,118
,,≥ 25 and < 35 Years,180
,,≥ 35 and < 45 Years,142
,,≥ 45 and < 55 Years,124
,,≥ 55 and < 65 Years,93
,,65 Years or more,26
,,No value,10 or fewer
,,Total,687
,Mississippi,Less than 18 Years,10 or fewer
,,≥ 18 and < 25 Years,16
,,≥ 25 and < 35 Years,13
,,≥ 35 and < 45 Years,18
,,≥ 45 and < 55 Years,12
,,≥ 55 and < 65 Years,12
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,77
,South Carolina,Less than 18 Years,10 or fewer
,,≥ 18 and < 25 Years,22
,,≥ 25 and < 35 Years,47
,,≥ 35 and < 45 Years,34
,,≥ 45 and < 55 Years,14
,,≥ 55 and < 65 Years,21
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,144
,Louisiana,Less than 18 Years,10 or fewer
,,≥ 18 and < 25 Years,21
,,≥ 25 and < 35 Years,25
,,≥ 35 and < 45 Years,22
,,≥ 45 and < 55 Years,17
,,≥ 55 and < 65 Years,15
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,102
,Pennsylvania,Less than 18 Years,10 or fewer
,,≥ 18 and < 25 Years,98
,,≥ 25 and < 35 Years,148
,,≥ 35 and < 45 Years,113
,,≥ 45 and < 55 Years,109
,,≥ 55 and < 65 Years,105
,,65 Years or more,18
,,No value,10 or fewer
,,Total,594
,Illinois,Less than 18 Years,10 or fewer
,,≥ 18 and < 25 Years,68
,,≥ 25 and < 35 Years,117
,,≥ 35 and < 45 Years,101
,,≥ 45 and < 55 Years,79
,,≥ 55 and < 65 Years,48
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,424
,Michigan,Less than 18 Years,10 or fewer
,,≥ 18 and < 25 Years,46
,,≥ 25 and < 35 Years,59
,,≥ 35 and < 45 Years,48
,,≥ 45 and < 55 Years,34
,,≥ 55 and < 65 Years,36
