Session Title,"Opioid Overdoses in ED, State Month Age",,,,,
Session ID,2768312,,,,,
Data Model,ED Encounters,,,,,
Population Base,All ED Encounters,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,,
Session Date Range,1/1/2023 - 3/31/2024 (Based On Arrival Date),,,,,
Measure,Number of ED Encounters,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,10/22/2025,,,,,
,,,,,,
,,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above,"Total: Total includes all data, including data from columns not currently displayed."
Year,Month,State of Residence (U.S.),Age at Time of Visit,,,
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,142,84626,84768
,,Connecticut,Less than 15 Years,10 or fewer,12272,12272
,,,≥ 15 and < 25 Years,10 or fewer,9232,9234
,,,≥ 25 and < 45 Years,26,21241,21267
,,,≥ 45 and < 65 Years,37,20136,20173
,,,65 Years or more,10 or fewer,21357,21367
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,75,84238,84313
,,Kentucky,Less than 15 Years,10 or fewer,13174,13174
,,,≥ 15 and < 25 Years,13,8634,8647
,,,≥ 25 and < 45 Years,67,18824,18891
,,,≥ 45 and < 65 Years,27,18438,18465
,,,65 Years or more,10 or fewer,18869,18875
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,113,77940,78053
,,Louisiana,Less than 15 Years,10 or fewer,12949,12950
,,,≥ 15 and < 25 Years,16,9912,9928
,,,≥ 25 and < 45 Years,72,20418,20490
,,,≥ 45 and < 65 Years,22,17465,17487
,,,65 Years or more,10 or fewer,15914,15918
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,115,76658,76773
,,Massachusetts,Less than 15 Years,10 or fewer,9091,9091
,,,≥ 15 and < 25 Years,10 or fewer,7928,7933
,,,≥ 25 and < 45 Years,65,18945,19010
,,,≥ 45 and < 65 Years,41,16701,16742
,,,65 Years or more,10 or fewer,17802,17804
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,113,70467,70580
,,Wisconsin,Less than 15 Years,10 or fewer,12495,12496
,,,≥ 15 and < 25 Years,10 or fewer,8478,8482
,,,≥ 25 and < 45 Years,31,17691,17722
,,,≥ 45 and < 65 Years,12,16184,16196
,,,65 Years or more,10 or fewer,17951,17954
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,51,72799,72850
,,Minnesota,Less than 15 Years,10 or fewer,8597,8597
,,,≥ 15 and < 25 Years,17,7757,7774
,,,≥ 25 and < 45 Years,66,17560,17626
,,,≥ 45 and < 65 Years,26,15447,15473
,,,65 Years or more,10 or fewer,17451,17454
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,112,66812,66924
,,Maryland,Less than 15 Years,10 or fewer,8151,8152
,,,≥ 15 and < 25 Years,13,6950,6963
,,,≥ 25 and < 45 Years,40,17057,17097
,,,≥ 45 and < 65 Years,30,15387,15417
,,,65 Years or more,10 or fewer,15588,15593
,,,No value,10 or fewer,13,13
,,,Total,89,63146,63235
,,Mississippi,Less than 15 Years,10 or fewer,8587,8587
,,,≥ 15 and < 25 Years,15,6834,6849
,,,≥ 25 and < 45 Years,16,15084,15100
,,,≥ 45 and < 65 Years,10 or fewer,14180,14187
,,,65 Years or more,10 or fewer,13790,13793
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,41,58475,58516
,,Oregon,Less than 15 Years,10 or fewer,6895,6895
,,,≥ 15 and < 25 Years,10 or fewer,5607,5617
,,,≥ 25 and < 45 Years,61,12242,12303
,,,≥ 45 and < 65 Years,31,11366,11397
,,,65 Years or more,10 or fewer,13436,13446
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,112,49546,49658
,,Tennessee,Less than 15 Years,10 or fewer,7734,7735
,,,≥ 15 and < 25 Years,10 or fewer,5172,5182
,,,≥ 25 and < 45 Years,31,10898,10929
,,,≥ 45 and < 65 Years,12,10376,10388
,,,65 Years or more,10 or fewer,10569,10572
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,57,44749,44806
,,Oklahoma,Less than 15 Years,10 or fewer,4552,4553
,,,≥ 15 and < 25 Years,10 or fewer,3157,3161
,,,≥ 25 and < 45 Years,17,7433,7450
,,,≥ 45 and < 65 Years,10 or fewer,6842,6848
,,,65 Years or more,10 or fewer,7394,7397
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,31,29378,29409
,,Iowa,Less than 15 Years,10 or fewer,5456,5457
,,,≥ 15 and < 25 Years,10 or fewer,4054,4056
,,,≥ 25 and < 45 Years,13,8588,8601
