Session Title,HbA1c 7.5+ and HbA1c 7.0+ and HbA1c 6.5+ and Number of Patients by Age in Years (Current) Range and State of Residence (U.S.),,,,
Session ID,2748873,,,,
Data Model,Patients,,,,
Population Base,All Patients,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Base Patient,,,,
Session Date Range,1/1/2023 - 7/10/2025,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,8/11/2025,,,,
,,,,,
,,,,,
,Measures,HbA1c 7.5+ (%),HbA1c 7.0+ (%),HbA1c 6.5+ (%),Number of Patients
Age in Years (Current),State of Residence (U.S.),,,,
Less than 18,Federated States of Micronesia,-,-,-,10 or fewer
,Northern Mariana Islands,-,-,-,10 or fewer
,Marshall Islands,-,-,-,10 or fewer
,West Virginia,1.5%,1.7%,2%,120361
,Ohio,1.5%,1.7%,2%,1149964
,Kentucky,1.6%,1.8%,2.1%,332028
,South Carolina,1.6%,1.8%,2.2%,406781
,Alabama,1.6%,1.8%,2.2%,72168
,North Carolina,1.4%,1.6%,1.9%,794418
,Maine,1.4%,1.5%,1.7%,88229
,Guam,-,-,-,83
,Illinois,1.4%,1.6%,1.9%,826547
,Delaware,1.4%,1.6%,1.9%,51643
,Michigan,1.3%,1.5%,1.8%,699513
,Oklahoma,1.5%,1.7%,2%,160787
,Pennsylvania,1.1%,1.3%,1.6%,963290
,Missouri,1.2%,1.4%,1.7%,155897
,Virginia,1.2%,1.4%,1.7%,632851
,Louisiana,1.2%,1.4%,1.6%,310667
,Virgin Islands,-,-,-,236
,Nebraska,1.6%,1.8%,2.1%,113980
,Kansas,1.3%,1.5%,1.7%,124476
,Maryland,1.1%,1.2%,1.5%,310048
,Iowa,1.4%,1.6%,1.9%,244536
,Arkansas,1.5%,1.7%,2%,139540
,Idaho,1.4%,1.5%,1.8%,129349
,North Dakota,1.4%,1.5%,1.7%,90452
,Wisconsin,1.3%,1.5%,1.7%,443423
,Tennessee,1.3%,1.4%,1.7%,196208
,Minnesota,1.3%,1.4%,1.6%,362194
,New York,1%,1.1%,1.4%,957143
,New Jersey,1%,1.2%,1.5%,372130
,New Hampshire,1.2%,1.4%,1.5%,65865
,South Dakota,1.3%,1.4%,1.6%,63782
,Wyoming,1.2%,1.4%,1.6%,21097
,New Mexico,1.2%,1.4%,1.6%,41956
,Massachusetts,0.926%,1.1%,1.3%,506113
,Hawaii,1.1%,1.3%,1.6%,96023
,Connecticut,1%,1.2%,1.4%,351548
,Rhode Island,0.999%,1.2%,1.5%,28121
,Oregon,1%,1.2%,1.4%,304075
,Texas,1.1%,1.3%,1.6%,1625082
,Georgia,1.1%,1.3%,1.5%,419677
,Arizona,1.1%,1.2%,1.5%,249124
,Washington,0.907%,1%,1.2%,297674
,Vermont,0.992%,1.1%,1.3%,48181
,Florida,1%,1.1%,1.4%,1081576
,Puerto Rico,0.838%,0.944%,1.1%,9423
,California,0.877%,0.997%,1.2%,1409190
,Alaska,0.675%,0.717%,1%,2371
,Montana,0.855%,0.972%,1.1%,54757
,Colorado,0.809%,0.926%,1.1%,495708
,None of the above,0.855%,0.971%,1.2%,648971
,Total,1.2%,1.3%,1.6%,18692208
≥ 35 and < 45,Federated States of Micronesia,-,-,-,15
,Northern Mariana Islands,-,-,-,15
,Marshall Islands,-,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,-,30
,Mississippi,4%,4.5%,5.4%,237589
,Indiana,3.5%,4%,4.9%,396133
,West Virginia,3.3%,3.8%,4.6%,123005
,Ohio,3.3%,3.8%,4.7%,1167919
,Kentucky,3.4%,4%,4.9%,334559
,South Carolina,3.4%,3.9%,4.9%,424556
,Alabama,3.3%,3.8%,4.7%,80770
,North Carolina,3.1%,3.6%,4.5%,807912
,Maine,2.6%,3%,3.5%,101501
,Guam,-,-,-,88
,Illinois,3.3%,3.7%,4.6%,812840
,Delaware,3.3%,3.8%,4.7%,53420
,Michigan,2.8%,3.3%,4%,693125
,Oklahoma,3.3%,3.8%,4.5%,168337
,Pennsylvania,2.5%,2.9%,3.6%,1010460
,Missouri,2.8%,3.2%,4%,156494
,Virginia,2.6%,3%,3.7%,697780
,Louisiana,2.8%,3.2%,4%,328284
,Virgin Islands,-,-,2.7%,481
,Nebraska,2.8%,3.3%,4%,113919
,Kansas,2.6%,3%,3.8%,132485
,Maryland,2.4%,2.7%,3.4%,333209
,Iowa,3.1%,3.5%,4.2%,244048
,Arkansas,3.4%,3.8%,4.5%,142568
,Idaho,2.7%,3.1%,3.7%,131647
,North Dakota,2.8%,3.2%,3.8%,91433
,Wisconsin,2.9%,3.3%,3.9%,445020
,Tennessee,2.7%,3%,3.8%,194141
,Minnesota,2.5%,2.8%,3.4%,390381
,New York,2.2%,2.5%,3.2%,970702
,New Jersey,2.3%,2.7%,3.5%,399025
,New Hampshire,2.1%,2.5%,3%,70454
,South Dakota,2.6%,3%,3.6%,63030
,Wyoming,2.4%,2.8%,3.4%,22262
,New Mexico,2.5%,2.8%,3.5%,45154
,Massachusetts,2.1%,2.5%,3.1%,490512
,Hawaii,2.5%,2.9%,3.6%,104398
,Connecticut,2.1%,2.4%,2.9%,364359
,Rhode Island,2.4%,2.9%,3.7%,24651
,Oregon,2.3%,2.6%,3.1%,313189
,Texas,2.6%,3%,3.7%,1729126
,Georgia,2.4%,2.8%,3.5%,439046
,Arizona,2.6%,2.9%,3.6%,245586
,Washington,2%,2.3%,2.9%,312537
