Session Title,Number of Patients by Diagnosis (Encounter) and State of Residence (U.S.) and Age at Encounter in Years Range,,,,,
Session ID,2773512,,,,,
Data Model,Patients,,,,,
Population Base,All Patients,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,
Session Date Range,1/1/2024 - 12/31/2024,,,,,
Measure,Number of Patients,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,11/5/2025,,,,,
,,,,,,
,,,,,,
,,,Diagnosis (Encounter),firearms initial,None of the above,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence (U.S.),Age at Encounter in Years,Year,Month,,,
,,,Aug,10 or fewer,72536,72540
,,,Sep,11,71675,71686
,,,Oct,10 or fewer,76428,76435
,,,Nov,10 or fewer,79218,79227
,,,Dec,10 or fewer,87816,87825
,No value,2024,Jan,10 or fewer,8980,8985
,,,Feb,10 or fewer,9823,9829
,,,Mar,10 or fewer,9652,9660
,,,Apr,10 or fewer,9123,9125
,,,May,10 or fewer,9297,9302
,,,Jun,10 or fewer,9080,9083
,,,Jul,10 or fewer,9079,9084
,,,Aug,10 or fewer,9247,9253
,,,Sep,10 or fewer,9151,9155
,,,Oct,10 or fewer,9611,9612
,,,Nov,10 or fewer,10154,10158
,,,Dec,10 or fewer,10020,10025
,"Total: Total includes all data under the Florida bucket, including data from rows not currently displayed.",2024,Jan,129,317305,317434
,,,Feb,100,302116,302216
,,,Mar,144,316339,316483
,,,Apr,132,310420,310552
,,,May,126,318232,318358
,,,Jun,101,295310,295411
,,,Jul,116,307249,307365
,,,Aug,113,306289,306402
,,,Sep,101,314051,314152
,,,Oct,116,318920,319036
,,,Nov,128,345647,345775
,,,Dec,159,370123,370282
Ohio,Less than 15 Years,2024,Jan,10 or fewer,45519,45525
,,,Feb,10 or fewer,52135,52141
,,,Mar,10 or fewer,48231,48235
,,,Apr,10 or fewer,44138,44143
,,,May,10 or fewer,46064,46069
,,,Jun,10 or fewer,34389,34397
,,,Jul,10 or fewer,33936,33945
,,,Aug,10 or fewer,36379,36384
,,,Sep,10 or fewer,42587,42591
,,,Oct,10 or fewer,45127,45132
,,,Nov,10 or fewer,43730,43737
,,,Dec,10 or fewer,48594,48596
,≥ 15 and < 25 Years,2024,Jan,59,37810,37869
,,,Feb,58,37600,37658
,,,Mar,51,37543,37594
,,,Apr,64,36953,37017
,,,May,79,38374,38453
,,,Jun,85,36428,36513
,,,Jul,64,38041,38105
,,,Aug,73,38638,38711
,,,Sep,74,40691,40765
,,,Oct,81,41293,41374
,,,Nov,67,38856,38923
,,,Dec,64,40041,40105
,≥ 25 and < 45 Years,2024,Jan,78,83953,84031
,,,Feb,90,81354,81444
,,,Mar,102,82948,83050
,,,Apr,106,79955,80061
,,,May,103,84562,84665
,,,Jun,151,82231,82382
,,,Jul,112,86834,86946
,,,Aug,112,85938,86050
,,,Sep,136,84467,84603
,,,Oct,104,84547,84651
,,,Nov,105,81416,81521
,,,Dec,93,86120,86213
,≥ 45 and < 65 Years,2024,Jan,33,71066,71099
,,,Feb,27,68112,68139
,,,Mar,30,70554,70584
,,,Apr,37,69321,69358
,,,May,45,73617,73662
,,,Jun,38,71375,71413
,,,Jul,33,74934,74967
,,,Aug,37,74646,74683
,,,Sep,37,72386,72423
,,,Oct,32,71602,71634
,,,Nov,20,68119,68139
,,,Dec,48,72849,72897
,65 Years or more,2024,Jan,10 or fewer,75341,75350
,,,Feb,10 or fewer,71178,71185
,,,Mar,10 or fewer,74289,74297
,,,Apr,11,74183,74194
,,,May,16,78515,78531
,,,Jun,10 or fewer,76834,76840
,,,Jul,10 or fewer,79824,79834
,,,Aug,13,79776,79789
,,,Sep,12,77737,77749
,,,Oct,10 or fewer,77525,77532
,,,Nov,13,74396,74409
,,,Dec,10 or fewer,82451,82459
,No value,2024,Jan,14,8177,8191
,,,Feb,10 or fewer,8229,8233
,,,Mar,14,7721,7735
,,,Apr,10 or fewer,7675,7682
,,,May,10 or fewer,7828,7832
,,,Jun,10 or fewer,7319,7329
,,,Jul,10 or fewer,7336,7346
,,,Aug,12,7631,7643
,,,Sep,10 or fewer,7289,7293
,,,Oct,10 or fewer,7968,7973
,,,Nov,10 or fewer,7592,7601
,,,Dec,10 or fewer,7258,7264
,"Total: Total includes all data under the Ohio bucket, including data from rows not currently displayed.",2024,Jan,199,321819,322018
,,,Feb,192,318564,318756
,,,Mar,209,321236,321445
,,,Apr,230,312193,312423
,,,May,252,328923,329175
,,,Jun,298,308538,308836
,,,Jul,238,320866,321104
,,,Aug,252,322962,323214
,,,Sep,267,325104,325371
,,,Oct,234,328016,328250
,,,Nov,221,314073,314294
,,,Dec,221,337276,337497
Pennsylvania,Less than 15 Years,2024,Jan,10 or fewer,24231,24235
,,,Feb,10 or fewer,26349,26354
,,,Mar,10 or fewer,27812,27814
,,,Apr,10 or fewer,25913,25918
,,,May,10 or fewer,25892,25893
,,,Jun,10 or fewer,21308,21315
,,,Jul,10 or fewer,19648,19651
,,,Aug,10 or fewer,19389,19392
,,,Sep,10 or fewer,24293,24294
,,,Oct,10 or fewer,26373,26374
,,,Nov,10 or fewer,25603,25605
,,,Dec,10 or fewer,29134,29137
,≥ 15 and < 25 Years,2024,Jan,27,21404,21431
,,,Feb,23,20869,20892
,,,Mar,34,21591,21625
,,,Apr,25,21922,21947
,,,May,36,22462,22498
,,,Jun,45,20935,20980
,,,Jul,45,21685,21730
,,,Aug,26,21235,21261
,,,Sep,31,22577,22608
,,,Oct,34,23039,23073
,,,Nov,25,21492,21517
,,,Dec,34,22388,22422
,≥ 25 and < 45 Years,2024,Jan,60,50615,50675
,,,Feb,47,48200,48247
,,,Mar,46,50795,50841
,,,Apr,52,49572,49624
,,,May,58,51964,52022
,,,Jun,52,50803,50855
,,,Jul,68,53166,53234
,,,Aug,56,52355,52411
,,,Sep,51,51012,51063
,,,Oct,56,51950,52006
,,,Nov,55,49113,49168
,,,Dec,48,51645,51693
,≥ 45 and < 65 Years,2024,Jan,11,46033,46044
,,,Feb,16,43200,43216
,,,Mar,10 or fewer,44874,44884
,,,Apr,10 or fewer,44902,44911
,,,May,19,46640,46659
,,,Jun,19,45540,45559
,,,Jul,16,48277,48293
,,,Aug,12,47478,47490
,,,Sep,24,45455,45479
,,,Oct,21,45997,46018
,,,Nov,15,43341,43356
,,,Dec,22,46087,46109
,65 Years or more,2024,Jan,10 or fewer,53798,53806
,,,Feb,10 or fewer,50094,50098
,,,Mar,12,52847,52859
,,,Apr,10 or fewer,52063,52069
,,,May,10 or fewer,55303,55310
,,,Jun,11,53863,53874
,,,Jul,13,55409,55422
,,,Aug,11,54908,54919
,,,Sep,10 or fewer,53106,53110
,,,Oct,10 or fewer,54779,54786
,,,Nov,10 or fewer,52075,52085
,,,Dec,13,58218,58231
,No value,2024,Jan,10 or fewer,7198,7205
,,,Feb,10 or fewer,6847,6852
,,,Mar,10 or fewer,6548,6553
,,,Apr,10 or fewer,6374,6378
,,,May,10 or fewer,6287,6291
,,,Jun,10 or fewer,6136,6140
,,,Jul,10 or fewer,6136,6143
,,,Aug,10 or fewer,6238,6243
,,,Sep,10 or fewer,5814,5820
,,,Oct,10 or fewer,6470,6479
,,,Nov,10 or fewer,6339,6341
,,,Dec,10 or fewer,6181,6185
,"Total: Total includes all data under the Pennsylvania bucket, including data from rows not currently displayed.",2024,Jan,117,203259,203376
,,,Feb,100,195544,195644
,,,Mar,109,204443,204552
,,,Apr,101,200734,200835
,,,May,125,208536,208661
,,,Jun,138,198567,198705
,,,Jul,152,204293,204445
,,,Aug,113,201579,201692
,,,Sep,117,202237,202354
,,,Oct,128,208580,208708
,,,Nov,109,197942,198051
,,,Dec,124,213633,213757
New York,Less than 15 Years,2024,Jan,10 or fewer,21722,21722
,,,Feb,10 or fewer,20721,20722
,,,Mar,10 or fewer,22822,22823
,,,Apr,10 or fewer,21242,21242
,,,May,10 or fewer,22361,22363
,,,Jun,10 or fewer,20321,20324
,,,Jul,10 or fewer,19419,19421
,,,Aug,10 or fewer,18399,18400
,,,Sep,10 or fewer,21280,21283
,,,Oct,10 or fewer,22638,22639
,,,Nov,10 or fewer,23324,23325
,,,Dec,10 or fewer,26646,26647
,≥ 15 and < 25 Years,2024,Jan,15,19329,19344
,,,Feb,10 or fewer,18443,18453
,,,Mar,14,19610,19624
,,,Apr,10 or fewer,19732,19741
,,,May,26,20270,20296
,,,Jun,30,18986,19016
,,,Jul,23,19991,20014
,,,Aug,19,19856,19875
,,,Sep,26,21318,21344
,,,Oct,19,21490,21509
,,,Nov,10 or fewer,20637,20647
,,,Dec,13,20678,20691
,≥ 25 and < 45 Years,2024,Jan,26,45741,45767
,,,Feb,19,42514,42533
,,,Mar,22,45570,45592
,,,Apr,20,45085,45105
,,,May,34,47114,47148
,,,Jun,28,46880,46908
,,,Jul,35,49524,49559
,,,Aug,23,48825,48848
,,,Sep,30,46337,46367
,,,Oct,23,46701,46724
,,,Nov,27,45696,45723
,,,Dec,23,48100,48123
,≥ 45 and < 65 Years,2024,Jan,10 or fewer,39709,39715
,,,Feb,10 or fewer,37297,37303
,,,Mar,10 or fewer,39137,39143
,,,Apr,11,38942,38953
,,,May,10 or fewer,41056,41063
,,,Jun,10 or fewer,40638,40644
,,,Jul,10 or fewer,43149,43158
,,,Aug,10 or fewer,42322,42330
,,,Sep,10 or fewer,40205,40212
,,,Oct,10 or fewer,40461,40470
,,,Nov,10 or fewer,39541,39545
,,,Dec,10 or fewer,41849,41857
,65 Years or more,2024,Jan,10 or fewer,43014,43015
,,,Feb,10 or fewer,40044,40045
,,,Mar,10 or fewer,42526,42528
,,,Apr,10 or fewer,42708,42711
,,,May,10 or fewer,45406,45407
,,,Jun,10 or fewer,44694,44696
,,,Jul,10 or fewer,47253,47255
,,,Aug,10 or fewer,46821,46823
,,,Sep,10 or fewer,44701,44709
,,,Oct,10 or fewer,45920,45922
,,,Nov,10 or fewer,45436,45439
,,,Dec,10 or fewer,49119,49119
,No value,2024,Jan,10 or fewer,6696,6700
,,,Feb,10 or fewer,6274,6276
,,,Mar,10 or fewer,6113,6113
,,,Apr,10 or fewer,6680,6680
,,,May,10 or fewer,6465,6465
,,,Jun,10 or fewer,6182,6184
,,,Jul,10 or fewer,6529,6530
,,,Aug,10 or fewer,6553,6554
,,,Sep,10 or fewer,6348,6349
,,,Oct,10 or fewer,6833,6834
,,,Nov,10 or fewer,6558,6560
,,,Dec,10 or fewer,6577,6581
,"Total: Total includes all data under the New York bucket, including data from rows not currently displayed.",2024,Jan,52,176192,176244
,,,Feb,39,165275,165314
,,,Mar,45,175754,175799
,,,Apr,43,174376,174419
,,,May,70,182647,182717
,,,Jun,71,177687,177758
,,,Jul,72,185835,185907
,,,Aug,54,182755,182809
,,,Sep,75,180171,180246
,,,Oct,55,184023,184078
,,,Nov,47,181164,181211
,,,Dec,49,192948,192997
North Carolina,Less than 15 Years,2024,Jan,10 or fewer,24840,24842
,,,Feb,10 or fewer,26734,26740
,,,Mar,10 or fewer,27765,27771
,,,Apr,10 or fewer,25524,25529
,,,May,10 or fewer,26565,26569
,,,Jun,10 or fewer,21832,21837
,,,Jul,10 or fewer,20156,20161
,,,Aug,10 or fewer,21131,21137
,,,Sep,10 or fewer,26231,26235
,,,Oct,10 or fewer,27894,27898
,,,Nov,10 or fewer,28279,28284
,,,Dec,10 or fewer,32159,32162
,≥ 15 and < 25 Years,2024,Jan,37,20024,20061
,,,Feb,57,19612,19669
,,,Mar,52,20442,20494
,,,Apr,64,20675,20739
,,,May,61,21953,22014
,,,Jun,70,20794,20864
,,,Jul,62,21053,21115
,,,Aug,52,21886,21938
,,,Sep,67,22747,22814
,,,Oct,69,23282,23351
,,,Nov,61,22012,22073
,,,Dec,50,22392,22442
,≥ 25 and < 45 Years,2024,Jan,58,46127,46185
,,,Feb,64,42766,42830
,,,Mar,73,44752,44825
,,,Apr,69,44240,44309
,,,May,96,48722,48818
,,,Jun,77,47765,47842
,,,Jul,80,50640,50720
,,,Aug,77,49853,49930
,,,Sep,78,48682,48760
,,,Oct,87,48678,48765
,,,Nov,68,47546,47614
,,,Dec,71,49818,49889
,≥ 45 and < 65 Years,2024,Jan,15,40003,40018
,,,Feb,22,37267,37289
,,,Mar,19,39483,39502
,,,Apr,23,38906,38929
,,,May,26,42799,42825
,,,Jun,24,42260,42284
,,,Jul,38,44058,44096
,,,Aug,28,44096,44124
,,,Sep,21,42122,42143
,,,Oct,29,42228,42257
,,,Nov,22,40449,40471
,,,Dec,24,42976,43000
,65 Years or more,2024,Jan,10 or fewer,42644,42650
