Session Title,"Opioid Overdoses in ED, State Month Age",,,,,
Session ID,2768307,,,,,
Data Model,ED Encounters,,,,,
Population Base,All ED Encounters,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,,
Session Date Range,1/1/2018 - 3/31/2019 (Based On Arrival Date),,,,,
Measure,Number of ED Encounters,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,10/22/2025,,,,,
,,,,,,
,,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above,"Total: Total includes all data, including data from columns not currently displayed."
Year,Month,State of Residence (U.S.),Age at Time of Visit,,,
2018,Jan,Ohio,Less than 15 Years,10 or fewer,46488,46489
,,,≥ 15 and < 25 Years,50,36437,36487
,,,≥ 25 and < 45 Years,320,79426,79746
,,,≥ 45 and < 65 Years,99,68431,68530
,,,65 Years or more,19,54491,54510
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,489,285275,285764
,,Texas,Less than 15 Years,10 or fewer,39163,39163
,,,≥ 15 and < 25 Years,10 or fewer,16216,16217
,,,≥ 25 and < 45 Years,17,33055,33072
,,,≥ 45 and < 65 Years,10 or fewer,30926,30933
,,,65 Years or more,10 or fewer,23335,23336
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,26,142695,142721
,,Pennsylvania,Less than 15 Years,10 or fewer,19291,19291
,,,≥ 15 and < 25 Years,19,15785,15804
,,,≥ 25 and < 45 Years,127,33558,33685
,,,≥ 45 and < 65 Years,38,31036,31074
,,,65 Years or more,11,28962,28973
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,195,128637,128832
,,Virginia,Less than 15 Years,10 or fewer,21392,21394
,,,≥ 15 and < 25 Years,10 or fewer,17547,17554
,,,≥ 25 and < 45 Years,39,39981,40020
,,,≥ 45 and < 65 Years,23,35188,35211
,,,65 Years or more,11,31591,31602
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,82,145705,145787
,,North Carolina,Less than 15 Years,10 or fewer,20244,20245
,,,≥ 15 and < 25 Years,32,16096,16128
,,,≥ 25 and < 45 Years,71,35045,35116
,,,≥ 45 and < 65 Years,25,31469,31494
,,,65 Years or more,10 or fewer,27678,27684
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,135,130532,130667
,,Florida,Less than 15 Years,10 or fewer,29494,29494
,,,≥ 15 and < 25 Years,10 or fewer,13737,13741
,,,≥ 25 and < 45 Years,47,27893,27940
,,,≥ 45 and < 65 Years,10 or fewer,25928,25937
,,,65 Years or more,10 or fewer,20318,20320
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,62,117370,117432
,,New York,Less than 15 Years,10 or fewer,17106,17106
,,,≥ 15 and < 25 Years,13,12488,12501
,,,≥ 25 and < 45 Years,37,26748,26785
,,,≥ 45 and < 65 Years,18,25167,25185
,,,65 Years or more,10 or fewer,23242,23244
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,70,104751,104821
,,Michigan,Less than 15 Years,10 or fewer,19071,19072
,,,≥ 15 and < 25 Years,17,14123,14140
,,,≥ 25 and < 45 Years,114,27690,27804
,,,≥ 45 and < 65 Years,45,23922,23967
,,,65 Years or more,11,20136,20147
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,188,104942,105130
,,Georgia,Less than 15 Years,10 or fewer,32781,32781
,,,≥ 15 and < 25 Years,10 or fewer,10639,10646
,,,≥ 25 and < 45 Years,22,19487,19509
,,,≥ 45 and < 65 Years,15,17923,17938
,,,65 Years or more,10 or fewer,12017,12026
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,53,92847,92900
,,Illinois,Less than 15 Years,10 or fewer,18354,18355
,,,≥ 15 and < 25 Years,10 or fewer,10088,10093
,,,≥ 25 and < 45 Years,31,19567,19598
,,,≥ 45 and < 65 Years,21,17559,17580
,,,65 Years or more,10 or fewer,17008,17011
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,61,82578,82639
,,California,Less than 15 Years,10 or fewer,10651,10651
,,,≥ 15 and < 25 Years,10 or fewer,8886,8890
,,,≥ 25 and < 45 Years,10 or fewer,18733,18741
,,,≥ 45 and < 65 Years,10 or fewer,17503,17509
,,,65 Years or more,10 or fewer,15201,15204
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,21,70974,70995
,,Wisconsin,Less than 15 Years,10 or fewer,16577,16577
