Session Title,Number of Patients by Diagnosis (Encounter) and State of Residence (U.S.) and Age at Encounter in Years Range,,,,,
Session ID,2770886,,,,,
Data Model,Patients,,,,,
Population Base,All Patients,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,
Session Date Range,1/1/2023 - 12/31/2023,,,,,
Measure,Number of Patients,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,10/29/2025,,,,,
,,,,,,
,,,,,,
,,,Diagnosis (Encounter),Heat,None of the above,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence (U.S.),Age at Encounter in Years,Year,Month,,,
,,,Apr,10 or fewer,51942,51950
,,,May,40,54661,54701
,,,Jun,261,54184,54445
,,,Jul,302,55569,55871
,,,Aug,360,56469,56829
,,,Sep,111,54761,54872
,,,Oct,19,55855,55874
,,,Nov,10 or fewer,55410,55415
,,,Dec,10 or fewer,61194,61199
,No value,2023,Jan,10 or fewer,8578,8578
,,,Feb,10 or fewer,8120,8121
,,,Mar,10 or fewer,8666,8666
,,,Apr,10 or fewer,8203,8203
,,,May,10 or fewer,8449,8449
,,,Jun,10 or fewer,8471,8471
,,,Jul,10 or fewer,8001,8003
,,,Aug,10 or fewer,8374,8374
,,,Sep,10 or fewer,8342,8345
,,,Oct,10 or fewer,8025,8025
,,,Nov,10 or fewer,8200,8200
,,,Dec,10 or fewer,8777,8778
,"Total: Total includes all data under the Texas bucket, including data from rows not currently displayed.",2023,Jan,10 or fewer,264513,264521
,,,Feb,13,240494,240507
,,,Mar,29,278471,278500
,,,Apr,49,273689,273738
,,,May,205,287629,287834
,,,Jun,1474,268440,269914
,,,Jul,1806,269880,271686
,,,Aug,2096,284872,286968
,,,Sep,671,286280,286951
,,,Oct,71,288602,288673
,,,Nov,12,288383,288395
,,,Dec,10 or fewer,303463,303473
Ohio,Less than 15 Years,2023,Jan,10 or fewer,34597,34597
,,,Feb,10 or fewer,38051,38053
,,,Mar,10 or fewer,43349,43349
,,,Apr,10 or fewer,40822,40823
,,,May,10 or fewer,43623,43633
,,,Jun,15,33186,33201
,,,Jul,18,32026,32044
,,,Aug,17,34762,34779
,,,Sep,10 or fewer,42055,42062
,,,Oct,10 or fewer,45585,45585
,,,Nov,10 or fewer,47714,47715
,,,Dec,10 or fewer,53800,53800
,≥ 15 and < 25 Years,2023,Jan,10 or fewer,32798,32799
,,,Feb,10 or fewer,30866,30868
,,,Mar,10 or fewer,34419,34421
,,,Apr,10 or fewer,32581,32588
,,,May,13,34202,34215
,,,Jun,19,31823,31842
,,,Jul,57,33152,33209
,,,Aug,38,34840,34878
,,,Sep,13,36716,36729
,,,Oct,10 or fewer,39029,39032
,,,Nov,10 or fewer,36951,36955
,,,Dec,10 or fewer,37994,37996
,≥ 25 and < 45 Years,2023,Jan,10 or fewer,72924,72926
,,,Feb,10 or fewer,67296,67296
,,,Mar,10 or fewer,75082,75084
,,,Apr,10 or fewer,71161,71170
,,,May,27,75228,75255
,,,Jun,46,73306,73352
,,,Jul,101,76957,77058
,,,Aug,70,77708,77778
,,,Sep,33,76260,76293
,,,Oct,10 or fewer,81119,81124
,,,Nov,10 or fewer,78662,78667
,,,Dec,10 or fewer,84584,84587
,≥ 45 and < 65 Years,2023,Jan,10 or fewer,61769,61771
,,,Feb,10 or fewer,56474,56475
,,,Mar,10 or fewer,62663,62663
,,,Apr,10 or fewer,60926,60930
,,,May,10 or fewer,64042,64051
