Session Title,Number of ED Encounters and Percent with Self-Harm Dx by State of Residence (U.S.) and Age at Time of Visit Range,,,,
Session ID,2758643,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2023 - 8/27/2025 (Based On Arrival Date),,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,9/19/2025,,,,
,,,,,
,,,,,
,,,Measures,Number of ED Encounters,Percent with Self-Harm Dx (%)
State of Residence (U.S.),Age at Time of Visit,Year,Month,,
,,,Jun,44206,0.136%
,,,Jul,46767,0.156%
,,,Aug,45176,0.144%
,,,Sep,45256,0.164%
,,,Oct,44531,0.121%
,,,Nov,47910,0.115%
,,,Dec,52303,0.126%
,,2025,Jan,53052,0.09%
,,,Feb,46288,0.16%
,,,Mar,51096,0.123%
,,,Apr,50153,0.126%
,,,May,52087,0.148%
,,,Jun,49627,0.127%
,,,Jul,51619,0.13%
,,,Aug 1 – Aug 27,45320,0.132%
,≥ 30 and < 50 Years,2023,Jan,80427,0.077%
,,,Feb,72924,0.108%
,,,Mar,81860,0.134%
,,,Apr,79449,0.106%
,,,May,85842,0.104%
,,,Jun,82859,0.113%
,,,Jul,86304,0.104%
,,,Aug,88887,0.104%
,,,Sep,84075,0.089%
,,,Oct,85345,0.104%
,,,Nov,82998,0.101%
,,,Dec,86739,0.078%
,,2024,Jan,89222,0.078%
,,,Feb,81683,0.094%
,,,Mar,87142,0.095%
,,,Apr,86134,0.099%
,,,May,90615,0.076%
,,,Jun,86655,0.08%
,,,Jul,91805,0.073%
,,,Aug,89249,0.082%
,,,Sep,89197,0.083%
,,,Oct,87835,0.089%
,,,Nov,93590,0.095%
,,,Dec,99840,0.084%
,,2025,Jan,103299,0.079%
,,,Feb,92657,0.084%
,,,Mar,101343,0.068%
,,,Apr,99450,0.077%
,,,May,103539,0.084%
,,,Jun,99727,0.089%
,,,Jul,104098,0.085%
,,,Aug 1 – Aug 27,91907,0.071%
