Session Title,Firearm injury in ED by state and BRFSS Age,,
Session ID,2748876,,
Data Model,ED Encounters,,
Population Base,All ED Encounters,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,ED Diagnoses: Firearm Injuries,,
Session Date Range,1/1/2023 - 7/10/2025 (Based On Arrival Date),,
Measure,Number of ED Encounters,,
Export User,Stephanie Perniciaro,,
Date of Export,8/11/2025,,
,,,
,,,
,,,Number of ED Encounters
Year,State of Residence (U.S.),Age at Time of Visit,
Jan 1 – Dec 31 2023,Ohio,Less than 18 Years,257
,,≥ 18 and < 25 Years,651
,,≥ 25 and < 35 Years,640
,,≥ 35 and < 45 Years,352
,,≥ 45 and < 55 Years,163
,,≥ 55 and < 65 Years,104
,,65 Years or more,86
,,No value,10 or fewer
,,Total,2253
,Texas,Less than 18 Years,243
,,≥ 18 and < 25 Years,474
,,≥ 25 and < 35 Years,411
,,≥ 35 and < 45 Years,286
,,≥ 45 and < 55 Years,150
,,≥ 55 and < 65 Years,83
,,65 Years or more,65
,,No value,10 or fewer
,,Total,1712
,North Carolina,Less than 18 Years,202
,,≥ 18 and < 25 Years,417
,,≥ 25 and < 35 Years,382
,,≥ 35 and < 45 Years,227
,,≥ 45 and < 55 Years,107
,,≥ 55 and < 65 Years,58
,,65 Years or more,38
,,No value,10 or fewer
,,Total,1431
,Florida,Less than 18 Years,172
,,≥ 18 and < 25 Years,351
,,≥ 25 and < 35 Years,388
,,≥ 35 and < 45 Years,207
,,≥ 45 and < 55 Years,96
,,≥ 55 and < 65 Years,79
,,65 Years or more,57
,,No value,10 or fewer
,,Total,1350
,Mississippi,Less than 18 Years,155
,,≥ 18 and < 25 Years,329
,,≥ 25 and < 35 Years,263
,,≥ 35 and < 45 Years,182
,,≥ 45 and < 55 Years,91
,,≥ 55 and < 65 Years,61
,,65 Years or more,37
,,No value,10 or fewer
,,Total,1118
,South Carolina,Less than 18 Years,149
,,≥ 18 and < 25 Years,261
,,≥ 25 and < 35 Years,280
,,≥ 35 and < 45 Years,168
,,≥ 45 and < 55 Years,67
,,≥ 55 and < 65 Years,44
,,65 Years or more,27
,,No value,10 or fewer
,,Total,996
,Louisiana,Less than 18 Years,162
,,≥ 18 and < 25 Years,291
,,≥ 25 and < 35 Years,249
,,≥ 35 and < 45 Years,149
,,≥ 45 and < 55 Years,82
,,≥ 55 and < 65 Years,47
,,65 Years or more,28
,,No value,10 or fewer
,,Total,1008
,Pennsylvania,Less than 18 Years,96
,,≥ 18 and < 25 Years,261
,,≥ 25 and < 35 Years,289
,,≥ 35 and < 45 Years,173
,,≥ 45 and < 55 Years,71
,,≥ 55 and < 65 Years,51
,,65 Years or more,52
,,No value,10 or fewer
,,Total,993
,Illinois,Less than 18 Years,107
,,≥ 18 and < 25 Years,245
,,≥ 25 and < 35 Years,255
,,≥ 35 and < 45 Years,120
,,≥ 45 and < 55 Years,55
,,≥ 55 and < 65 Years,33
