Session Title,HA1C 6.5+ and Percentage w/BMI 30.0+ by BRFSS Age and County,,,
Session Description,"commercial, medicare and medicaid for states WA-WY",,,
Session ID,2732946,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence (U.S.): Washington, West Virginia, Wisconsin, Wyoming",Base Patient,,
Session Date Range,1/1/2023 12:00 AM - 7/17/2025 12:00 AM,,,
Export User,Stephanie Perniciaro,,,
Date of Export,8/7/2025,,,
,,,,
,,,,
,Measures,Number of Patients,Percentage with Base Patient followed by Hemoglobin A1C 6.5% or more within 10 years (%),Percentage with Base Patient followed by BMI 30.0  or more within 10 years (%)
Age in Years (Current),County of Residence,,,
,"HARDY, WV",1162,-,9%
,"RICHLAND, WI",1219,-,4.8%
,"IOWA, WI",1420,-,4.6%
,"BUFFALO, WI",1334,-,5.5%
,"BURNETT, WI",976,-,8.4%
,"RITCHIE, WV",1220,-,7.6%
,"UINTA, WY",1734,-,2.4%
,"MARQUETTE, WI",962,-,6.5%
,"MINGO, WV",886,-,9.8%
,"SPOKANE, WA",773,-,3.5%
,"MASON, WV",1650,-,10.7%
,"PORTAGE, WI",1627,-,2.7%
,"MCDOWELL, WV",780,-,9.5%
,"CLAY, WV",876,-,8.1%
,"TYLER, WV",1110,-,8.7%
,"GREENBRIER, WV",820,-,5.6%
,"PACIFIC, WA",528,-,8.1%
,"RUSK, WI",987,-,6.1%
,"WOOD, WI",1245,-,3.2%
,"GREEN LAKE, WI",1258,0.954%,6.2%
,"WEBSTER, WV",671,-,8.9%
,"BOONE, WV",1089,-,9.1%
,"LOGAN, WV",952,-,6.5%
,"CLARK, WI",936,-,3.3%
,"LINCOLN, WV",1281,-,8.1%
,"SKAMANIA, WA",928,-,9.3%
,"PLEASANTS, WV",807,-,7.9%
,"LAFAYETTE, WI",1134,-,2.8%
,"PENDLETON, WV",609,-,7.1%
,"CARBON, WY",864,-,4.2%
,"WYOMING, WV",635,-,6%
,"ROANE, WV",651,-,7.5%
,"DODDRIDGE, WV",787,-,8.3%
,"LEWIS, WA",598,-,4.7%
,"NATRONA, WY",1090,-,5.2%
,"WIRT, WV",744,-,7.9%
,"BENTON, WA",420,-,2.9%
,"ADAMS, WA",811,-,3.6%
,"CAMPBELL, WY",639,2%,4.9%
,"SAN JUAN, WA",208,-,5.8%
,"TUCKER, WV",525,-,6.7%
,"FREMONT, WY",757,-,6.9%
,"MONROE, WV",615,-,5.7%
,"POCAHONTAS, WV",347,-,4.6%
,"PEPIN, WI",544,-,6.3%
,"GILMER, WV",561,-,7.5%
,"CALHOUN, WV",470,-,8.1%
,"MENOMINEE, WI",894,-,6.3%
,"TETON, WY",323,-,-
,"GOSHEN, WY",376,-,5.9%
,"FLORENCE, WI",362,-,4.1%
