Session Title,Number of Patients by Diagnosis (Encounter) and State of Residence (U.S.) and Age at Encounter in Years Range,,,,,
Session ID,2770928,,,,,
Data Model,Patients,,,,,
Population Base,All Patients,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,
Session Date Range,1/1/2025 - 10/16/2025,,,,,
Measure,Number of Patients,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,10/29/2025,,,,,
,,,,,,
,,,,,,
,,,Diagnosis (Encounter),Heat,None of the above,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence (U.S.),Age at Encounter in Years,Year,Month,,,
Florida,Less than 15 Years,2025,Jan,10 or fewer,66447,66447
,,,Feb,10 or fewer,62351,62356
,,,Mar,10 or fewer,62746,62755
,,,Apr,10 or fewer,61073,61083
,,,May,21,60434,60455
,,,Jun,41,47254,47295
,,,Jul,45,44952,44997
,,,Aug,34,53797,53831
,,,Sep,28,59142,59170
,,,Oct 1 – Oct 16,10 or fewer,22033,22037
,≥ 15 and < 25 Years,2025,Jan,10 or fewer,40982,40984
,,,Feb,10 or fewer,36643,36652
,,,Mar,10 or fewer,38721,38729
,,,Apr,26,38301,38327
,,,May,59,38143,38202
,,,Jun,73,34363,34436
,,,Jul,121,35529,35650
,,,Aug,93,37714,37807
,,,Sep,42,38732,38774
,,,Oct 1 – Oct 16,10 or fewer,13986,13991
,≥ 25 and < 45 Years,2025,Jan,10 or fewer,90928,90930
,,,Feb,15,81244,81259
,,,Mar,19,87970,87989
,,,Apr,59,86505,86564
,,,May,165,89649,89814
,,,Jun,177,85183,85360
,,,Jul,264,87701,87965
,,,Aug,210,88156,88366
,,,Sep,91,86496,86587
,,,Oct 1 – Oct 16,10 or fewer,31142,31147
,≥ 45 and < 65 Years,2025,Jan,10 or fewer,76456,76464
,,,Feb,12,70572,70584
,,,Mar,14,75098,75112
,,,Apr,49,72709,72758
,,,May,112,76040,76152
,,,Jun,125,72640,72765
,,,Jul,231,74324,74555
,,,Aug,158,74428,74586
,,,Sep,68,73429,73497
,,,Oct 1 – Oct 16,10 or fewer,25321,25327
,65 Years or more,2025,Jan,10 or fewer,88397,88406
,,,Feb,21,80140,80161
,,,Mar,32,86425,86457
,,,Apr,70,83459,83529
,,,May,115,86804,86919
,,,Jun,145,82905,83050
,,,Jul,188,83985,84173
,,,Aug,139,84651,84790
,,,Sep,66,83164,83230
,,,Oct 1 – Oct 16,15,27119,27134
,No value,2025,Jan,10 or fewer,10916,10917
,,,Feb,10 or fewer,11756,11756
,,,Mar,10 or fewer,10815,10815
,,,Apr,10 or fewer,11356,11356
,,,May,10 or fewer,10606,10607
,,,Jun,10 or fewer,10404,10405
,,,Jul,10 or fewer,10203,10203
,,,Aug,10 or fewer,10317,10319
,,,Sep,10 or fewer,10402,10403
,,,Oct 1 – Oct 16,10 or fewer,12728,12728
,"Total: Total includes all data under the Florida bucket, including data from rows not currently displayed.",2025,Jan,22,374089,374111
,,,Feb,62,342667,342729
,,,Mar,82,361732,361814
,,,Apr,214,353364,353578
,,,May,473,361635,362108
,,,Jun,561,332712,333273
,,,Jul,849,336653,337502
,,,Aug,636,349019,349655
,,,Sep,296,351322,351618
,,,Oct 1 – Oct 16,35,132329,132364
Texas,Less than 15 Years,2025,Jan,10 or fewer,72348,72352
,,,Feb,10 or fewer,65601,65602
,,,Mar,10 or fewer,68376,68383
,,,Apr,14,69285,69299
,,,May,38,67962,68000
,,,Jun,42,52390,52432
,,,Jul,39,49324,49363
,,,Aug,47,59864,59911
,,,Sep,29,65407,65436
,,,Oct 1 – Oct 16,10 or fewer,22215,22223
