Session Title,Positive RSV Tests and RSV tests and Number of Encounters by State of Residence (U.S.) and Age in Years Range,,,,,
Session ID,2747766,,,,,
Data Model,Encounters,,,,,
Population Base,All Encounters,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Diagnosis (All): Pneumonia due to Streptococcus pneumoniae( ICD-10-CM: J13.* ), Acute nasopharyngitis (common cold)( ICD-10-CM: J00.* ), Acute sinusitis( ICD-10-CM: J01.* ), Acute pharyngitis( ICD-10-CM: J02.* ), Acute tonsillitis( ICD-10-CM: J03.* ), Acute laryngitis and tracheitis( ICD-10-CM: J04.* ), Acute obstructive laryngitis (croup) and epiglottitis( ICD-10-CM: J05.* ), Acute upper respiratory infections of multiple and unspecified sites( ICD-10-CM: J06.* ), Influenza due to certain identified influenza viruses( ICD-10-CM: J09.* ), Influenza due to other identified influenza virus( ICD-10-CM: J10.* ), Influenza due to unidentified influenza virus( ICD-10-CM: J11.* ), Viral pneumonia, not elsewhere classified( ICD-10-CM: J12.* ), Pneumonia due to hemophilus influenzae( ICD-10-CM: J14.* ), Bacterial pneumonia, not elsewhere classified( ICD-10-CM: J15.* ), Pneumonia due to other infectious organisms, not elsewhere classified( ICD-10-CM: J16.* ), Pneumonia in diseases classified elsewhere( ICD-10-CM: J17.* ), Pneumonia, unspecified organism( ICD-10-CM: J18.* ), Acute bronchitis( ICD-10-CM: J20.* ), Acute bronchiolitis( ICD-10-CM: J21.* ), Unspecified acute lower respiratory infection( ICD-10-CM: J22.* )",Encounter Type: ED Encounter,,,,
Session Date Range,12/29/2024 12:00 AM - 8/6/2025 12:00 AM (Based On Encounter Start Date),,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,8/21/2025,,,,,
,,,,,,
,,,,,,
,,,Measures,Positive RSV Tests (%),RSV tests (%),Number of Encounters
Year,Week,State of Residence (U.S.),Age in Years,,,
2024 – 2025,Dec 29 – Jan 4,Armed Forces America,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,10 or fewer
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,Arkansas,Less than 1,39.2%,74.4%,352
,,,≥ 1 and < 5,35.6%,81.8%,495
,,,≥ 5 and < 18,11.9%,71.5%,302
,,,≥ 18 and < 50,5.5%,53.2%,434
,,,≥ 50 and < 65,5.1%,57.7%,234
,,,65 or more,5.9%,63.9%,338
,,,No value,-,-,10 or fewer
,,,Total,18.8%,68%,2155
,,Delaware,Less than 1,38.4%,83.6%,146
,,,≥ 1 and < 5,33%,82.2%,230
,,,≥ 5 and < 18,8.1%,83.8%,160
,,,≥ 18 and < 50,7.8%,68.1%,270
,,,≥ 50 and < 65,8.9%,73.4%,124
,,,65 or more,12.4%,73.9%,226
,,,No value,-,-,10 or fewer
,,,Total,17.7%,76.7%,1156
,,Wyoming,Less than 1,-,78.6%,14
,,,≥ 1 and < 5,-,71.4%,21
,,,≥ 5 and < 18,-,58.3%,24
,,,≥ 18 and < 50,-,62.3%,61
,,,≥ 50 and < 65,-,80.6%,31
,,,65 or more,-,70.9%,55
,,,No value,-,-,10 or fewer
,,,Total,-,68.9%,206
,,Montana,Less than 1,-,-,19
,,,≥ 1 and < 5,-,64.5%,31
,,,≥ 5 and < 18,-,48.3%,29
,,,≥ 18 and < 50,-,43.6%,78
,,,≥ 50 and < 65,-,54.8%,42
,,,65 or more,-,52.6%,78
,,,No value,-,-,10 or fewer
,,,Total,-,50.5%,277
,,Kentucky,Less than 1,29.5%,62.2%,484
,,,≥ 1 and < 5,24.8%,62.7%,735
,,,≥ 5 and < 18,6.3%,63.4%,462
,,,≥ 18 and < 50,5.5%,57.5%,966
,,,≥ 50 and < 65,8.4%,63.5%,513
,,,65 or more,7.2%,71%,1020
,,,No value,-,-,10 or fewer
,,,Total,12.5%,63.6%,4180
,,Illinois,Less than 1,37%,73%,801
,,,≥ 1 and < 5,30.9%,75.2%,1520
,,,≥ 5 and < 18,8.8%,66.3%,1171
,,,≥ 18 and < 50,5.3%,64.6%,2444
,,,≥ 50 and < 65,6.2%,69.1%,1157
,,,65 or more,7.2%,74.3%,2290
,,,No value,-,-,10 or fewer
,,,Total,13.2%,70.2%,9383
