Session Title,"Opioid Overdoses in ED, State Month Age",,,,,
Session ID,2768310,,,,,
Data Model,ED Encounters,,,,,
Population Base,All ED Encounters,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,,
Session Date Range,1/1/2021 - 3/31/2022 (Based On Arrival Date),,,,,
Measure,Number of ED Encounters,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,10/22/2025,,,,,
,,,,,,
,,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above,"Total: Total includes all data, including data from columns not currently displayed."
Year,Month,State of Residence (U.S.),Age at Time of Visit,,,
2021,Jan,Ohio,Less than 15 Years,10 or fewer,21114,21114
,,,≥ 15 and < 25 Years,47,29241,29288
,,,≥ 25 and < 45 Years,309,69121,69430
,,,≥ 45 and < 65 Years,88,59468,59556
,,,65 Years or more,18,54360,54378
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,462,233304,233766
,,Texas,Less than 15 Years,10 or fewer,30745,30745
,,,≥ 15 and < 25 Years,19,26954,26973
,,,≥ 25 and < 45 Years,48,60842,60890
,,,≥ 45 and < 65 Years,26,55442,55468
,,,65 Years or more,10 or fewer,48122,48131
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,102,222105,222207
,,Pennsylvania,Less than 15 Years,10 or fewer,9794,9795
,,,≥ 15 and < 25 Years,22,16093,16115
,,,≥ 25 and < 45 Years,114,40902,41016
,,,≥ 45 and < 65 Years,38,38531,38569
,,,65 Years or more,10 or fewer,40971,40978
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,182,146292,146474
,,North Carolina,Less than 15 Years,10 or fewer,11908,11908
,,,≥ 15 and < 25 Years,31,16590,16621
,,,≥ 25 and < 45 Years,124,40003,40127
,,,≥ 45 and < 65 Years,42,35825,35867
,,,65 Years or more,10 or fewer,34271,34280
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,206,138598,138804
,,Virginia,Less than 15 Years,10 or fewer,8742,8745
,,,≥ 15 and < 25 Years,16,14526,14542
,,,≥ 25 and < 45 Years,73,38689,38762
,,,≥ 45 and < 65 Years,56,34456,34512
,,,65 Years or more,13,33037,33050
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,161,129451,129612
,,New York,Less than 15 Years,10 or fewer,9183,9183
,,,≥ 15 and < 25 Years,18,14215,14233
,,,≥ 25 and < 45 Years,64,35278,35342
,,,≥ 45 and < 65 Years,28,33673,33701
,,,65 Years or more,10 or fewer,32322,32330
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,118,124671,124789
,,Illinois,Less than 15 Years,10 or fewer,12658,12658
,,,≥ 15 and < 25 Years,10 or fewer,14471,14477
,,,≥ 25 and < 45 Years,60,32559,32619
,,,≥ 45 and < 65 Years,34,29993,30027
,,,65 Years or more,10 or fewer,31118,31125
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,107,120800,120907
,,Florida,Less than 15 Years,10 or fewer,14155,14155
,,,≥ 15 and < 25 Years,10 or fewer,10516,10519
,,,≥ 25 and < 45 Years,49,24232,24281
,,,≥ 45 and < 65 Years,28,23255,23283
,,,65 Years or more,10 or fewer,19444,19449
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,85,91602,91687
,,Michigan,Less than 15 Years,10 or fewer,9388,9388
,,,≥ 15 and < 25 Years,10 or fewer,13636,13644
,,,≥ 25 and < 45 Years,74,32368,32442
,,,≥ 45 and < 65 Years,36,28706,28742
,,,65 Years or more,10 or fewer,27788,27797
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,127,111886,112013
,,California,Less than 15 Years,10 or fewer,8701,8702
,,,≥ 15 and < 25 Years,22,9621,9643
,,,≥ 25 and < 45 Years,60,25762,25822
,,,≥ 45 and < 65 Years,23,23403,23426
,,,65 Years or more,10 or fewer,20759,20765
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,112,88246,88358
,,Georgia,Less than 15 Years,10 or fewer,15091,15092
,,,≥ 15 and < 25 Years,10 or fewer,10855,10863
,,,≥ 25 and < 45 Years,50,23351,23401
,,,≥ 45 and < 65 Years,20,19964,19984
,,,65 Years or more,10 or fewer,14415,14423
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,87,83676,83763
,,Indiana,Less than 15 Years,10 or fewer,5593,5593
