,,,≥ 5 and < 18,-,74.8%,163
,,,≥ 18 and < 50,10.8%,78.9%,517
,,,≥ 50 and < 65,6.2%,80.2%,273
,,,65 or more,12.4%,82.1%,532
,,,No value,-,-,10 or fewer
,,,Total,14.8%,78.5%,1831
,,Iowa,Less than 1,29.5%,60.4%,207
,,,≥ 1 and < 5,28.1%,61.7%,303
,,,≥ 5 and < 18,8.4%,61.7%,154
,,,≥ 18 and < 50,4.2%,69.7%,403
,,,≥ 50 and < 65,-,59.1%,164
,,,65 or more,5.2%,66%,403
,,,No value,-,-,10 or fewer
,,,Total,12.5%,64.3%,1634
,,Wisconsin,Less than 1,31%,61.5%,449
,,,≥ 1 and < 5,23.2%,63%,624
,,,≥ 5 and < 18,6.7%,56.2%,525
,,,≥ 18 and < 50,4.9%,59.9%,966
,,,≥ 50 and < 65,6.1%,62.4%,441
,,,65 or more,9.3%,71%,754
,,,No value,-,-,10 or fewer
,,,Total,12.3%,62.6%,3759
,,South Dakota,Less than 1,-,77.3%,22
,,,≥ 1 and < 5,-,50%,36
,,,≥ 5 and < 18,-,53.3%,30
,,,≥ 18 and < 50,-,58.1%,62
,,,≥ 50 and < 65,-,73.3%,30
,,,65 or more,-,74.6%,63
,,,No value,-,-,10 or fewer
,,,Total,6.2%,64.2%,243
,,Virgin Islands,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,10 or fewer
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,Colorado,Less than 1,29.6%,56%,659
,,,≥ 1 and < 5,17.7%,48.1%,1048
,,,≥ 5 and < 18,4.1%,45%,834
,,,≥ 18 and < 50,3.2%,54.5%,1427
,,,≥ 50 and < 65,6.3%,66.2%,396
,,,65 or more,5.9%,72.7%,612
,,,No value,-,-,10 or fewer
,,,Total,10.5%,54.9%,4976
,,North Dakota,Less than 1,26.1%,63%,46
,,,≥ 1 and < 5,22.2%,74.6%,63
,,,≥ 5 and < 18,-,58%,50
,,,≥ 18 and < 50,-,49.5%,184
,,,≥ 50 and < 65,-,54.4%,68
,,,65 or more,-,60.3%,156
,,,No value,-,-,10 or fewer
,,,Total,5.8%,57.7%,567
,,Minnesota,Less than 1,35.1%,67.8%,245
,,,≥ 1 and < 5,24.6%,68.2%,418
,,,≥ 5 and < 18,4.1%,61%,390
,,,≥ 18 and < 50,3.7%,62.4%,918
,,,≥ 50 and < 65,5.5%,63.8%,343
,,,65 or more,7.2%,68.9%,723
,,,No value,-,-,10 or fewer
,,,Total,10.2%,65.2%,3037
,,Pennsylvania,Less than 1,29%,70.4%,527
,,,≥ 1 and < 5,20.2%,72.3%,880
,,,≥ 5 and < 18,4.2%,66.4%,923
,,,≥ 18 and < 50,3.7%,62.6%,2863
,,,≥ 50 and < 65,5.8%,65.5%,1425
,,,65 or more,8.5%,73.3%,2907
,,,No value,-,-,10 or fewer
,,,Total,8.5%,68%,9525
,,Oklahoma,Less than 1,32.1%,63.1%,274
,,,≥ 1 and < 5,20.2%,59.7%,362
,,,≥ 5 and < 18,-,37.7%,276
,,,≥ 18 and < 50,2.7%,29.7%,660
,,,≥ 50 and < 65,4.2%,46.9%,288
,,,65 or more,6.4%,52.6%,500
,,,No value,-,-,10 or fewer
,,,Total,9.9%,46.1%,2360
,,Nevada,Less than 1,23%,41.4%,87
,,,≥ 1 and < 5,28.1%,46%,139
,,,≥ 5 and < 18,-,38.8%,121
,,,≥ 18 and < 50,4.8%,64%,228
,,,≥ 50 and < 65,-,60.7%,84
,,,65 or more,-,73.6%,140
,,,No value,-,-,10 or fewer
,,,Total,11.1%,55.9%,799
,,Maryland,Less than 1,21.4%,69%,168
,,,≥ 1 and < 5,12.8%,74%,288
,,,≥ 5 and < 18,-,65.1%,261
,,,≥ 18 and < 50,1.5%,59.2%,873
,,,≥ 50 and < 65,6.2%,67.7%,434
,,,65 or more,6.3%,69%,701
,,,No value,-,-,10 or fewer
,,,Total,6%,65.8%,2725
,,Nebraska,Less than 1,25%,56.3%,64
,,,≥ 1 and < 5,22.1%,67.4%,86
,,,≥ 5 and < 18,-,46.5%,71
,,,≥ 18 and < 50,-,55.1%,234
,,,≥ 50 and < 65,14.4%,62.9%,97
,,,65 or more,12%,70%,200
,,,No value,-,-,10 or fewer
,,,Total,11.2%,60.8%,752
,,Idaho,Less than 1,36.4%,58.1%,129
,,,≥ 1 and < 5,22.7%,52.9%,172
,,,≥ 5 and < 18,-,31%,113
,,,≥ 18 and < 50,-,24.1%,299
,,,≥ 50 and < 65,-,39.5%,147
,,,65 or more,4.9%,41%,324
,,,No value,-,-,10 or fewer
,,,Total,9.8%,39.2%,1184
,,Connecticut,Less than 1,20.8%,58.9%,192
,,,≥ 1 and < 5,15%,51.9%,293
,,,≥ 5 and < 18,3.8%,53.8%,342
,,,≥ 18 and < 50,3.8%,59.2%,948
,,,≥ 50 and < 65,7.9%,70.7%,482
,,,65 or more,10.6%,76.2%,909
,,,No value,-,-,10 or fewer
,,,Total,8.4%,64.6%,3166
,,Alaska,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,10 or fewer
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,13
,,New York,Less than 1,25.6%,58.3%,434
,,,≥ 1 and < 5,18.2%,60.4%,855
,,,≥ 5 and < 18,3.6%,49.6%,865
,,,≥ 18 and < 50,3.4%,55%,2692
,,,≥ 50 and < 65,7.2%,62%,1237
,,,65 or more,7.8%,70.2%,2285
,,,No value,-,-,10 or fewer
,,,Total,7.9%,60.4%,8368
,,Vermont,Less than 1,40.7%,59.3%,27
,,,≥ 1 and < 5,-,62.1%,29
,,,≥ 5 and < 18,-,63%,27
,,,≥ 18 and < 50,-,54.7%,86
,,,≥ 50 and < 65,-,60.9%,46
,,,65 or more,13%,75%,108
,,,No value,-,-,10 or fewer
,,,Total,15.2%,64.1%,323
,,Florida,Less than 1,11.6%,63.5%,836
,,,≥ 1 and < 5,6.2%,56.9%,1771
,,,≥ 5 and < 18,1.4%,50%,1822
,,,≥ 18 and < 50,1.1%,58.8%,5391
,,,≥ 50 and < 65,1.8%,63.6%,2129
,,,65 or more,4.1%,68.9%,3645
,,,No value,-,-,10 or fewer
,,,Total,3.1%,60.8%,15594
,,Louisiana,Less than 1,18.3%,74.5%,278
,,,≥ 1 and < 5,6%,52.1%,568
,,,≥ 5 and < 18,-,30.2%,460
,,,≥ 18 and < 50,-,19.6%,1732
,,,≥ 50 and < 65,-,24%,549
,,,65 or more,2.8%,37.1%,754
,,,No value,-,-,10 or fewer
,,,Total,3%,32.1%,4341
,,Rhode Island,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,57.1%,28
,,,≥ 50 and < 65,-,-,14
,,,65 or more,-,71.1%,38
,,,No value,-,-,10 or fewer
,,,Total,-,64.1%,92
,,Indiana,Less than 1,27.7%,56.4%,264
,,,≥ 1 and < 5,18.1%,56.3%,430
,,,≥ 5 and < 18,2.7%,38.4%,406
,,,≥ 18 and < 50,2.6%,31.3%,1276
,,,≥ 50 and < 65,4.1%,47.8%,513
,,,65 or more,6.4%,57.7%,938
,,,No value,-,-,10 or fewer
,,,Total,7.2%,45.3%,3827
,,Texas,Less than 1,9%,43.5%,1030
,,,≥ 1 and < 5,6.3%,43.5%,1727
,,,≥ 5 and < 18,0.673%,33.1%,1635
,,,≥ 18 and < 50,1.4%,37.6%,5360
,,,≥ 50 and < 65,3%,47.1%,2053
,,,65 or more,4.4%,56.7%,3250
,,,No value,-,-,10 or fewer
,,,Total,3.3%,43.6%,15055
,,Oregon,Less than 1,14%,22.3%,157
,,,≥ 1 and < 5,10.8%,29%,231
,,,≥ 5 and < 18,-,22.1%,172
,,,≥ 18 and < 50,-,22.5%,444
,,,≥ 50 and < 65,-,29.1%,182
,,,65 or more,5.5%,34.7%,363
,,,No value,-,-,10 or fewer
,,,Total,5.6%,27%,1549
,,Missouri,Less than 1,40%,66.7%,45
,,,≥ 1 and < 5,21.6%,70.3%,74
,,,≥ 5 and < 18,-,53.2%,47
,,,≥ 18 and < 50,-,42.4%,309
,,,≥ 50 and < 65,-,55.3%,141
,,,65 or more,9.2%,62%,303
,,,No value,-,-,10 or fewer
,,,Total,9.2%,54.8%,919
,,Puerto Rico,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,10 or fewer
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,69.6%,23
,,,No value,-,-,10 or fewer
,,,Total,-,62.5%,48
,,South Carolina,Less than 1,16%,66%,268
,,,≥ 1 and < 5,8%,70.6%,676
,,,≥ 5 and < 18,1.8%,62.6%,665
,,,≥ 18 and < 50,1.6%,61.6%,2773
,,,≥ 50 and < 65,2.8%,61.2%,1067
,,,65 or more,4.6%,66.3%,1471
,,,No value,-,-,10 or fewer
,,,Total,3.6%,63.7%,6920
,,North Carolina,Less than 1,16.1%,57.2%,523
,,,≥ 1 and < 5,7.9%,54.7%,1013
,,,≥ 5 and < 18,2.2%,46.8%,978
,,,≥ 18 and < 50,1.9%,45.7%,3400
,,,≥ 50 and < 65,2.8%,48.5%,1411
,,,65 or more,4.9%,53.6%,2105
,,,No value,-,-,10 or fewer
,,,Total,4.1%,49.6%,9430
,,Georgia,Less than 1,7%,41.8%,545
,,,≥ 1 and < 5,2.6%,39.1%,1250
,,,≥ 5 and < 18,-,36.5%,1051
,,,≥ 18 and < 50,0.789%,30.6%,2282
,,,≥ 50 and < 65,1.2%,34.5%,888
,,,65 or more,2.2%,40.2%,1229
,,,No value,-,-,10 or fewer
,,,Total,1.9%,35.9%,7245
,,Arizona,Less than 1,16.5%,38.8%,121
,,,≥ 1 and < 5,16.2%,41.9%,167
,,,≥ 5 and < 18,-,48.1%,133
,,,≥ 18 and < 50,3.2%,59.8%,500
,,,≥ 50 and < 65,-,69.1%,217
,,,65 or more,7.3%,74.8%,425
,,,No value,-,-,10 or fewer
,,,Total,7.2%,60.7%,1563
,,California,Less than 1,24.8%,45.7%,532
,,,≥ 1 and < 5,16.5%,42.7%,668
,,,≥ 5 and < 18,4.9%,36.3%,532
,,,≥ 18 and < 50,2.8%,39.2%,1591
,,,≥ 50 and < 65,4.7%,43.9%,725
,,,65 or more,5.8%,57.2%,1262
,,,No value,-,-,10 or fewer
,,,Total,7.9%,44.9%,5310
,,Tennessee,Less than 1,11.6%,52.9%,242
,,,≥ 1 and < 5,9.2%,43.5%,455
,,,≥ 5 and < 18,-,24.9%,394
,,,≥ 18 and < 50,1.3%,29.5%,905
,,,≥ 50 and < 65,3.1%,46.6%,382
,,,65 or more,4.3%,53.5%,533
,,,No value,-,-,10 or fewer
,,,Total,4.3%,39.6%,2911
,,Washington,Less than 1,18.5%,30.6%,124
,,,≥ 1 and < 5,13.5%,31.2%,141
,,,≥ 5 and < 18,-,25.3%,95
,,,≥ 18 and < 50,-,34%,256
,,,≥ 50 and < 65,-,32.4%,142
,,,65 or more,4.6%,42.1%,285
,,,No value,-,-,10 or fewer
,,,Total,6.7%,34.4%,1043
,,Alabama,Less than 1,-,80%,20
,,,≥ 1 and < 5,-,65.2%,66
,,,≥ 5 and < 18,-,18.6%,70
,,,≥ 18 and < 50,-,13.7%,335
,,,≥ 50 and < 65,-,27.4%,146
,,,65 or more,-,52.5%,198
,,,No value,-,-,10 or fewer
,,,Total,1.6%,31.4%,835
,,Utah,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,14
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,72.7%,88
,,,≥ 50 and < 65,-,83.8%,37
,,,65 or more,-,72.2%,36
,,,No value,-,-,10 or fewer
,,,Total,6.9%,72.9%,188
,,Michigan,Less than 1,20.5%,42.4%,448
,,,≥ 1 and < 5,17.5%,44.3%,645
,,,≥ 5 and < 18,2.9%,30.6%,513
,,,≥ 18 and < 50,2.9%,31%,1761
,,,≥ 50 and < 65,4.2%,37.8%,835
,,,65 or more,6.3%,51.6%,1496
,,,No value,-,-,10 or fewer
,,,Total,7%,39.8%,5698
,,Mississippi,Less than 1,12.2%,54.3%,164
,,,≥ 1 and < 5,3.1%,41.3%,446
,,,≥ 5 and < 18,-,18.5%,406
,,,≥ 18 and < 50,-,19.9%,1647
,,,≥ 50 and < 65,-,27%,534
,,,65 or more,1.5%,28.3%,729
,,,No value,-,-,10 or fewer
,,,Total,1.6%,26.1%,3926
,,Virginia,Less than 1,9.2%,44.3%,413
,,,≥ 1 and < 5,6.8%,41.5%,730
,,,≥ 5 and < 18,1.3%,30.9%,935
,,,≥ 18 and < 50,1.6%,29.8%,3422
,,,≥ 50 and < 65,3.1%,39.4%,1475
,,,65 or more,4.9%,47.8%,2226
,,,No value,-,-,10 or fewer
,,,Total,3.3%,37.4%,9201
,,Massachusetts,Less than 1,17.7%,46.2%,186
,,,≥ 1 and < 5,9.2%,43.4%,251
,,,≥ 5 and < 18,-,46%,337
,,,≥ 18 and < 50,1.9%,34.9%,1030
,,,≥ 50 and < 65,3%,38.7%,429
,,,65 or more,6.8%,44.8%,833
,,,No value,-,-,10 or fewer
,,,Total,5%,40.7%,3066
,,Armed Forces Pacific,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,10 or fewer
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,New Mexico,Less than 1,59.1%,77.3%,22
,,,≥ 1 and < 5,41.9%,77.4%,31
,,,≥ 5 and < 18,-,-,38
,,,≥ 18 and < 50,-,-,110
,,,≥ 50 and < 65,-,-,58
,,,65 or more,-,23.1%,108
,,,No value,-,-,10 or fewer
,,,Total,10.9%,24.8%,367
,,District of Columbia,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,29.8%,47
,,,≥ 50 and < 65,-,-,16
,,,65 or more,-,-,11
,,,No value,-,-,10 or fewer
,,,Total,-,37.6%,85
,,Maine,Less than 1,44.8%,74.1%,58
,,,≥ 1 and < 5,16.9%,57.7%,71
,,,≥ 5 and < 18,-,33.3%,72
,,,≥ 18 and < 50,-,27.6%,199
,,,≥ 50 and < 65,-,28.2%,131
,,,65 or more,-,26.4%,227
,,,No value,-,-,10 or fewer
,,,Total,7.7%,34.3%,758
,,New Hampshire,Less than 1,-,-,15
,,,≥ 1 and < 5,-,54.5%,22
,,,≥ 5 and < 18,-,-,23
,,,≥ 18 and < 50,-,42.5%,73
,,,≥ 50 and < 65,-,54.7%,53
,,,65 or more,-,50.5%,101
,,,No value,-,-,10 or fewer
,,,Total,7%,49.1%,287
,,Hawaii,Less than 1,14.6%,54.9%,82
,,,≥ 1 and < 5,-,31.7%,142
,,,≥ 5 and < 18,-,12.6%,135
,,,≥ 18 and < 50,-,14.1%,269
,,,≥ 50 and < 65,-,17.3%,150
,,,65 or more,-,19.8%,247
,,,No value,-,-,10 or fewer
,,,Total,2.8%,21.5%,1025
,,Kansas,Less than 1,30.8%,61.5%,39
,,,≥ 1 and < 5,19.5%,40.3%,77
,,,≥ 5 and < 18,-,25.6%,78
,,,≥ 18 and < 50,-,32.4%,312
,,,≥ 50 and < 65,-,42.5%,106
,,,65 or more,6.3%,48.5%,272
,,,No value,-,-,10 or fewer
,,,Total,6.3%,39.9%,884
,,None of the above,Less than 1,15.9%,35.1%,1387
,,,≥ 1 and < 5,7.8%,28%,2499
,,,≥ 5 and < 18,1.8%,18%,2995
,,,≥ 18 and < 50,1.8%,21.9%,8359
,,,≥ 50 and < 65,2.9%,30.4%,3393
,,,65 or more,5.1%,38%,5616
,,,No value,-,-,10 or fewer
,,,Total,4.1%,27.7%,24249
,,Total,Less than 1,20.6%,54%,12792
,,,≥ 1 and < 5,12.5%,51.5%,22058
,,,≥ 5 and < 18,2.6%,41.6%,20960
,,,≥ 18 and < 50,2.2%,42.2%,61272
,,,≥ 50 and < 65,3.8%,49.3%,25557
,,,65 or more,5.8%,57.2%,43373
,,,No value,-,-,10 or fewer
,,,Total,5.8%,48.5%,186012
2024,Jan 7 – Jan 13,Armed Forces America,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,10 or fewer
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,Arkansas,Less than 1,26.8%,75.4%,179
,,,≥ 1 and < 5,7.4%,77%,339
,,,≥ 5 and < 18,-,76%,388
,,,≥ 18 and < 50,3%,59.9%,506
,,,≥ 50 and < 65,-,61.5%,187
,,,65 or more,5.1%,75.4%,293
,,,No value,-,-,10 or fewer
,,,Total,6.1%,70.3%,1892
,,Delaware,Less than 1,-,81.7%,60
,,,≥ 1 and < 5,-,72.3%,94
,,,≥ 5 and < 18,-,83.4%,175
,,,≥ 18 and < 50,-,67%,197
,,,≥ 50 and < 65,-,67.7%,127
,,,65 or more,-,77.1%,166
,,,No value,-,-,10 or fewer
,,,Total,4.4%,74.4%,819
,,Wyoming,Less than 1,-,80%,15
,,,≥ 1 and < 5,-,85%,20
,,,≥ 5 and < 18,-,76.7%,30
,,,≥ 18 and < 50,-,83.3%,48
,,,≥ 50 and < 65,-,69.6%,23
,,,65 or more,-,73.3%,45
,,,No value,-,-,10 or fewer
,,,Total,-,77.9%,181
,,Montana,Less than 1,-,70.4%,27
,,,≥ 1 and < 5,-,38.1%,42
,,,≥ 5 and < 18,-,27.5%,40
,,,≥ 18 and < 50,-,31.6%,57
,,,≥ 50 and < 65,-,-,19
,,,65 or more,-,43.1%,58
,,,No value,-,-,10 or fewer
,,,Total,4.5%,39.1%,243
,,Kentucky,Less than 1,22.1%,61.5%,231
,,,≥ 1 and < 5,10.9%,60.5%,423
,,,≥ 5 and < 18,2.5%,57.3%,527
,,,≥ 18 and < 50,2.5%,48.1%,799
,,,≥ 50 and < 65,6.5%,58.4%,339
,,,65 or more,9%,58.7%,624
,,,No value,-,-,10 or fewer
,,,Total,7.1%,56%,2943
,,Illinois,Less than 1,26.9%,71.7%,361
,,,≥ 1 and < 5,17.6%,71.7%,699
,,,≥ 5 and < 18,3.3%,59.9%,749
,,,≥ 18 and < 50,3%,57.2%,1704
,,,≥ 50 and < 65,5.9%,67.2%,799
,,,65 or more,7.9%,68.5%,1485
,,,No value,-,-,10 or fewer
,,,Total,8%,64.5%,5797
,,West Virginia,Less than 1,23.9%,63.4%,71
,,,≥ 1 and < 5,16.8%,72.5%,149
,,,≥ 5 and < 18,4.8%,76.4%,229
,,,≥ 18 and < 50,6.7%,73.1%,432
,,,≥ 50 and < 65,7.5%,77.5%,227
,,,65 or more,10%,75%,448
,,,No value,-,-,10 or fewer
,,,Total,9.3%,74.3%,1556
,,Iowa,Less than 1,39.1%,68%,169
,,,≥ 1 and < 5,25%,61.3%,256
,,,≥ 5 and < 18,-,60.3%,136
,,,≥ 18 and < 50,-,62.9%,318
,,,≥ 50 and < 65,10.7%,73.3%,150
,,,65 or more,5.6%,74.1%,270
,,,No value,-,-,10 or fewer
,,,Total,13.7%,66.5%,1299
,,Wisconsin,Less than 1,30.4%,61.1%,306
,,,≥ 1 and < 5,17.9%,58.6%,457
,,,≥ 5 and < 18,5.2%,55.5%,458
,,,≥ 18 and < 50,5.8%,60.5%,850
,,,≥ 50 and < 65,8.2%,66.7%,366
,,,65 or more,11.3%,71.9%,576
,,,No value,-,-,10 or fewer
,,,Total,11.4%,62.4%,3013
,,South Dakota,Less than 1,-,60%,20
,,,≥ 1 and < 5,-,57.6%,33
,,,≥ 5 and < 18,-,40.7%,27
,,,≥ 18 and < 50,-,61.5%,65
,,,≥ 50 and < 65,-,65.2%,23
,,,65 or more,-,70%,50
,,,No value,-,-,10 or fewer
,,,Total,6.9%,60.6%,218
,,Virgin Islands,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,10 or fewer
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,Colorado,Less than 1,27.8%,55.4%,493
,,,≥ 1 and < 5,17.4%,45.2%,713
,,,≥ 5 and < 18,3.3%,41.5%,747
,,,≥ 18 and < 50,2.8%,50.8%,1125
,,,≥ 50 and < 65,6.6%,65.9%,361
,,,65 or more,9.1%,74.8%,485
,,,No value,-,-,10 or fewer
,,,Total,9.8%,53%,3924
,,North Dakota,Less than 1,34.4%,68.8%,32
,,,≥ 1 and < 5,26.8%,66.2%,71
,,,≥ 5 and < 18,-,54%,50
,,,≥ 18 and < 50,-,49.5%,111
,,,≥ 50 and < 65,-,58.5%,53
,,,65 or more,-,59.4%,96
,,,No value,-,-,10 or fewer
,,,Total,9.9%,57.9%,413
,,Minnesota,Less than 1,36.8%,71.3%,174
,,,≥ 1 and < 5,24.8%,70.4%,351
,,,≥ 5 and < 18,3.7%,63.3%,403
,,,≥ 18 and < 50,2.6%,59.1%,692
,,,≥ 50 and < 65,5.1%,67.4%,331
,,,65 or more,5.5%,73.7%,597
,,,No value,-,-,10 or fewer
,,,Total,9.2%,66.6%,2548
,,Pennsylvania,Less than 1,26.6%,70.7%,365
,,,≥ 1 and < 5,14.7%,70.4%,651
,,,≥ 5 and < 18,3.5%,67.6%,981
,,,≥ 18 and < 50,3.6%,64.9%,2225
,,,≥ 50 and < 65,5.3%,67%,1259
,,,65 or more,8.4%,72.2%,2259
,,,No value,-,-,10 or fewer
,,,Total,7.3%,68.4%,7740
,,Oklahoma,Less than 1,30.4%,60.7%,214
,,,≥ 1 and < 5,12.2%,54.3%,311
,,,≥ 5 and < 18,-,33%,333
,,,≥ 18 and < 50,-,29.4%,557
,,,≥ 50 and < 65,-,41.7%,295
,,,65 or more,7%,52.2%,471
,,,No value,-,-,10 or fewer
,,,Total,7.2%,43.2%,2181
,,Nevada,Less than 1,25.4%,47.8%,67
,,,≥ 1 and < 5,15.7%,43.1%,102
,,,≥ 5 and < 18,-,31.3%,99
,,,≥ 18 and < 50,-,57%,172
,,,≥ 50 and < 65,-,63.2%,95
,,,65 or more,11.9%,72.6%,135
,,,No value,-,-,10 or fewer
,,,Total,10%,54.2%,670
,,Maryland,Less than 1,16%,72%,100
,,,≥ 1 and < 5,9.2%,77%,217
,,,≥ 5 and < 18,-,68.5%,302
,,,≥ 18 and < 50,2.5%,56.7%,652
,,,≥ 50 and < 65,-,59.7%,402
,,,65 or more,5.5%,67.3%,596
