"Notes","State of Residence","State of Residence Code","Plurality","Plurality Code",Births
,"Alabama","01","Single","1",55959
,"Alabama","01","Twin","2",1852
,"Alabama","01","Triplet or higher","3",47
,"Alaska","02","Single","1",8727
,"Alaska","02","Twin","2",280
,"Alaska","02","Triplet or higher","3",Suppressed
,"Arizona","04","Single","1",75711
,"Arizona","04","Twin","2",2329
,"Arizona","04","Triplet or higher","3",56
,"Arkansas","05","Single","1",34199
,"Arkansas","05","Twin","2",1041
,"Arkansas","05","Triplet or higher","3",24
,"California","06","Single","1",388437
,"California","06","Twin","2",11456
,"California","06","Triplet or higher","3",215
,"Colorado","08","Single","1",59742
,"Colorado","08","Twin","2",1708
,"Colorado","08","Triplet or higher","3",44
,"Connecticut","09","Single","1",33388
,"Connecticut","09","Twin","2",1154
,"Connecticut","09","Triplet or higher","3",17
,"Delaware","10","Single","1",10133
,"Delaware","10","Twin","2",279
,"Delaware","10","Triplet or higher","3",15
,"District of Columbia","11","Single","1",7630
,"District of Columbia","11","Twin","2",258
,"District of Columbia","11","Triplet or higher","3",Suppressed
,"Florida","12","Single","1",214658
,"Florida","12","Twin","2",6611
,"Florida","12","Triplet or higher","3",141
,"Georgia","13","Single","1",121010
,"Georgia","13","Twin","2",4035
,"Georgia","13","Triplet or higher","3",75
,"Hawaii","15","Single","1",14356
,"Hawaii","15","Twin","2",443
,"Hawaii","15","Triplet or higher","3",Suppressed
,"Idaho","16","Single","1",21798
,"Idaho","16","Twin","2",572
,"Idaho","16","Triplet or higher","3",27
,"Illinois","17","Single","1",120553
,"Illinois","17","Twin","2",4181
,"Illinois","17","Triplet or higher","3",86
,"Indiana","18","Single","1",76244
,"Indiana","18","Twin","2",2671
,"Indiana","18","Triplet or higher","3",85
,"Iowa","19","Single","1",34776
,"Iowa","19","Twin","2",1233
,"Iowa","19","Triplet or higher","3",43
,"Kansas","20","Single","1",32980
,"Kansas","20","Twin","2",1065
,"Kansas","20","Triplet or higher","3",20
,"Kentucky","21","Single","1",50342
,"Kentucky","21","Twin","2",1610
,"Kentucky","21","Triplet or higher","3",32
,"Louisiana","22","Single","1",53141
,"Louisiana","22","Twin","2",1741
,"Louisiana","22","Triplet or higher","3",45
,"Maine","23","Single","1",11285
,"Maine","23","Twin","2",342
,"Maine","23","Triplet or higher","3",0
,"Maryland","24","Single","1",63583
,"Maryland","24","Twin","2",1955
,"Maryland","24","Triplet or higher","3",56
,"Massachusetts","25","Single","1",64867
,"Massachusetts","25","Twin","2",2160
,"Massachusetts","25","Triplet or higher","3",66
,"Michigan","26","Single","1",95540
,"Michigan","26","Twin","2",3524
,"Michigan","26","Triplet or higher","3",60
,"Minnesota","27","Single","1",59691
,"Minnesota","27","Twin","2",1969
,"Minnesota","27","Triplet or higher","3",55
,"Mississippi","28","Single","1",33191
,"Mississippi","28","Twin","2",1231
,"Mississippi","28","Triplet or higher","3",37
,"Missouri","29","Single","1",64881
,"Missouri","29","Twin","2",2207
,"Missouri","29","Triplet or higher","3",35
,"Montana","30","Single","1",10738
,"Montana","30","Twin","2",335
,"Montana","30","Triplet or higher","3",Suppressed
,"Nebraska","31","Single","1",23300
,"Nebraska","31","Twin","2",770
,"Nebraska","31","Triplet or higher","3",41
,"Nevada","32","Single","1",30789
,"Nevada","32","Twin","2",988
,"Nevada","32","Triplet or higher","3",17
,"New Hampshire","33","Single","1",11538
,"New Hampshire","33","Twin","2",395
,"New Hampshire","33","Triplet or higher","3",Suppressed
,"New Jersey","34","Single","1",97879
,"New Jersey","34","Twin","2",3036
,"New Jersey","34","Triplet or higher","3",86
,"New Mexico","35","Single","1",20382
,"New Mexico","35","Twin","2",563
,"New Mexico","35","Triplet or higher","3",Suppressed
,"New York","36","Single","1",197252
,"New York","36","Twin","2",6217
,"New York","36","Triplet or higher","3",143
,"North Carolina","37","Single","1",116137
,"North Carolina","37","Twin","2",3836
,"North Carolina","37","Triplet or higher","3",109
,"North Dakota","38","Single","1",9346
,"North Dakota","38","Twin","2",287
,"North Dakota","38","Triplet or higher","3",14
,"Ohio","39","Single","1",122642
,"Ohio","39","Twin","2",4157
,"Ohio","39","Triplet or higher","3",97
,"Oklahoma","40","Single","1",46420
,"Oklahoma","40","Twin","2",1445
,"Oklahoma","40","Triplet or higher","3",44
,"Oregon","41","Single","1",37123
,"Oregon","41","Twin","2",1148
,"Oregon","41","Triplet or higher","3",27
,"Pennsylvania","42","Single","1",122839
,"Pennsylvania","42","Twin","2",3992
,"Pennsylvania","42","Triplet or higher","3",120
,"Rhode Island","44","Single","1",9498
,"Rhode Island","44","Twin","2",301
,"Rhode Island","44","Triplet or higher","3",Suppressed
,"South Carolina","45","Single","1",55888
,"South Carolina","45","Twin","2",1801
,"South Carolina","45","Triplet or higher","3",40
,"South Dakota","46","Single","1",10853
,"South Dakota","46","Twin","2",348
,"South Dakota","46","Triplet or higher","3",0
,"Tennessee","47","Single","1",80265
,"Tennessee","47","Twin","2",2683
,"Tennessee","47","Triplet or higher","3",73
,"Texas","48","Single","1",376622
,"Texas","48","Twin","2",11035
,"Texas","48","Triplet or higher","3",288
,"Utah","49","Single","1",43598
,"Utah","49","Twin","2",1390
,"Utah","49","Triplet or higher","3",31
,"Vermont","50","Single","1",4908
,"Vermont","50","Twin","2",157
,"Vermont","50","Triplet or higher","3",0
,"Virginia","51","Single","1",89795
,"Virginia","51","Twin","2",2775
,"Virginia","51","Triplet or higher","3",79
,"Washington","53","Single","1",78559
,"Washington","53","Twin","2",2332
,"Washington","53","Triplet or higher","3",41
,"West Virginia","54","Single","1",16039
,"West Virginia","54","Twin","2",541
,"West Virginia","54","Triplet or higher","3",26
,"Wisconsin","55","Single","1",57907
,"Wisconsin","55","Twin","2",1796
,"Wisconsin","55","Triplet or higher","3",51
,"Wyoming","56","Single","1",5832
,"Wyoming","56","Twin","2",158
,"Wyoming","56","Triplet or higher","3",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2023"
"Group By: State of Residence; Plurality"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 2:32:03 PM"
"---"
