"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Adams County, PA","42001","Female","F",427
,"Adams County, PA","42001","Male","M",486
,"Allegheny County, PA","42003","Female","F",5632
,"Allegheny County, PA","42003","Male","M",5914
,"Beaver County, PA","42007","Female","F",725
,"Beaver County, PA","42007","Male","M",736
,"Berks County, PA","42011","Female","F",2152
,"Berks County, PA","42011","Male","M",2298
,"Blair County, PA","42013","Female","F",571
,"Blair County, PA","42013","Male","M",552
,"Bucks County, PA","42017","Female","F",2666
,"Bucks County, PA","42017","Male","M",2879
,"Butler County, PA","42019","Female","F",834
,"Butler County, PA","42019","Male","M",878
,"Cambria County, PA","42021","Female","F",566
,"Cambria County, PA","42021","Male","M",583
,"Centre County, PA","42027","Female","F",536
,"Centre County, PA","42027","Male","M",557
,"Chester County, PA","42029","Female","F",2658
,"Chester County, PA","42029","Male","M",2800
,"Cumberland County, PA","42041","Female","F",1286
,"Cumberland County, PA","42041","Male","M",1339
,"Dauphin County, PA","42043","Female","F",1513
,"Dauphin County, PA","42043","Male","M",1723
,"Delaware County, PA","42045","Female","F",2987
,"Delaware County, PA","42045","Male","M",3042
,"Erie County, PA","42049","Female","F",1128
,"Erie County, PA","42049","Male","M",1248
,"Fayette County, PA","42051","Female","F",543
,"Fayette County, PA","42051","Male","M",576
,"Franklin County, PA","42055","Female","F",866
,"Franklin County, PA","42055","Male","M",844
,"Lackawanna County, PA","42069","Female","F",976
,"Lackawanna County, PA","42069","Male","M",989
,"Lancaster County, PA","42071","Female","F",3338
,"Lancaster County, PA","42071","Male","M",3502
,"Lebanon County, PA","42075","Female","F",746
,"Lebanon County, PA","42075","Male","M",786
,"Lehigh County, PA","42077","Female","F",1809
,"Lehigh County, PA","42077","Male","M",1941
,"Luzerne County, PA","42079","Female","F",1491
,"Luzerne County, PA","42079","Male","M",1668
,"Lycoming County, PA","42081","Female","F",528
,"Lycoming County, PA","42081","Male","M",546
,"Mercer County, PA","42085","Female","F",494
,"Mercer County, PA","42085","Male","M",520
,"Monroe County, PA","42089","Female","F",642
,"Monroe County, PA","42089","Male","M",663
,"Montgomery County, PA","42091","Female","F",4061
,"Montgomery County, PA","42091","Male","M",4239
,"Northampton County, PA","42095","Female","F",1341
,"Northampton County, PA","42095","Male","M",1406
,"Philadelphia County, PA","42101","Female","F",9008
,"Philadelphia County, PA","42101","Male","M",9363
,"Schuylkill County, PA","42107","Female","F",610
,"Schuylkill County, PA","42107","Male","M",663
,"Washington County, PA","42125","Female","F",935
,"Washington County, PA","42125","Male","M",983
,"Westmoreland County, PA","42129","Female","F",1379
,"Westmoreland County, PA","42129","Male","M",1440
,"York County, PA","42133","Female","F",2278
,"York County, PA","42133","Male","M",2364
,"Unidentified Counties, PA","42999","Female","F",7262
,"Unidentified Counties, PA","42999","Male","M",7435
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Pennsylvania (42)"
"Year: 2023"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 9:50:31 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 9:50:31 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
