"Notes","State of Residence","State of Residence Code","Tobacco Use","Tobacco Use Code",Births
,"Alabama","01","Yes","1",2230
,"Alabama","01","No","2",55555
,"Alabama","01","Unknown or Not Stated","9",73
,"Alaska","02","Yes","1",517
,"Alaska","02","No","2",8292
,"Alaska","02","Unknown or Not Stated","9",206
,"Arizona","04","Yes","1",1706
,"Arizona","04","No","2",76315
,"Arizona","04","Unknown or Not Stated","9",75
,"Arkansas","05","Yes","1",2267
,"Arkansas","05","No","2",32907
,"Arkansas","05","Unknown or Not Stated","9",90
,"California","06","Yes","1",2201
,"California","06","No","2",396554
,"California","06","Unknown or Not Stated","9",1353
,"Colorado","08","Yes","1",1839
,"Colorado","08","No","2",59564
,"Colorado","08","Unknown or Not Stated","9",91
,"Connecticut","09","Yes","1",615
,"Connecticut","09","No","2",33924
,"Connecticut","09","Unknown or Not Stated","9",20
,"Delaware","10","Yes","1",305
,"Delaware","10","No","2",10053
,"Delaware","10","Unknown or Not Stated","9",69
,"District of Columbia","11","Yes","1",65
,"District of Columbia","11","No","2",7791
,"District of Columbia","11","Unknown or Not Stated","9",40
,"Florida","12","Yes","1",3994
,"Florida","12","No","2",217005
,"Florida","12","Unknown or Not Stated","9",411
,"Georgia","13","Yes","1",2695
,"Georgia","13","No","2",122109
,"Georgia","13","Unknown or Not Stated","9",316
,"Hawaii","15","Yes","1",143
,"Hawaii","15","No","2",14420
,"Hawaii","15","Unknown or Not Stated","9",245
,"Idaho","16","Yes","1",660
,"Idaho","16","No","2",21672
,"Idaho","16","Unknown or Not Stated","9",65
,"Illinois","17","Yes","1",3701
,"Illinois","17","No","2",120834
,"Illinois","17","Unknown or Not Stated","9",285
,"Indiana","18","Yes","1",4136
,"Indiana","18","No","2",74483
,"Indiana","18","Unknown or Not Stated","9",381
,"Iowa","19","Yes","1",2040
,"Iowa","19","No","2",33975
,"Iowa","19","Unknown or Not Stated","9",37
,"Kansas","20","Yes","1",1675
,"Kansas","20","No","2",32229
,"Kansas","20","Unknown or Not Stated","9",161
,"Kentucky","21","Yes","1",4483
,"Kentucky","21","No","2",47277
,"Kentucky","21","Unknown or Not Stated","9",224
,"Louisiana","22","Yes","1",1553
,"Louisiana","22","No","2",52855
,"Louisiana","22","Unknown or Not Stated","9",519
,"Maine","23","Yes","1",834
,"Maine","23","No","2",10782
,"Maine","23","Unknown or Not Stated","9",11
,"Maryland","24","Yes","1",1527
,"Maryland","24","No","2",63773
,"Maryland","24","Unknown or Not Stated","9",294
,"Massachusetts","25","Yes","1",1127
,"Massachusetts","25","No","2",65960
,"Massachusetts","25","Unknown or Not Stated","9",Suppressed
,"Michigan","26","Yes","1",5181
,"Michigan","26","No","2",93230
,"Michigan","26","Unknown or Not Stated","9",713
,"Minnesota","27","Yes","1",2141
,"Minnesota","27","No","2",59520
,"Minnesota","27","Unknown or Not Stated","9",54
,"Mississippi","28","Yes","1",1285
,"Mississippi","28","No","2",33146
,"Mississippi","28","Unknown or Not Stated","9",28
,"Missouri","29","Yes","1",4443
,"Missouri","29","No","2",61706
,"Missouri","29","Unknown or Not Stated","9",974
,"Montana","30","Yes","1",850
,"Montana","30","No","2",10220
,"Montana","30","Unknown or Not Stated","9",Suppressed
,"Nebraska","31","Yes","1",982
,"Nebraska","31","No","2",23116
,"Nebraska","31","Unknown or Not Stated","9",13
,"Nevada","32","Yes","1",734
,"Nevada","32","No","2",30840
,"Nevada","32","Unknown or Not Stated","9",220
,"New Hampshire","33","Yes","1",410
,"New Hampshire","33","No","2",11411
,"New Hampshire","33","Unknown or Not Stated","9",115
,"New Jersey","34","Yes","1",1141
,"New Jersey","34","No","2",99310
,"New Jersey","34","Unknown or Not Stated","9",550
,"New Mexico","35","Yes","1",659
,"New Mexico","35","No","2",20223
,"New Mexico","35","Unknown or Not Stated","9",69
,"New York","36","Yes","1",3969
,"New York","36","No","2",199520
,"New York","36","Unknown or Not Stated","9",123
,"North Carolina","37","Yes","1",4293
,"North Carolina","37","No","2",115724
,"North Carolina","37","Unknown or Not Stated","9",65
,"North Dakota","38","Yes","1",566
,"North Dakota","38","No","2",9001
,"North Dakota","38","Unknown or Not Stated","9",80
,"Ohio","39","Yes","1",8246
,"Ohio","39","No","2",118464
,"Ohio","39","Unknown or Not Stated","9",186
,"Oklahoma","40","Yes","1",2618
,"Oklahoma","40","No","2",45248
,"Oklahoma","40","Unknown or Not Stated","9",43
,"Oregon","41","Yes","1",1308
,"Oregon","41","No","2",36638
,"Oregon","41","Unknown or Not Stated","9",352
,"Pennsylvania","42","Yes","1",6491
,"Pennsylvania","42","No","2",120344
,"Pennsylvania","42","Unknown or Not Stated","9",116
,"Rhode Island","44","Yes","1",155
,"Rhode Island","44","No","2",9633
,"Rhode Island","44","Unknown or Not Stated","9",17
,"South Carolina","45","Yes","1",1813
,"South Carolina","45","No","2",55639
,"South Carolina","45","Unknown or Not Stated","9",277
,"South Dakota","46","Yes","1",700
,"South Dakota","46","No","2",10423
,"South Dakota","46","Unknown or Not Stated","9",78
,"Tennessee","47","Yes","1",4938
,"Tennessee","47","No","2",77471
,"Tennessee","47","Unknown or Not Stated","9",612
,"Texas","48","Yes","1",4034
,"Texas","48","No","2",382899
,"Texas","48","Unknown or Not Stated","9",1012
,"Utah","49","Yes","1",595
,"Utah","49","No","2",44306
,"Utah","49","Unknown or Not Stated","9",118
,"Vermont","50","Yes","1",371
,"Vermont","50","No","2",4670
,"Vermont","50","Unknown or Not Stated","9",24
,"Virginia","51","Yes","1",2479
,"Virginia","51","No","2",90149
,"Virginia","51","Unknown or Not Stated","9",21
,"Washington","53","Yes","1",2092
,"Washington","53","No","2",76843
,"Washington","53","Unknown or Not Stated","9",1997
,"West Virginia","54","Yes","1",2046
,"West Virginia","54","No","2",14527
,"West Virginia","54","Unknown or Not Stated","9",33
,"Wisconsin","55","Yes","1",2480
,"Wisconsin","55","No","2",56846
,"Wisconsin","55","Unknown or Not Stated","9",428
,"Wyoming","56","Yes","1",430
,"Wyoming","56","No","2",5439
,"Wyoming","56","Unknown or Not Stated","9",121
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2023"
"Group By: State of Residence; Tobacco Use"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 2:34:04 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 2:34:04 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
