"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alabama","01","Hispanic or Latino","2135-2",6890
,"Alabama","01","Not Hispanic or Latino","2186-5",50951
,"Alabama","01","Unknown or Not Stated","9",17
,"Alaska","02","Hispanic or Latino","2135-2",793
,"Alaska","02","Not Hispanic or Latino","2186-5",7960
,"Alaska","02","Unknown or Not Stated","9",262
,"Arizona","04","Hispanic or Latino","2135-2",35183
,"Arizona","04","Not Hispanic or Latino","2186-5",42380
,"Arizona","04","Unknown or Not Stated","9",533
,"Arkansas","05","Hispanic or Latino","2135-2",4305
,"Arkansas","05","Not Hispanic or Latino","2186-5",30908
,"Arkansas","05","Unknown or Not Stated","9",51
,"California","06","Hispanic or Latino","2135-2",194939
,"California","06","Not Hispanic or Latino","2186-5",191154
,"California","06","Unknown or Not Stated","9",14015
,"Colorado","08","Hispanic or Latino","2135-2",19544
,"Colorado","08","Not Hispanic or Latino","2186-5",41318
,"Colorado","08","Unknown or Not Stated","9",632
,"Connecticut","09","Hispanic or Latino","2135-2",9803
,"Connecticut","09","Not Hispanic or Latino","2186-5",24739
,"Connecticut","09","Unknown or Not Stated","9",17
,"Delaware","10","Hispanic or Latino","2135-2",2015
,"Delaware","10","Not Hispanic or Latino","2186-5",8353
,"Delaware","10","Unknown or Not Stated","9",59
,"District of Columbia","11","Hispanic or Latino","2135-2",1413
,"District of Columbia","11","Not Hispanic or Latino","2186-5",6468
,"District of Columbia","11","Unknown or Not Stated","9",15
,"Florida","12","Hispanic or Latino","2135-2",75987
,"Florida","12","Not Hispanic or Latino","2186-5",145323
,"Florida","12","Unknown or Not Stated","9",100
,"Georgia","13","Hispanic or Latino","2135-2",22003
,"Georgia","13","Not Hispanic or Latino","2186-5",102450
,"Georgia","13","Unknown or Not Stated","9",667
,"Hawaii","15","Hispanic or Latino","2135-2",2610
,"Hawaii","15","Not Hispanic or Latino","2186-5",12118
,"Hawaii","15","Unknown or Not Stated","9",80
,"Idaho","16","Hispanic or Latino","2135-2",4265
,"Idaho","16","Not Hispanic or Latino","2186-5",18034
,"Idaho","16","Unknown or Not Stated","9",98
,"Illinois","17","Hispanic or Latino","2135-2",30465
,"Illinois","17","Not Hispanic or Latino","2186-5",93494
,"Illinois","17","Unknown or Not Stated","9",861
,"Indiana","18","Hispanic or Latino","2135-2",10586
,"Indiana","18","Not Hispanic or Latino","2186-5",68311
,"Indiana","18","Unknown or Not Stated","9",103
,"Iowa","19","Hispanic or Latino","2135-2",4211
,"Iowa","19","Not Hispanic or Latino","2186-5",31838
,"Iowa","19","Unknown or Not Stated","9",Suppressed
,"Kansas","20","Hispanic or Latino","2135-2",6576
,"Kansas","20","Not Hispanic or Latino","2186-5",27402
,"Kansas","20","Unknown or Not Stated","9",87
,"Kentucky","21","Hispanic or Latino","2135-2",4852
,"Kentucky","21","Not Hispanic or Latino","2186-5",46999
,"Kentucky","21","Unknown or Not Stated","9",133
,"Louisiana","22","Hispanic or Latino","2135-2",5964
,"Louisiana","22","Not Hispanic or Latino","2186-5",48930
,"Louisiana","22","Unknown or Not Stated","9",33
,"Maine","23","Hispanic or Latino","2135-2",334
,"Maine","23","Not Hispanic or Latino","2186-5",11286
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Hispanic or Latino","2135-2",14442
,"Maryland","24","Not Hispanic or Latino","2186-5",50981
,"Maryland","24","Unknown or Not Stated","9",171
,"Massachusetts","25","Hispanic or Latino","2135-2",15700
,"Massachusetts","25","Not Hispanic or Latino","2186-5",50038
,"Massachusetts","25","Unknown or Not Stated","9",1355
,"Michigan","26","Hispanic or Latino","2135-2",7555
,"Michigan","26","Not Hispanic or Latino","2186-5",90949
,"Michigan","26","Unknown or Not Stated","9",620
,"Minnesota","27","Hispanic or Latino","2135-2",6498
,"Minnesota","27","Not Hispanic or Latino","2186-5",55026
,"Minnesota","27","Unknown or Not Stated","9",191
,"Mississippi","28","Hispanic or Latino","2135-2",2122
,"Mississippi","28","Not Hispanic or Latino","2186-5",32328
,"Mississippi","28","Unknown or Not Stated","9",Suppressed
,"Missouri","29","Hispanic or Latino","2135-2",5518
,"Missouri","29","Not Hispanic or Latino","2186-5",61130
,"Missouri","29","Unknown or Not Stated","9",475
,"Montana","30","Hispanic or Latino","2135-2",703
,"Montana","30","Not Hispanic or Latino","2186-5",10327
,"Montana","30","Unknown or Not Stated","9",48
,"Nebraska","31","Hispanic or Latino","2135-2",5010
,"Nebraska","31","Not Hispanic or Latino","2186-5",19085
,"Nebraska","31","Unknown or Not Stated","9",16
,"Nevada","32","Hispanic or Latino","2135-2",12631
,"Nevada","32","Not Hispanic or Latino","2186-5",18981
,"Nevada","32","Unknown or Not Stated","9",182
,"New Hampshire","33","Hispanic or Latino","2135-2",889
,"New Hampshire","33","Not Hispanic or Latino","2186-5",10967
,"New Hampshire","33","Unknown or Not Stated","9",80
,"New Jersey","34","Hispanic or Latino","2135-2",30238
,"New Jersey","34","Not Hispanic or Latino","2186-5",69550
,"New Jersey","34","Unknown or Not Stated","9",1213
,"New Mexico","35","Hispanic or Latino","2135-2",12461
,"New Mexico","35","Not Hispanic or Latino","2186-5",8454
,"New Mexico","35","Unknown or Not Stated","9",36
,"New York","36","Hispanic or Latino","2135-2",50832
,"New York","36","Not Hispanic or Latino","2186-5",151129
,"New York","36","Unknown or Not Stated","9",1651
,"North Carolina","37","Hispanic or Latino","2135-2",23788
,"North Carolina","37","Not Hispanic or Latino","2186-5",96185
,"North Carolina","37","Unknown or Not Stated","9",109
,"North Dakota","38","Hispanic or Latino","2135-2",759
,"North Dakota","38","Not Hispanic or Latino","2186-5",8693
,"North Dakota","38","Unknown or Not Stated","9",195
,"Ohio","39","Hispanic or Latino","2135-2",9748
,"Ohio","39","Not Hispanic or Latino","2186-5",116973
,"Ohio","39","Unknown or Not Stated","9",175
,"Oklahoma","40","Hispanic or Latino","2135-2",8809
,"Oklahoma","40","Not Hispanic or Latino","2186-5",39022
,"Oklahoma","40","Unknown or Not Stated","9",78
,"Oregon","41","Hispanic or Latino","2135-2",8881
,"Oregon","41","Not Hispanic or Latino","2186-5",28280
,"Oregon","41","Unknown or Not Stated","9",1137
,"Pennsylvania","42","Hispanic or Latino","2135-2",18505
,"Pennsylvania","42","Not Hispanic or Latino","2186-5",106948
,"Pennsylvania","42","Unknown or Not Stated","9",1498
,"Rhode Island","44","Hispanic or Latino","2135-2",3008
,"Rhode Island","44","Not Hispanic or Latino","2186-5",6762
,"Rhode Island","44","Unknown or Not Stated","9",35
,"South Carolina","45","Hispanic or Latino","2135-2",7957
,"South Carolina","45","Not Hispanic or Latino","2186-5",49607
,"South Carolina","45","Unknown or Not Stated","9",165
,"South Dakota","46","Hispanic or Latino","2135-2",836
,"South Dakota","46","Not Hispanic or Latino","2186-5",10347
,"South Dakota","46","Unknown or Not Stated","9",18
,"Tennessee","47","Hispanic or Latino","2135-2",11895
,"Tennessee","47","Not Hispanic or Latino","2186-5",70964
,"Tennessee","47","Unknown or Not Stated","9",162
,"Texas","48","Hispanic or Latino","2135-2",191967
,"Texas","48","Not Hispanic or Latino","2186-5",194765
