"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Boone County, MO","29019","Under 15 years","15",0
,"Boone County, MO","29019","15-19 years","15-19",71
,"Boone County, MO","29019","20-24 years","20-24",284
,"Boone County, MO","29019","25-29 years","25-29",548
,"Boone County, MO","29019","30-34 years","30-34",542
,"Boone County, MO","29019","35-39 years","35-39",316
,"Boone County, MO","29019","40-44 years","40-44",61
,"Boone County, MO","29019","45-49 years","45-49",Suppressed
,"Boone County, MO","29019","50 years and over","50+",0
,"Clay County, MO","29047","Under 15 years","15",Suppressed
,"Clay County, MO","29047","15-19 years","15-19",93
,"Clay County, MO","29047","20-24 years","20-24",441
,"Clay County, MO","29047","25-29 years","25-29",906
,"Clay County, MO","29047","30-34 years","30-34",907
,"Clay County, MO","29047","35-39 years","35-39",380
,"Clay County, MO","29047","40-44 years","40-44",83
,"Clay County, MO","29047","45-49 years","45-49",Suppressed
,"Clay County, MO","29047","50 years and over","50+",Suppressed
,"Franklin County, MO","29071","Under 15 years","15",Suppressed
,"Franklin County, MO","29071","15-19 years","15-19",44
,"Franklin County, MO","29071","20-24 years","20-24",222
,"Franklin County, MO","29071","25-29 years","25-29",404
,"Franklin County, MO","29071","30-34 years","30-34",305
,"Franklin County, MO","29071","35-39 years","35-39",130
,"Franklin County, MO","29071","40-44 years","40-44",17
,"Franklin County, MO","29071","45-49 years","45-49",Suppressed
,"Franklin County, MO","29071","50 years and over","50+",Suppressed
,"Greene County, MO","29077","Under 15 years","15",Suppressed
,"Greene County, MO","29077","15-19 years","15-19",169
,"Greene County, MO","29077","20-24 years","20-24",755
,"Greene County, MO","29077","25-29 years","25-29",1014
,"Greene County, MO","29077","30-34 years","30-34",797
,"Greene County, MO","29077","35-39 years","35-39",340
,"Greene County, MO","29077","40-44 years","40-44",79
,"Greene County, MO","29077","45-49 years","45-49",0
,"Greene County, MO","29077","50 years and over","50+",0
,"Jackson County, MO","29095","Under 15 years","15",12
,"Jackson County, MO","29095","15-19 years","15-19",435
,"Jackson County, MO","29095","20-24 years","20-24",1618
,"Jackson County, MO","29095","25-29 years","25-29",2578
,"Jackson County, MO","29095","30-34 years","30-34",2495
,"Jackson County, MO","29095","35-39 years","35-39",1207
,"Jackson County, MO","29095","40-44 years","40-44",231
,"Jackson County, MO","29095","45-49 years","45-49",17
,"Jackson County, MO","29095","50 years and over","50+",0
,"Jasper County, MO","29097","Under 15 years","15",0
