"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Sussex County, NJ","34037","20-24 years","20-24",90
,"Sussex County, NJ","34037","25-29 years","25-29",300
,"Sussex County, NJ","34037","30-34 years","30-34",623
,"Sussex County, NJ","34037","35-39 years","35-39",330
,"Sussex County, NJ","34037","40-44 years","40-44",61
,"Sussex County, NJ","34037","45-49 years","45-49",Suppressed
,"Sussex County, NJ","34037","50 years and over","50+",Suppressed
,"Union County, NJ","34039","Under 15 years","15",0
,"Union County, NJ","34039","15-19 years","15-19",192
,"Union County, NJ","34039","20-24 years","20-24",743
,"Union County, NJ","34039","25-29 years","25-29",1414
,"Union County, NJ","34039","30-34 years","30-34",2262
,"Union County, NJ","34039","35-39 years","35-39",1655
,"Union County, NJ","34039","40-44 years","40-44",410
,"Union County, NJ","34039","45-49 years","45-49",32
,"Union County, NJ","34039","50 years and over","50+",Suppressed
,"Warren County, NJ","34041","Under 15 years","15",Suppressed
,"Warren County, NJ","34041","15-19 years","15-19",24
,"Warren County, NJ","34041","20-24 years","20-24",82
,"Warren County, NJ","34041","25-29 years","25-29",272
,"Warren County, NJ","34041","30-34 years","30-34",422
,"Warren County, NJ","34041","35-39 years","35-39",206
,"Warren County, NJ","34041","40-44 years","40-44",47
,"Warren County, NJ","34041","45-49 years","45-49",Suppressed
,"Warren County, NJ","34041","50 years and over","50+",0
,"Unidentified Counties, NJ","34999","Under 15 years","15",Suppressed
,"Unidentified Counties, NJ","34999","15-19 years","15-19",35
,"Unidentified Counties, NJ","34999","20-24 years","20-24",220
,"Unidentified Counties, NJ","34999","25-29 years","25-29",368
,"Unidentified Counties, NJ","34999","30-34 years","30-34",442
,"Unidentified Counties, NJ","34999","35-39 years","35-39",256
,"Unidentified Counties, NJ","34999","40-44 years","40-44",56
,"Unidentified Counties, NJ","34999","45-49 years","45-49",Suppressed
,"Unidentified Counties, NJ","34999","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New Jersey (34)"
"Year: 2023"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 8:03:23 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
