"Notes","State of Residence","State of Residence Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"Alabama","01","499 grams or less","01",102
,"Alabama","01","500 - 999 grams","02",417
,"Alabama","01","1000 - 1499 grams","03",577
,"Alabama","01","1500 - 1999 grams","04",1151
,"Alabama","01","2000 - 2499 grams","05",3785
,"Alabama","01","2500 - 2999 grams","06",12531
,"Alabama","01","3000 - 3499 grams","07",22424
,"Alabama","01","3500 - 3999 grams","08",13338
,"Alabama","01","4000 - 4499 grams","09",3069
,"Alabama","01","4500 - 4999 grams","10",392
,"Alabama","01","5000 - 8165 grams","11",42
,"Alabama","01","Unknown or Not Stated","12",30
,"Alaska","02","499 grams or less","01",13
,"Alaska","02","500 - 999 grams","02",28
,"Alaska","02","1000 - 1499 grams","03",48
,"Alaska","02","1500 - 1999 grams","04",118
,"Alaska","02","2000 - 2499 grams","05",395
,"Alaska","02","2500 - 2999 grams","06",1407
,"Alaska","02","3000 - 3499 grams","07",3196
,"Alaska","02","3500 - 3999 grams","08",2730
,"Alaska","02","4000 - 4499 grams","09",924
,"Alaska","02","4500 - 4999 grams","10",125
,"Alaska","02","5000 - 8165 grams","11",27
,"Alaska","02","Unknown or Not Stated","12",Suppressed
,"Arizona","04","499 grams or less","01",90
,"Arizona","04","500 - 999 grams","02",367
,"Arizona","04","1000 - 1499 grams","03",513
,"Arizona","04","1500 - 1999 grams","04",1216
,"Arizona","04","2000 - 2499 grams","05",4105
,"Arizona","04","2500 - 2999 grams","06",14996
,"Arizona","04","3000 - 3499 grams","07",30886
,"Arizona","04","3500 - 3999 grams","08",20165
,"Arizona","04","4000 - 4499 grams","09",4964
,"Arizona","04","4500 - 4999 grams","10",650
,"Arizona","04","5000 - 8165 grams","11",80
,"Arizona","04","Unknown or Not Stated","12",64
,"Arkansas","05","499 grams or less","01",62
,"Arkansas","05","500 - 999 grams","02",221
,"Arkansas","05","1000 - 1499 grams","03",291
,"Arkansas","05","1500 - 1999 grams","04",645
,"Arkansas","05","2000 - 2499 grams","05",2180
,"Arkansas","05","2500 - 2999 grams","06",7306
,"Arkansas","05","3000 - 3499 grams","07",13824
,"Arkansas","05","3500 - 3999 grams","08",8478
,"Arkansas","05","4000 - 4499 grams","09",1937
,"Arkansas","05","4500 - 4999 grams","10",260
,"Arkansas","05","5000 - 8165 grams","11",31
,"Arkansas","05","Unknown or Not Stated","12",29
,"California","06","499 grams or less","01",383
,"California","06","500 - 999 grams","02",1587
,"California","06","1000 - 1499 grams","03",2562
,"California","06","1500 - 1999 grams","04",5871
,"California","06","2000 - 2499 grams","05",19653
,"California","06","2500 - 2999 grams","06",77205
,"California","06","3000 - 3499 grams","07",158907
,"California","06","3500 - 3999 grams","08",104397
,"California","06","4000 - 4499 grams","09",25665
,"California","06","4500 - 4999 grams","10",3356
,"California","06","5000 - 8165 grams","11",429
,"California","06","Unknown or Not Stated","12",93
,"Colorado","08","499 grams or less","01",67
,"Colorado","08","500 - 999 grams","02",269
,"Colorado","08","1000 - 1499 grams","03",395
,"Colorado","08","1500 - 1999 grams","04",1054
,"Colorado","08","2000 - 2499 grams","05",4188
,"Colorado","08","2500 - 2999 grams","06",14282
,"Colorado","08","3000 - 3499 grams","07",25569
,"Colorado","08","3500 - 3999 grams","08",12891
,"Colorado","08","4000 - 4499 grams","09",2355
,"Colorado","08","4500 - 4999 grams","10",241
,"Colorado","08","5000 - 8165 grams","11",19
,"Colorado","08","Unknown or Not Stated","12",164
,"Connecticut","09","499 grams or less","01",35
,"Connecticut","09","500 - 999 grams","02",149
,"Connecticut","09","1000 - 1499 grams","03",260
,"Connecticut","09","1500 - 1999 grams","04",531
,"Connecticut","09","2000 - 2499 grams","05",1757
,"Connecticut","09","2500 - 2999 grams","06",6323
,"Connecticut","09","3000 - 3499 grams","07",13323
,"Connecticut","09","3500 - 3999 grams","08",9432
,"Connecticut","09","4000 - 4499 grams","09",2404
,"Connecticut","09","4500 - 4999 grams","10",298
,"Connecticut","09","5000 - 8165 grams","11",25
,"Connecticut","09","Unknown or Not Stated","12",22
,"Delaware","10","499 grams or less","01",14
,"Delaware","10","500 - 999 grams","02",69
,"Delaware","10","1000 - 1499 grams","03",74
,"Delaware","10","1500 - 1999 grams","04",176
,"Delaware","10","2000 - 2499 grams","05",621
,"Delaware","10","2500 - 2999 grams","06",2101
,"Delaware","10","3000 - 3499 grams","07",3951
,"Delaware","10","3500 - 3999 grams","08",2665
,"Delaware","10","4000 - 4499 grams","09",666
,"Delaware","10","4500 - 4999 grams","10",77
,"Delaware","10","5000 - 8165 grams","11",12
,"Delaware","10","Unknown or Not Stated","12",Suppressed
,"District of Columbia","11","499 grams or less","01",11
,"District of Columbia","11","500 - 999 grams","02",55
,"District of Columbia","11","1000 - 1499 grams","03",77
,"District of Columbia","11","1500 - 1999 grams","04",168
,"District of Columbia","11","2000 - 2499 grams","05",544
,"District of Columbia","11","2500 - 2999 grams","06",1554
,"District of Columbia","11","3000 - 3499 grams","07",3031
,"District of Columbia","11","3500 - 3999 grams","08",1967
,"District of Columbia","11","4000 - 4499 grams","09",444
,"District of Columbia","11","4500 - 4999 grams","10",38
,"District of Columbia","11","5000 - 8165 grams","11",Suppressed
,"District of Columbia","11","Unknown or Not Stated","12",0
,"Florida","12","499 grams or less","01",389
,"Florida","12","500 - 999 grams","02",1404
,"Florida","12","1000 - 1499 grams","03",1733
,"Florida","12","1500 - 1999 grams","04",3857
,"Florida","12","2000 - 2499 grams","05",12620
,"Florida","12","2500 - 2999 grams","06",44203
