"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Champaign County, IL","17019","Female","F",867
,"Champaign County, IL","17019","Male","M",1028
,"Cook County, IL","17031","Female","F",24885
,"Cook County, IL","17031","Male","M",25879
,"DeKalb County, IL","17037","Female","F",454
,"DeKalb County, IL","17037","Male","M",528
,"DuPage County, IL","17043","Female","F",4674
,"DuPage County, IL","17043","Male","M",4878
,"Kane County, IL","17089","Female","F",2665
,"Kane County, IL","17089","Male","M",2839
,"Kankakee County, IL","17091","Female","F",520
,"Kankakee County, IL","17091","Male","M",549
,"Kendall County, IL","17093","Female","F",764
,"Kendall County, IL","17093","Male","M",736
,"Lake County, IL","17097","Female","F",3199
,"Lake County, IL","17097","Male","M",3237
,"LaSalle County, IL","17099","Female","F",491
,"LaSalle County, IL","17099","Male","M",556
,"McHenry County, IL","17111","Female","F",1430
,"McHenry County, IL","17111","Male","M",1546
,"McLean County, IL","17113","Female","F",811
,"McLean County, IL","17113","Male","M",799
,"Macon County, IL","17115","Female","F",533
,"Macon County, IL","17115","Male","M",499
,"Madison County, IL","17119","Female","F",1311
,"Madison County, IL","17119","Male","M",1305
,"Peoria County, IL","17143","Female","F",955
,"Peoria County, IL","17143","Male","M",1011
,"Rock Island County, IL","17161","Female","F",739
,"Rock Island County, IL","17161","Male","M",755
,"St. Clair County, IL","17163","Female","F",1176
,"St. Clair County, IL","17163","Male","M",1203
,"Sangamon County, IL","17167","Female","F",957
,"Sangamon County, IL","17167","Male","M",1053
,"Tazewell County, IL","17179","Female","F",621
,"Tazewell County, IL","17179","Male","M",673
,"Will County, IL","17197","Female","F",3349
,"Will County, IL","17197","Male","M",3486
,"Winnebago County, IL","17201","Female","F",1467
,"Winnebago County, IL","17201","Male","M",1582
,"Unidentified Counties, IL","17999","Female","F",9116
,"Unidentified Counties, IL","17999","Male","M",9694
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Illinois (17)"
"Year: 2023"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 8:39:32 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 8:39:32 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
