"Notes","State of Residence","State of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alabama","01","Female","F",28223
,"Alabama","01","Male","M",29635
,"Alaska","02","Female","F",4320
,"Alaska","02","Male","M",4695
,"Arizona","04","Female","F",38208
,"Arizona","04","Male","M",39888
,"Arkansas","05","Female","F",17187
,"Arkansas","05","Male","M",18077
,"California","06","Female","F",195243
,"California","06","Male","M",204865
,"Colorado","08","Female","F",30120
,"Colorado","08","Male","M",31374
,"Connecticut","09","Female","F",16968
,"Connecticut","09","Male","M",17591
,"Delaware","10","Female","F",5101
,"Delaware","10","Male","M",5326
,"District of Columbia","11","Female","F",3868
,"District of Columbia","11","Male","M",4028
,"Florida","12","Female","F",108051
,"Florida","12","Male","M",113359
,"Georgia","13","Female","F",61372
,"Georgia","13","Male","M",63748
,"Hawaii","15","Female","F",7184
,"Hawaii","15","Male","M",7624
,"Idaho","16","Female","F",10950
,"Idaho","16","Male","M",11447
,"Illinois","17","Female","F",60984
,"Illinois","17","Male","M",63836
,"Indiana","18","Female","F",38786
,"Indiana","18","Male","M",40214
,"Iowa","19","Female","F",17840
,"Iowa","19","Male","M",18212
,"Kansas","20","Female","F",16530
,"Kansas","20","Male","M",17535
,"Kentucky","21","Female","F",25331
,"Kentucky","21","Male","M",26653
,"Louisiana","22","Female","F",26900
,"Louisiana","22","Male","M",28027
,"Maine","23","Female","F",5658
,"Maine","23","Male","M",5969
,"Maryland","24","Female","F",32190
,"Maryland","24","Male","M",33404
,"Massachusetts","25","Female","F",32324
,"Massachusetts","25","Male","M",34769
,"Michigan","26","Female","F",48093
,"Michigan","26","Male","M",51031
,"Minnesota","27","Female","F",30089
,"Minnesota","27","Male","M",31626
,"Mississippi","28","Female","F",16883
,"Mississippi","28","Male","M",17576
,"Missouri","29","Female","F",32892
,"Missouri","29","Male","M",34231
,"Montana","30","Female","F",5427
,"Montana","30","Male","M",5651
,"Nebraska","31","Female","F",11892
,"Nebraska","31","Male","M",12219
,"Nevada","32","Female","F",15562
,"Nevada","32","Male","M",16232
,"New Hampshire","33","Female","F",5811
,"New Hampshire","33","Male","M",6125
,"New Jersey","34","Female","F",49081
,"New Jersey","34","Male","M",51920
,"New Mexico","35","Female","F",10335
,"New Mexico","35","Male","M",10616
,"New York","36","Female","F",99143
,"New York","36","Male","M",104469
,"North Carolina","37","Female","F",58279
,"North Carolina","37","Male","M",61803
,"North Dakota","38","Female","F",4576
,"North Dakota","38","Male","M",5071
,"Ohio","39","Female","F",62047
,"Ohio","39","Male","M",64849
,"Oklahoma","40","Female","F",23378
,"Oklahoma","40","Male","M",24531
,"Oregon","41","Female","F",18700
,"Oregon","41","Male","M",19598
,"Pennsylvania","42","Female","F",61988
,"Pennsylvania","42","Male","M",64963
,"Rhode Island","44","Female","F",4770
,"Rhode Island","44","Male","M",5035
,"South Carolina","45","Female","F",28157
,"South Carolina","45","Male","M",29572
,"South Dakota","46","Female","F",5365
,"South Dakota","46","Male","M",5836
,"Tennessee","47","Female","F",40711
,"Tennessee","47","Male","M",42310
,"Texas","48","Female","F",190021
,"Texas","48","Male","M",197924
,"Utah","49","Female","F",22134
,"Utah","49","Male","M",22885
,"Vermont","50","Female","F",2434
,"Vermont","50","Male","M",2631
,"Virginia","51","Female","F",45257
,"Virginia","51","Male","M",47392
,"Washington","53","Female","F",39708
,"Washington","53","Male","M",41224
,"West Virginia","54","Female","F",8079
,"West Virginia","54","Male","M",8527
,"Wisconsin","55","Female","F",29090
,"Wisconsin","55","Male","M",30664
,"Wyoming","56","Female","F",2983
,"Wyoming","56","Male","M",3007
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2023"
"Group By: State of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:52:57 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:52:57 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
