"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Atlantic County, NJ","34001","Female","F",1342
,"Atlantic County, NJ","34001","Male","M",1408
,"Bergen County, NJ","34003","Female","F",4407
,"Bergen County, NJ","34003","Male","M",4490
,"Burlington County, NJ","34005","Female","F",2293
,"Burlington County, NJ","34005","Male","M",2396
,"Camden County, NJ","34007","Female","F",2917
,"Camden County, NJ","34007","Male","M",2990
,"Cumberland County, NJ","34011","Female","F",878
,"Cumberland County, NJ","34011","Male","M",939
,"Essex County, NJ","34013","Female","F",4826
,"Essex County, NJ","34013","Male","M",4979
,"Gloucester County, NJ","34015","Female","F",1460
,"Gloucester County, NJ","34015","Male","M",1517
,"Hudson County, NJ","34017","Female","F",4159
,"Hudson County, NJ","34017","Male","M",4496
,"Hunterdon County, NJ","34019","Female","F",493
,"Hunterdon County, NJ","34019","Male","M",532
,"Mercer County, NJ","34021","Female","F",2011
,"Mercer County, NJ","34021","Male","M",2092
,"Middlesex County, NJ","34023","Female","F",4152
,"Middlesex County, NJ","34023","Male","M",4212
,"Monmouth County, NJ","34025","Female","F",3099
,"Monmouth County, NJ","34025","Male","M",3302
,"Morris County, NJ","34027","Female","F",2372
,"Morris County, NJ","34027","Male","M",2557
,"Ocean County, NJ","34029","Female","F",4945
,"Ocean County, NJ","34029","Male","M",5578
,"Passaic County, NJ","34031","Female","F",2967
,"Passaic County, NJ","34031","Male","M",3305
,"Somerset County, NJ","34035","Female","F",1639
,"Somerset County, NJ","34035","Male","M",1662
,"Sussex County, NJ","34037","Female","F",687
,"Sussex County, NJ","34037","Male","M",746
,"Union County, NJ","34039","Female","F",3270
,"Union County, NJ","34039","Male","M",3444
,"Warren County, NJ","34041","Female","F",502
,"Warren County, NJ","34041","Male","M",557
,"Unidentified Counties, NJ","34999","Female","F",662
,"Unidentified Counties, NJ","34999","Male","M",718
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New Jersey (34)"
"Year: 2023"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 8:58:29 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 8:58:29 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
