"Notes","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code",Births
,"Alabama","01","Vaginal","1",38068
,"Alabama","01","Cesarean","2",19785
,"Alabama","01","Unknown or Not Stated","9",Suppressed
,"Alaska","02","Vaginal","1",6850
,"Alaska","02","Cesarean","2",2164
,"Alaska","02","Unknown or Not Stated","9",Suppressed
,"Arizona","04","Vaginal","1",55418
,"Arizona","04","Cesarean","2",22675
,"Arizona","04","Unknown or Not Stated","9",Suppressed
,"Arkansas","05","Vaginal","1",23342
,"Arkansas","05","Cesarean","2",11918
,"Arkansas","05","Unknown or Not Stated","9",Suppressed
,"California","06","Vaginal","1",273992
,"California","06","Cesarean","2",126099
,"California","06","Unknown or Not Stated","9",17
,"Colorado","08","Vaginal","1",44594
,"Colorado","08","Cesarean","2",16885
,"Colorado","08","Unknown or Not Stated","9",15
,"Connecticut","09","Vaginal","1",22451
,"Connecticut","09","Cesarean","2",12101
,"Connecticut","09","Unknown or Not Stated","9",Suppressed
,"Delaware","10","Vaginal","1",7131
,"Delaware","10","Cesarean","2",3286
,"Delaware","10","Unknown or Not Stated","9",10
,"District of Columbia","11","Vaginal","1",5197
,"District of Columbia","11","Cesarean","2",2695
,"District of Columbia","11","Unknown or Not Stated","9",Suppressed
,"Florida","12","Vaginal","1",141092
,"Florida","12","Cesarean","2",80137
,"Florida","12","Unknown or Not Stated","9",181
,"Georgia","13","Vaginal","1",80322
,"Georgia","13","Cesarean","2",44742
,"Georgia","13","Unknown or Not Stated","9",56
,"Hawaii","15","Vaginal","1",10752
,"Hawaii","15","Cesarean","2",4056
,"Hawaii","15","Unknown or Not Stated","9",0
,"Idaho","16","Vaginal","1",16919
,"Idaho","16","Cesarean","2",5469
,"Idaho","16","Unknown or Not Stated","9",Suppressed
,"Illinois","17","Vaginal","1",86082
,"Illinois","17","Cesarean","2",38710
,"Illinois","17","Unknown or Not Stated","9",28
,"Indiana","18","Vaginal","1",54708
,"Indiana","18","Cesarean","2",24280
,"Indiana","18","Unknown or Not Stated","9",12
,"Iowa","19","Vaginal","1",25144
,"Iowa","19","Cesarean","2",10903
,"Iowa","19","Unknown or Not Stated","9",Suppressed
,"Kansas","20","Vaginal","1",23744
,"Kansas","20","Cesarean","2",10320
,"Kansas","20","Unknown or Not Stated","9",Suppressed
,"Kentucky","21","Vaginal","1",34137
,"Kentucky","21","Cesarean","2",17822
,"Kentucky","21","Unknown or Not Stated","9",25
,"Louisiana","22","Vaginal","1",35124
,"Louisiana","22","Cesarean","2",19803
,"Louisiana","22","Unknown or Not Stated","9",0
,"Maine","23","Vaginal","1",8011
,"Maine","23","Cesarean","2",3614
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Vaginal","1",42653
,"Maryland","24","Cesarean","2",22926
,"Maryland","24","Unknown or Not Stated","9",15
,"Massachusetts","25","Vaginal","1",44502
,"Massachusetts","25","Cesarean","2",22377
,"Massachusetts","25","Unknown or Not Stated","9",214
,"Michigan","26","Vaginal","1",66133
,"Michigan","26","Cesarean","2",32924
,"Michigan","26","Unknown or Not Stated","9",67
