"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Texas","48","Not Reported","100",0
,"Utah","49","1st to 3rd month","1",35150
,"Utah","49","4th to 6th month","2",6758
,"Utah","49","7th to final month","3",2101
,"Utah","49","No prenatal care","4",391
,"Utah","49","Unknown or Not Stated","5",619
,"Utah","49","Not Reported","100",0
,"Vermont","50","1st to 3rd month","1",4508
,"Vermont","50","4th to 6th month","2",412
,"Vermont","50","7th to final month","3",97
,"Vermont","50","No prenatal care","4",36
,"Vermont","50","Unknown or Not Stated","5",12
,"Vermont","50","Not Reported","100",0
,"Virginia","51","1st to 3rd month","1",71635
,"Virginia","51","4th to 6th month","2",13955
,"Virginia","51","7th to final month","3",3492
,"Virginia","51","No prenatal care","4",2279
,"Virginia","51","Unknown or Not Stated","5",1288
,"Virginia","51","Not Reported","100",0
,"Washington","53","1st to 3rd month","1",56240
,"Washington","53","4th to 6th month","2",13533
,"Washington","53","7th to final month","3",4190
,"Washington","53","No prenatal care","4",1097
,"Washington","53","Unknown or Not Stated","5",5872
,"Washington","53","Not Reported","100",0
,"West Virginia","54","1st to 3rd month","1",13422
,"West Virginia","54","4th to 6th month","2",2144
,"West Virginia","54","7th to final month","3",601
,"West Virginia","54","No prenatal care","4",322
,"West Virginia","54","Unknown or Not Stated","5",117
,"West Virginia","54","Not Reported","100",0
,"Wisconsin","55","1st to 3rd month","1",48866
,"Wisconsin","55","4th to 6th month","2",7550
,"Wisconsin","55","7th to final month","3",1856
,"Wisconsin","55","No prenatal care","4",516
,"Wisconsin","55","Unknown or Not Stated","5",966
,"Wisconsin","55","Not Reported","100",0
,"Wyoming","56","1st to 3rd month","1",4735
,"Wyoming","56","4th to 6th month","2",783
,"Wyoming","56","7th to final month","3",264
,"Wyoming","56","No prenatal care","4",77
,"Wyoming","56","Unknown or Not Stated","5",131
,"Wyoming","56","Not Reported","100",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2023"
"Group By: State of Residence; Trimester Prenatal Care Began"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
