"Notes","State of Residence","State of Residence Code","Plurality","Plurality Code",Births
,"Alabama","01","Single","1",55905
,"Alabama","01","Twin","2",2079
,"Alabama","01","Triplet or higher","3",70
,"Alaska","02","Single","1",9052
,"Alaska","02","Twin","2",306
,"Alaska","02","Triplet or higher","3",Suppressed
,"Arizona","04","Single","1",75601
,"Arizona","04","Twin","2",2251
,"Arizona","04","Triplet or higher","3",64
,"Arkansas","05","Single","1",34835
,"Arkansas","05","Twin","2",1106
,"Arkansas","05","Triplet or higher","3",24
,"California","06","Single","1",408419
,"California","06","Twin","2",11925
,"California","06","Triplet or higher","3",264
,"Colorado","08","Single","1",61070
,"Colorado","08","Twin","2",1839
,"Colorado","08","Triplet or higher","3",40
,"Connecticut","09","Single","1",34300
,"Connecticut","09","Twin","2",1333
,"Connecticut","09","Triplet or higher","3",37
,"Delaware","10","Single","1",10156
,"Delaware","10","Twin","2",314
,"Delaware","10","Triplet or higher","3",12
,"District of Columbia","11","Single","1",8414
,"District of Columbia","11","Twin","2",246
,"District of Columbia","11","Triplet or higher","3",0
,"Florida","12","Single","1",209728
,"Florida","12","Twin","2",6410
,"Florida","12","Triplet or higher","3",122
,"Georgia","13","Single","1",119909
,"Georgia","13","Twin","2",4048
,"Georgia","13","Triplet or higher","3",116
,"Hawaii","15","Single","1",15177
,"Hawaii","15","Twin","2",441
,"Hawaii","15","Triplet or higher","3",Suppressed
,"Idaho","16","Single","1",21763
,"Idaho","16","Twin","2",639
,"Idaho","16","Triplet or higher","3",25
,"Illinois","17","Single","1",127692
,"Illinois","17","Twin","2",4415
,"Illinois","17","Triplet or higher","3",82
,"Indiana","18","Single","1",77251
,"Indiana","18","Twin","2",2634
,"Indiana","18","Triplet or higher","3",61
,"Iowa","19","Single","1",35509
,"Iowa","19","Twin","2",1294
,"Iowa","19","Triplet or higher","3",32
,"Kansas","20","Single","1",33607
,"Kansas","20","Twin","2",1058
,"Kansas","20","Triplet or higher","3",40
,"Kentucky","21","Single","1",50463
,"Kentucky","21","Twin","2",1699
,"Kentucky","21","Triplet or higher","3",52
,"Louisiana","22","Single","1",55440
,"Louisiana","22","Twin","2",1949
,"Louisiana","22","Triplet or higher","3",48
,"Maine","23","Single","1",11633
,"Maine","23","Twin","2",370
,"Maine","23","Triplet or higher","3",Suppressed
,"Maryland","24","Single","1",66041
,"Maryland","24","Twin","2",2198
,"Maryland","24","Triplet or higher","3",46
,"Massachusetts","25","Single","1",66813
,"Massachusetts","25","Twin","2",2271
