"Notes","State of Residence","State of Residence Code","Tobacco Use","Tobacco Use Code",Births
,"Alabama","01","Yes","1",3563
,"Alabama","01","No","2",54419
,"Alabama","01","Unknown or Not Stated","9",72
,"Alaska","02","Yes","1",697
,"Alaska","02","No","2",8434
,"Alaska","02","Unknown or Not Stated","9",236
,"Arizona","04","Yes","1",2560
,"Arizona","04","No","2",75280
,"Arizona","04","Unknown or Not Stated","9",76
,"Arkansas","05","Yes","1",3411
,"Arkansas","05","No","2",32425
,"Arkansas","05","Unknown or Not Stated","9",129
,"California","06","Yes","1",3424
,"California","06","No","2",416114
,"California","06","Unknown or Not Stated","9",1070
,"Colorado","08","Yes","1",2325
,"Colorado","08","No","2",60521
,"Colorado","08","Unknown or Not Stated","9",103
,"Connecticut","09","Yes","1",866
,"Connecticut","09","No","2",34775
,"Connecticut","09","Unknown or Not Stated","9",29
,"Delaware","10","Yes","1",544
,"Delaware","10","No","2",9881
,"Delaware","10","Unknown or Not Stated","9",57
,"District of Columbia","11","Yes","1",139
,"District of Columbia","11","No","2",8418
,"District of Columbia","11","Unknown or Not Stated","9",103
,"Florida","12","Yes","1",6233
,"Florida","12","No","2",209375
,"Florida","12","Unknown or Not Stated","9",652
,"Georgia","13","Yes","1",4325
,"Georgia","13","No","2",119509
,"Georgia","13","Unknown or Not Stated","9",239
,"Hawaii","15","Yes","1",261
,"Hawaii","15","No","2",15068
,"Hawaii","15","Unknown or Not Stated","9",291
,"Idaho","16","Yes","1",1236
,"Idaho","16","No","2",21119
,"Idaho","16","Unknown or Not Stated","9",72
,"Illinois","17","Yes","1",5851
,"Illinois","17","No","2",126036
,"Illinois","17","Unknown or Not Stated","9",302
,"Indiana","18","Yes","1",7193
,"Indiana","18","No","2",72588
,"Indiana","18","Unknown or Not Stated","9",165
,"Iowa","19","Yes","1",3214
,"Iowa","19","No","2",33591
,"Iowa","19","Unknown or Not Stated","9",30
,"Kansas","20","Yes","1",2399
,"Kansas","20","No","2",32143
,"Kansas","20","Unknown or Not Stated","9",163
,"Kentucky","21","Yes","1",6613
,"Kentucky","21","No","2",45395
,"Kentucky","21","Unknown or Not Stated","9",206
,"Louisiana","22","Yes","1",2485
,"Louisiana","22","No","2",54337
,"Louisiana","22","Unknown or Not Stated","9",615
,"Maine","23","Yes","1",1203
,"Maine","23","No","2",10793
,"Maine","23","Unknown or Not Stated","9",10
,"Maryland","24","Yes","1",2262
,"Maryland","24","No","2",65797
,"Maryland","24","Unknown or Not Stated","9",226
,"Massachusetts","25","Yes","1",1908
,"Massachusetts","25","No","2",67219
,"Massachusetts","25","Unknown or Not Stated","9",10
,"Michigan","26","Yes","1",8625
,"Michigan","26","No","2",95567
,"Michigan","26","Unknown or Not Stated","9",788
,"Minnesota","27","Yes","1",3586
,"Minnesota","27","No","2",60773
,"Minnesota","27","Unknown or Not Stated","9",66
,"Mississippi","28","Yes","1",2389
,"Mississippi","28","No","2",32704
,"Mississippi","28","Unknown or Not Stated","9",63
,"Missouri","29","Yes","1",6879
,"Missouri","29","No","2",61321
,"Missouri","29","Unknown or Not Stated","9",1253
,"Montana","30","Yes","1",1198
,"Montana","30","No","2",10026
,"Montana","30","Unknown or Not Stated","9",Suppressed
,"Nebraska","31","Yes","1",1587
,"Nebraska","31","No","2",23007
,"Nebraska","31","Unknown or Not Stated","9",15
,"Nevada","32","Yes","1",1103
,"Nevada","32","No","2",32277
,"Nevada","32","Unknown or Not Stated","9",306
,"New Hampshire","33","Yes","1",747
,"New Hampshire","33","No","2",11766
,"New Hampshire","33","Unknown or Not Stated","9",112
,"New Jersey","34","Yes","1",1885
,"New Jersey","34","No","2",98956
,"New Jersey","34","Unknown or Not Stated","9",656
,"New Mexico","35","Yes","1",918
,"New Mexico","35","No","2",20400
,"New Mexico","35","Unknown or Not Stated","9",73
,"New York","36","Yes","1",6322
,"New York","36","No","2",204175
,"New York","36","Unknown or Not Stated","9",245
,"North Carolina","37","Yes","1",6754
,"North Carolina","37","No","2",113648
,"North Carolina","37","Unknown or Not Stated","9",64
,"North Dakota","38","Yes","1",855
,"North Dakota","38","No","2",9161
,"North Dakota","38","Unknown or Not Stated","9",96
,"Ohio","39","Yes","1",12216
,"Ohio","39","No","2",117322
,"Ohio","39","Unknown or Not Stated","9",253
,"Oklahoma","40","Yes","1",3728
,"Oklahoma","40","No","2",44652
,"Oklahoma","40","Unknown or Not Stated","9",30
,"Oregon","41","Yes","1",2274
,"Oregon","41","No","2",38390
,"Oregon","41","Unknown or Not Stated","9",250
,"Pennsylvania","42","Yes","1",9530
,"Pennsylvania","42","No","2",121425
,"Pennsylvania","42","Unknown or Not Stated","9",1667
,"Rhode Island","44","Yes","1",351
,"Rhode Island","44","No","2",10095
,"Rhode Island","44","Unknown or Not Stated","9",18
,"South Carolina","45","Yes","1",3042
,"South Carolina","45","No","2",54089
,"South Carolina","45","Unknown or Not Stated","9",54
