"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Waukesha County, WI","55133","Under 15 years","15",0
,"Waukesha County, WI","55133","15-19 years","15-19",43
,"Waukesha County, WI","55133","20-24 years","20-24",239
,"Waukesha County, WI","55133","25-29 years","25-29",941
,"Waukesha County, WI","55133","30-34 years","30-34",1705
,"Waukesha County, WI","55133","35-39 years","35-39",836
,"Waukesha County, WI","55133","40-44 years","40-44",139
,"Waukesha County, WI","55133","45-49 years","45-49",Suppressed
,"Waukesha County, WI","55133","50 years and over","50+",Suppressed
,"Winnebago County, WI","55139","Under 15 years","15",0
,"Winnebago County, WI","55139","15-19 years","15-19",42
,"Winnebago County, WI","55139","20-24 years","20-24",263
,"Winnebago County, WI","55139","25-29 years","25-29",565
,"Winnebago County, WI","55139","30-34 years","30-34",599
,"Winnebago County, WI","55139","35-39 years","35-39",247
,"Winnebago County, WI","55139","40-44 years","40-44",38
,"Winnebago County, WI","55139","45-49 years","45-49",Suppressed
,"Winnebago County, WI","55139","50 years and over","50+",0
,"Unidentified Counties, WI","55999","Under 15 years","15",Suppressed
,"Unidentified Counties, WI","55999","15-19 years","15-19",518
,"Unidentified Counties, WI","55999","20-24 years","20-24",3490
,"Unidentified Counties, WI","55999","25-29 years","25-29",6823
,"Unidentified Counties, WI","55999","30-34 years","30-34",6374
,"Unidentified Counties, WI","55999","35-39 years","35-39",2693
,"Unidentified Counties, WI","55999","40-44 years","40-44",564
,"Unidentified Counties, WI","55999","45-49 years","45-49",24
,"Unidentified Counties, WI","55999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Wisconsin (55)"
"Year: 2021"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 12:13:22 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 12:13:22 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
