"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Anoka County, MN","27003","Female","F",2083
,"Anoka County, MN","27003","Male","M",2107
,"Dakota County, MN","27037","Female","F",2455
,"Dakota County, MN","27037","Male","M",2578
,"Hennepin County, MN","27053","Female","F",7233
,"Hennepin County, MN","27053","Male","M",7486
,"Olmsted County, MN","27109","Female","F",965
,"Olmsted County, MN","27109","Male","M",1022
,"Ramsey County, MN","27123","Female","F",3254
,"Ramsey County, MN","27123","Male","M",3387
,"St. Louis County, MN","27137","Female","F",894
,"St. Louis County, MN","27137","Male","M",948
,"Scott County, MN","27139","Female","F",845
,"Scott County, MN","27139","Male","M",881
,"Stearns County, MN","27145","Female","F",976
,"Stearns County, MN","27145","Male","M",989
,"Washington County, MN","27163","Female","F",1357
,"Washington County, MN","27163","Male","M",1439
,"Wright County, MN","27171","Female","F",890
,"Wright County, MN","27171","Male","M",973
,"Unidentified Counties, MN","27999","Female","F",10579
,"Unidentified Counties, MN","27999","Male","M",11084
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Minnesota (27)"
"Year: 2021"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 2:45:22 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 2:45:22 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
