"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alabama","01","Hispanic or Latino","2135-2",5648
,"Alabama","01","Not Hispanic or Latino","2186-5",52398
,"Alabama","01","Unknown or Not Stated","9",Suppressed
,"Alaska","02","Hispanic or Latino","2135-2",798
,"Alaska","02","Not Hispanic or Latino","2186-5",8356
,"Alaska","02","Unknown or Not Stated","9",213
,"Arizona","04","Hispanic or Latino","2135-2",33475
,"Arizona","04","Not Hispanic or Latino","2186-5",44028
,"Arizona","04","Unknown or Not Stated","9",413
,"Arkansas","05","Hispanic or Latino","2135-2",4069
,"Arkansas","05","Not Hispanic or Latino","2186-5",31776
,"Arkansas","05","Unknown or Not Stated","9",120
,"California","06","Hispanic or Latino","2135-2",196077
,"California","06","Not Hispanic or Latino","2186-5",206415
,"California","06","Unknown or Not Stated","9",18116
,"Colorado","08","Hispanic or Latino","2135-2",18362
,"Colorado","08","Not Hispanic or Latino","2186-5",43994
,"Colorado","08","Unknown or Not Stated","9",593
,"Connecticut","09","Hispanic or Latino","2135-2",9482
,"Connecticut","09","Not Hispanic or Latino","2186-5",26161
,"Connecticut","09","Unknown or Not Stated","9",27
,"Delaware","10","Hispanic or Latino","2135-2",1826
,"Delaware","10","Not Hispanic or Latino","2186-5",8609
,"Delaware","10","Unknown or Not Stated","9",47
,"District of Columbia","11","Hispanic or Latino","2135-2",1341
,"District of Columbia","11","Not Hispanic or Latino","2186-5",7305
,"District of Columbia","11","Unknown or Not Stated","9",14
,"Florida","12","Hispanic or Latino","2135-2",69375
,"Florida","12","Not Hispanic or Latino","2186-5",146729
,"Florida","12","Unknown or Not Stated","9",156
,"Georgia","13","Hispanic or Latino","2135-2",19480
,"Georgia","13","Not Hispanic or Latino","2186-5",103998
,"Georgia","13","Unknown or Not Stated","9",595
,"Hawaii","15","Hispanic or Latino","2135-2",2661
,"Hawaii","15","Not Hispanic or Latino","2186-5",12888
,"Hawaii","15","Unknown or Not Stated","9",71
,"Idaho","16","Hispanic or Latino","2135-2",3887
,"Idaho","16","Not Hispanic or Latino","2186-5",18436
,"Idaho","16","Unknown or Not Stated","9",104
,"Illinois","17","Hispanic or Latino","2135-2",28546
,"Illinois","17","Not Hispanic or Latino","2186-5",102868
,"Illinois","17","Unknown or Not Stated","9",775
,"Indiana","18","Hispanic or Latino","2135-2",8826
,"Indiana","18","Not Hispanic or Latino","2186-5",70971
,"Indiana","18","Unknown or Not Stated","9",149
,"Iowa","19","Hispanic or Latino","2135-2",3903
,"Iowa","19","Not Hispanic or Latino","2186-5",32921
,"Iowa","19","Unknown or Not Stated","9",11
,"Kansas","20","Hispanic or Latino","2135-2",6122
,"Kansas","20","Not Hispanic or Latino","2186-5",28477
,"Kansas","20","Unknown or Not Stated","9",106
,"Kentucky","21","Hispanic or Latino","2135-2",3737
,"Kentucky","21","Not Hispanic or Latino","2186-5",48373
,"Kentucky","21","Unknown or Not Stated","9",104
,"Louisiana","22","Hispanic or Latino","2135-2",5267
,"Louisiana","22","Not Hispanic or Latino","2186-5",52134
,"Louisiana","22","Unknown or Not Stated","9",36
,"Maine","23","Hispanic or Latino","2135-2",305
,"Maine","23","Not Hispanic or Latino","2186-5",11694
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Hispanic or Latino","2135-2",13164
,"Maryland","24","Not Hispanic or Latino","2186-5",54974
,"Maryland","24","Unknown or Not Stated","9",147
,"Massachusetts","25","Hispanic or Latino","2135-2",14551
,"Massachusetts","25","Not Hispanic or Latino","2186-5",53544
,"Massachusetts","25","Unknown or Not Stated","9",1042
,"Michigan","26","Hispanic or Latino","2135-2",7075
,"Michigan","26","Not Hispanic or Latino","2186-5",97301
,"Michigan","26","Unknown or Not Stated","9",604
,"Minnesota","27","Hispanic or Latino","2135-2",5487
,"Minnesota","27","Not Hispanic or Latino","2186-5",58778
,"Minnesota","27","Unknown or Not Stated","9",160
,"Mississippi","28","Hispanic or Latino","2135-2",1756
,"Mississippi","28","Not Hispanic or Latino","2186-5",33386
,"Mississippi","28","Unknown or Not Stated","9",14
,"Missouri","29","Hispanic or Latino","2135-2",4606
,"Missouri","29","Not Hispanic or Latino","2186-5",64394
,"Missouri","29","Unknown or Not Stated","9",453
,"Montana","30","Hispanic or Latino","2135-2",648
,"Montana","30","Not Hispanic or Latino","2186-5",10567
,"Montana","30","Unknown or Not Stated","9",16
,"Nebraska","31","Hispanic or Latino","2135-2",4440
,"Nebraska","31","Not Hispanic or Latino","2186-5",20155
,"Nebraska","31","Unknown or Not Stated","9",14
,"Nevada","32","Hispanic or Latino","2135-2",12842
,"Nevada","32","Not Hispanic or Latino","2186-5",20727
,"Nevada","32","Unknown or Not Stated","9",117
,"New Hampshire","33","Hispanic or Latino","2135-2",860
,"New Hampshire","33","Not Hispanic or Latino","2186-5",11686
,"New Hampshire","33","Unknown or Not Stated","9",79
,"New Jersey","34","Hispanic or Latino","2135-2",28143
,"New Jersey","34","Not Hispanic or Latino","2186-5",71698
,"New Jersey","34","Unknown or Not Stated","9",1656
,"New Mexico","35","Hispanic or Latino","2135-2",12354
,"New Mexico","35","Not Hispanic or Latino","2186-5",9003
,"New Mexico","35","Unknown or Not Stated","9",34
,"New York","36","Hispanic or Latino","2135-2",48984
,"New York","36","Not Hispanic or Latino","2186-5",159593
,"New York","36","Unknown or Not Stated","9",2165
,"North Carolina","37","Hispanic or Latino","2135-2",20613
,"North Carolina","37","Not Hispanic or Latino","2186-5",99720
,"North Carolina","37","Unknown or Not Stated","9",133
,"North Dakota","38","Hispanic or Latino","2135-2",671
,"North Dakota","38","Not Hispanic or Latino","2186-5",9241
,"North Dakota","38","Unknown or Not Stated","9",200
,"Ohio","39","Hispanic or Latino","2135-2",8228
,"Ohio","39","Not Hispanic or Latino","2186-5",121347
,"Ohio","39","Unknown or Not Stated","9",216
,"Oklahoma","40","Hispanic or Latino","2135-2",8135
,"Oklahoma","40","Not Hispanic or Latino","2186-5",40144
,"Oklahoma","40","Unknown or Not Stated","9",131
,"Oregon","41","Hispanic or Latino","2135-2",8334
,"Oregon","41","Not Hispanic or Latino","2186-5",32187
,"Oregon","41","Unknown or Not Stated","9",393
,"Pennsylvania","42","Hispanic or Latino","2135-2",17163
,"Pennsylvania","42","Not Hispanic or Latino","2186-5",114028
,"Pennsylvania","42","Unknown or Not Stated","9",1431
,"Rhode Island","44","Hispanic or Latino","2135-2",2931
,"Rhode Island","44","Not Hispanic or Latino","2186-5",7512
,"Rhode Island","44","Unknown or Not Stated","9",21
,"South Carolina","45","Hispanic or Latino","2135-2",6386
,"South Carolina","45","Not Hispanic or Latino","2186-5",50711
,"South Carolina","45","Unknown or Not Stated","9",88
,"South Dakota","46","Hispanic or Latino","2135-2",695
,"South Dakota","46","Not Hispanic or Latino","2186-5",10660
,"South Dakota","46","Unknown or Not Stated","9",14
,"Tennessee","47","Hispanic or Latino","2135-2",9451
,"Tennessee","47","Not Hispanic or Latino","2186-5",72078
,"Tennessee","47","Unknown or Not Stated","9",188
,"Texas","48","Hispanic or Latino","2135-2",177386
,"Texas","48","Not Hispanic or Latino","2186-5",195411
,"Texas","48","Unknown or Not Stated","9",797
,"Utah","49","Hispanic or Latino","2135-2",8358
,"Utah","49","Not Hispanic or Latino","2186-5",37711
,"Utah","49","Unknown or Not Stated","9",643
,"Vermont","50","Hispanic or Latino","2135-2",147
,"Vermont","50","Not Hispanic or Latino","2186-5",5204
,"Vermont","50","Unknown or Not Stated","9",33
,"Virginia","51","Hispanic or Latino","2135-2",15044
,"Virginia","51","Not Hispanic or Latino","2186-5",80459
,"Virginia","51","Unknown or Not Stated","9",322
,"Washington","53","Hispanic or Latino","2135-2",16260
,"Washington","53","Not Hispanic or Latino","2186-5",64538
,"Washington","53","Unknown or Not Stated","9",3113
,"West Virginia","54","Hispanic or Latino","2135-2",345
,"West Virginia","54","Not Hispanic or Latino","2186-5",16776
,"West Virginia","54","Unknown or Not Stated","9",77
,"Wisconsin","55","Hispanic or Latino","2135-2",6923
,"Wisconsin","55","Not Hispanic or Latino","2186-5",54607
,"Wisconsin","55","Unknown or Not Stated","9",251
,"Wyoming","56","Hispanic or Latino","2135-2",749
,"Wyoming","56","Not Hispanic or Latino","2186-5",5324
,"Wyoming","56","Unknown or Not Stated","9",164
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2021"
"Group By: State of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:35:27 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:35:27 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
