"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"St. Lawrence County, NY","36089","35-39 years","35-39",124
,"St. Lawrence County, NY","36089","40-44 years","40-44",23
,"St. Lawrence County, NY","36089","45-49 years","45-49",Suppressed
,"St. Lawrence County, NY","36089","50 years and over","50+",0
,"Saratoga County, NY","36091","Under 15 years","15",0
,"Saratoga County, NY","36091","15-19 years","15-19",35
,"Saratoga County, NY","36091","20-24 years","20-24",175
,"Saratoga County, NY","36091","25-29 years","25-29",492
,"Saratoga County, NY","36091","30-34 years","30-34",857
,"Saratoga County, NY","36091","35-39 years","35-39",453
,"Saratoga County, NY","36091","40-44 years","40-44",83
,"Saratoga County, NY","36091","45-49 years","45-49",Suppressed
,"Saratoga County, NY","36091","50 years and over","50+",Suppressed
,"Schenectady County, NY","36093","Under 15 years","15",0
,"Schenectady County, NY","36093","15-19 years","15-19",65
,"Schenectady County, NY","36093","20-24 years","20-24",261
,"Schenectady County, NY","36093","25-29 years","25-29",532
,"Schenectady County, NY","36093","30-34 years","30-34",605
,"Schenectady County, NY","36093","35-39 years","35-39",310
,"Schenectady County, NY","36093","40-44 years","40-44",61
,"Schenectady County, NY","36093","45-49 years","45-49",Suppressed
,"Schenectady County, NY","36093","50 years and over","50+",0
,"Suffolk County, NY","36103","Under 15 years","15",Suppressed
,"Suffolk County, NY","36103","15-19 years","15-19",355
,"Suffolk County, NY","36103","20-24 years","20-24",1525
,"Suffolk County, NY","36103","25-29 years","25-29",3435
,"Suffolk County, NY","36103","30-34 years","30-34",6034
,"Suffolk County, NY","36103","35-39 years","35-39",3696
,"Suffolk County, NY","36103","40-44 years","40-44",787
,"Suffolk County, NY","36103","45-49 years","45-49",65
,"Suffolk County, NY","36103","50 years and over","50+",Suppressed
,"Tompkins County, NY","36109","Under 15 years","15",Suppressed
,"Tompkins County, NY","36109","15-19 years","15-19",23
,"Tompkins County, NY","36109","20-24 years","20-24",76
,"Tompkins County, NY","36109","25-29 years","25-29",168
,"Tompkins County, NY","36109","30-34 years","30-34",216
,"Tompkins County, NY","36109","35-39 years","35-39",178
,"Tompkins County, NY","36109","40-44 years","40-44",31
,"Tompkins County, NY","36109","45-49 years","45-49",Suppressed
,"Tompkins County, NY","36109","50 years and over","50+",0
,"Ulster County, NY","36111","Under 15 years","15",0
,"Ulster County, NY","36111","15-19 years","15-19",36
,"Ulster County, NY","36111","20-24 years","20-24",204
,"Ulster County, NY","36111","25-29 years","25-29",392
,"Ulster County, NY","36111","30-34 years","30-34",563
,"Ulster County, NY","36111","35-39 years","35-39",287
,"Ulster County, NY","36111","40-44 years","40-44",83
,"Ulster County, NY","36111","45-49 years","45-49",Suppressed
,"Ulster County, NY","36111","50 years and over","50+",Suppressed
,"Westchester County, NY","36119","Under 15 years","15",Suppressed
,"Westchester County, NY","36119","15-19 years","15-19",178
,"Westchester County, NY","36119","20-24 years","20-24",762
,"Westchester County, NY","36119","25-29 years","25-29",1766
,"Westchester County, NY","36119","30-34 years","30-34",3707
,"Westchester County, NY","36119","35-39 years","35-39",2823
,"Westchester County, NY","36119","40-44 years","40-44",736
,"Westchester County, NY","36119","45-49 years","45-49",54
,"Westchester County, NY","36119","50 years and over","50+",Suppressed
,"Unidentified Counties, NY","36999","Under 15 years","15",Suppressed
,"Unidentified Counties, NY","36999","15-19 years","15-19",634
,"Unidentified Counties, NY","36999","20-24 years","20-24",3417
