"Notes","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code",Births
,"Alabama","01","Vaginal","1",37652
,"Alabama","01","Cesarean","2",20398
,"Alabama","01","Unknown or Not Stated","9",Suppressed
,"Alaska","02","Vaginal","1",7095
,"Alaska","02","Cesarean","2",2264
,"Alaska","02","Unknown or Not Stated","9",Suppressed
,"Arizona","04","Vaginal","1",55545
,"Arizona","04","Cesarean","2",22368
,"Arizona","04","Unknown or Not Stated","9",Suppressed
,"Arkansas","05","Vaginal","1",23622
,"Arkansas","05","Cesarean","2",12339
,"Arkansas","05","Unknown or Not Stated","9",Suppressed
,"California","06","Vaginal","1",291206
,"California","06","Cesarean","2",129401
,"California","06","Unknown or Not Stated","9",Suppressed
,"Colorado","08","Vaginal","1",45735
,"Colorado","08","Cesarean","2",17211
,"Colorado","08","Unknown or Not Stated","9",Suppressed
,"Connecticut","09","Vaginal","1",23052
,"Connecticut","09","Cesarean","2",12613
,"Connecticut","09","Unknown or Not Stated","9",Suppressed
,"Delaware","10","Vaginal","1",7133
,"Delaware","10","Cesarean","2",3335
,"Delaware","10","Unknown or Not Stated","9",14
,"District of Columbia","11","Vaginal","1",5963
,"District of Columbia","11","Cesarean","2",2696
,"District of Columbia","11","Unknown or Not Stated","9",Suppressed
,"Florida","12","Vaginal","1",138616
,"Florida","12","Cesarean","2",77295
,"Florida","12","Unknown or Not Stated","9",349
,"Georgia","13","Vaginal","1",80535
,"Georgia","13","Cesarean","2",43474
,"Georgia","13","Unknown or Not Stated","9",64
,"Hawaii","15","Vaginal","1",11297
,"Hawaii","15","Cesarean","2",4322
,"Hawaii","15","Unknown or Not Stated","9",Suppressed
,"Idaho","16","Vaginal","1",17011
,"Idaho","16","Cesarean","2",5408
,"Idaho","16","Unknown or Not Stated","9",Suppressed
,"Illinois","17","Vaginal","1",90949
,"Illinois","17","Cesarean","2",41199
,"Illinois","17","Unknown or Not Stated","9",41
,"Indiana","18","Vaginal","1",55669
,"Indiana","18","Cesarean","2",24272
,"Indiana","18","Unknown or Not Stated","9",Suppressed
,"Iowa","19","Vaginal","1",25893
,"Iowa","19","Cesarean","2",10938
,"Iowa","19","Unknown or Not Stated","9",Suppressed
,"Kansas","20","Vaginal","1",24429
,"Kansas","20","Cesarean","2",10269
,"Kansas","20","Unknown or Not Stated","9",Suppressed
,"Kentucky","21","Vaginal","1",34061
,"Kentucky","21","Cesarean","2",18126
,"Kentucky","21","Unknown or Not Stated","9",27
,"Louisiana","22","Vaginal","1",36116
,"Louisiana","22","Cesarean","2",21319
,"Louisiana","22","Unknown or Not Stated","9",Suppressed
,"Maine","23","Vaginal","1",8296
,"Maine","23","Cesarean","2",3704
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Vaginal","1",44834
,"Maryland","24","Cesarean","2",23441
,"Maryland","24","Unknown or Not Stated","9",10
,"Massachusetts","25","Vaginal","1",46679
,"Massachusetts","25","Cesarean","2",21757
,"Massachusetts","25","Unknown or Not Stated","9",701
,"Michigan","26","Vaginal","1",70010
,"Michigan","26","Cesarean","2",34846
,"Michigan","26","Unknown or Not Stated","9",124
,"Minnesota","27","Vaginal","1",45745
,"Minnesota","27","Cesarean","2",18629
,"Minnesota","27","Unknown or Not Stated","9",51
,"Mississippi","28","Vaginal","1",21633
,"Mississippi","28","Cesarean","2",13522
,"Mississippi","28","Unknown or Not Stated","9",Suppressed
,"Missouri","29","Vaginal","1",48370
,"Missouri","29","Cesarean","2",20912
,"Missouri","29","Unknown or Not Stated","9",171
,"Montana","30","Vaginal","1",8109
,"Montana","30","Cesarean","2",3116
,"Montana","30","Unknown or Not Stated","9",Suppressed
,"Nebraska","31","Vaginal","1",17572
,"Nebraska","31","Cesarean","2",7036
,"Nebraska","31","Unknown or Not Stated","9",Suppressed
,"Nevada","32","Vaginal","1",22614
,"Nevada","32","Cesarean","2",11070
,"Nevada","32","Unknown or Not Stated","9",Suppressed
,"New Hampshire","33","Vaginal","1",8497
,"New Hampshire","33","Cesarean","2",4126
,"New Hampshire","33","Unknown or Not Stated","9",Suppressed
,"New Jersey","34","Vaginal","1",68537
,"New Jersey","34","Cesarean","2",32942
,"New Jersey","34","Unknown or Not Stated","9",18
,"New Mexico","35","Vaginal","1",15555
,"New Mexico","35","Cesarean","2",5836
,"New Mexico","35","Unknown or Not Stated","9",0
,"New York","36","Vaginal","1",138519
,"New York","36","Cesarean","2",71807
,"New York","36","Unknown or Not Stated","9",416
,"North Carolina","37","Vaginal","1",83936
,"North Carolina","37","Cesarean","2",36453
,"North Carolina","37","Unknown or Not Stated","9",77
,"North Dakota","38","Vaginal","1",7457
,"North Dakota","38","Cesarean","2",2655
,"North Dakota","38","Unknown or Not Stated","9",0
,"Ohio","39","Vaginal","1",88914
,"Ohio","39","Cesarean","2",40802
,"Ohio","39","Unknown or Not Stated","9",75
,"Oklahoma","40","Vaginal","1",32677
,"Oklahoma","40","Cesarean","2",15715
,"Oklahoma","40","Unknown or Not Stated","9",18
,"Oregon","41","Vaginal","1",28989
,"Oregon","41","Cesarean","2",11925
,"Oregon","41","Unknown or Not Stated","9",0
,"Pennsylvania","42","Vaginal","1",91689
,"Pennsylvania","42","Cesarean","2",40880
,"Pennsylvania","42","Unknown or Not Stated","9",53
