"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Adams County, PA","42001","Female","F",465
,"Adams County, PA","42001","Male","M",489
,"Allegheny County, PA","42003","Female","F",5983
,"Allegheny County, PA","42003","Male","M",6424
,"Beaver County, PA","42007","Female","F",726
,"Beaver County, PA","42007","Male","M",777
,"Berks County, PA","42011","Female","F",2238
,"Berks County, PA","42011","Male","M",2356
,"Blair County, PA","42013","Female","F",554
,"Blair County, PA","42013","Male","M",583
,"Bucks County, PA","42017","Female","F",2869
,"Bucks County, PA","42017","Male","M",2939
,"Butler County, PA","42019","Female","F",820
,"Butler County, PA","42019","Male","M",851
,"Cambria County, PA","42021","Female","F",551
,"Cambria County, PA","42021","Male","M",588
,"Centre County, PA","42027","Female","F",579
,"Centre County, PA","42027","Male","M",546
,"Chester County, PA","42029","Female","F",2763
,"Chester County, PA","42029","Male","M",2912
,"Cumberland County, PA","42041","Female","F",1305
,"Cumberland County, PA","42041","Male","M",1376
,"Dauphin County, PA","42043","Female","F",1642
,"Dauphin County, PA","42043","Male","M",1696
,"Delaware County, PA","42045","Female","F",3156
,"Delaware County, PA","42045","Male","M",3267
,"Erie County, PA","42049","Female","F",1349
,"Erie County, PA","42049","Male","M",1412
,"Fayette County, PA","42051","Female","F",556
,"Fayette County, PA","42051","Male","M",622
,"Franklin County, PA","42055","Female","F",817
,"Franklin County, PA","42055","Male","M",896
,"Lackawanna County, PA","42069","Female","F",1025
,"Lackawanna County, PA","42069","Male","M",1091
,"Lancaster County, PA","42071","Female","F",3422
,"Lancaster County, PA","42071","Male","M",3626
,"Lebanon County, PA","42075","Female","F",787
,"Lebanon County, PA","42075","Male","M",799
,"Lehigh County, PA","42077","Female","F",1945
,"Lehigh County, PA","42077","Male","M",2040
,"Luzerne County, PA","42079","Female","F",1537
,"Luzerne County, PA","42079","Male","M",1663
,"Lycoming County, PA","42081","Female","F",561
,"Lycoming County, PA","42081","Male","M",565
,"Mercer County, PA","42085","Female","F",509
,"Mercer County, PA","42085","Male","M",534
,"Monroe County, PA","42089","Female","F",643
,"Monroe County, PA","42089","Male","M",725
,"Montgomery County, PA","42091","Female","F",4220
,"Montgomery County, PA","42091","Male","M",4531
,"Northampton County, PA","42095","Female","F",1348
,"Northampton County, PA","42095","Male","M",1456
,"Philadelphia County, PA","42101","Female","F",9379
,"Philadelphia County, PA","42101","Male","M",9920
,"Schuylkill County, PA","42107","Female","F",574
,"Schuylkill County, PA","42107","Male","M",627
,"Washington County, PA","42125","Female","F",919
,"Washington County, PA","42125","Male","M",1036
,"Westmoreland County, PA","42129","Female","F",1383
,"Westmoreland County, PA","42129","Male","M",1476
,"York County, PA","42133","Female","F",2368
,"York County, PA","42133","Male","M",2499
,"Unidentified Counties, PA","42999","Female","F",7378
,"Unidentified Counties, PA","42999","Male","M",7929
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Pennsylvania (42)"
"Year: 2021"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 1:46:15 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 1:46:15 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
