"Notes","State of Residence","State of Residence Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"Alabama","01","499 grams or less","01",106
,"Alabama","01","500 - 999 grams","02",409
,"Alabama","01","1000 - 1499 grams","03",546
,"Alabama","01","1500 - 1999 grams","04",1239
,"Alabama","01","2000 - 2499 grams","05",3753
,"Alabama","01","2500 - 2999 grams","06",12484
,"Alabama","01","3000 - 3499 grams","07",22421
,"Alabama","01","3500 - 3999 grams","08",13565
,"Alabama","01","4000 - 4499 grams","09",3086
,"Alabama","01","4500 - 4999 grams","10",377
,"Alabama","01","5000 - 8165 grams","11",44
,"Alabama","01","Unknown or Not Stated","12",24
,"Alaska","02","499 grams or less","01",11
,"Alaska","02","500 - 999 grams","02",49
,"Alaska","02","1000 - 1499 grams","03",60
,"Alaska","02","1500 - 1999 grams","04",129
,"Alaska","02","2000 - 2499 grams","05",398
,"Alaska","02","2500 - 2999 grams","06",1367
,"Alaska","02","3000 - 3499 grams","07",3299
,"Alaska","02","3500 - 3999 grams","08",2892
,"Alaska","02","4000 - 4499 grams","09",970
,"Alaska","02","4500 - 4999 grams","10",156
,"Alaska","02","5000 - 8165 grams","11",23
,"Alaska","02","Unknown or Not Stated","12",13
,"Arizona","04","499 grams or less","01",95
,"Arizona","04","500 - 999 grams","02",359
,"Arizona","04","1000 - 1499 grams","03",508
,"Arizona","04","1500 - 1999 grams","04",1199
,"Arizona","04","2000 - 2499 grams","05",3971
,"Arizona","04","2500 - 2999 grams","06",14416
,"Arizona","04","3000 - 3499 grams","07",30907
,"Arizona","04","3500 - 3999 grams","08",20552
,"Arizona","04","4000 - 4499 grams","09",5057
,"Arizona","04","4500 - 4999 grams","10",692
,"Arizona","04","5000 - 8165 grams","11",83
,"Arizona","04","Unknown or Not Stated","12",77
,"Arkansas","05","499 grams or less","01",50
,"Arkansas","05","500 - 999 grams","02",232
,"Arkansas","05","1000 - 1499 grams","03",336
,"Arkansas","05","1500 - 1999 grams","04",624
,"Arkansas","05","2000 - 2499 grams","05",2180
,"Arkansas","05","2500 - 2999 grams","06",7286
,"Arkansas","05","3000 - 3499 grams","07",14070
,"Arkansas","05","3500 - 3999 grams","08",8736
,"Arkansas","05","4000 - 4499 grams","09",2067
,"Arkansas","05","4500 - 4999 grams","10",311
,"Arkansas","05","5000 - 8165 grams","11",37
,"Arkansas","05","Unknown or Not Stated","12",36
,"California","06","499 grams or less","01",389
,"California","06","500 - 999 grams","02",1707
,"California","06","1000 - 1499 grams","03",2665
,"California","06","1500 - 1999 grams","04",6104
,"California","06","2000 - 2499 grams","05",19740
,"California","06","2500 - 2999 grams","06",78353
,"California","06","3000 - 3499 grams","07",166198
,"California","06","3500 - 3999 grams","08",112158
,"California","06","4000 - 4499 grams","09",28669
,"California","06","4500 - 4999 grams","10",3993
,"California","06","5000 - 8165 grams","11",530
,"California","06","Unknown or Not Stated","12",102
,"Colorado","08","499 grams or less","01",59
,"Colorado","08","500 - 999 grams","02",214
,"Colorado","08","1000 - 1499 grams","03",381
,"Colorado","08","1500 - 1999 grams","04",1080
,"Colorado","08","2000 - 2499 grams","05",4205
,"Colorado","08","2500 - 2999 grams","06",14263
,"Colorado","08","3000 - 3499 grams","07",25931
,"Colorado","08","3500 - 3999 grams","08",13664
,"Colorado","08","4000 - 4499 grams","09",2585
,"Colorado","08","4500 - 4999 grams","10",263
,"Colorado","08","5000 - 8165 grams","11",33
,"Colorado","08","Unknown or Not Stated","12",271
,"Connecticut","09","499 grams or less","01",50
,"Connecticut","09","500 - 999 grams","02",172
,"Connecticut","09","1000 - 1499 grams","03",266
,"Connecticut","09","1500 - 1999 grams","04",620
,"Connecticut","09","2000 - 2499 grams","05",1798
,"Connecticut","09","2500 - 2999 grams","06",6388
,"Connecticut","09","3000 - 3499 grams","07",13666
,"Connecticut","09","3500 - 3999 grams","08",9809
,"Connecticut","09","4000 - 4499 grams","09",2491
,"Connecticut","09","4500 - 4999 grams","10",366
,"Connecticut","09","5000 - 8165 grams","11",33
,"Connecticut","09","Unknown or Not Stated","12",11
,"Delaware","10","499 grams or less","01",18
,"Delaware","10","500 - 999 grams","02",43
,"Delaware","10","1000 - 1499 grams","03",102
,"Delaware","10","1500 - 1999 grams","04",207
,"Delaware","10","2000 - 2499 grams","05",582
,"Delaware","10","2500 - 2999 grams","06",2169
,"Delaware","10","3000 - 3499 grams","07",3899
,"Delaware","10","3500 - 3999 grams","08",2725
,"Delaware","10","4000 - 4499 grams","09",652
,"Delaware","10","4500 - 4999 grams","10",77
,"Delaware","10","5000 - 8165 grams","11",Suppressed
,"Delaware","10","Unknown or Not Stated","12",Suppressed
,"District of Columbia","11","499 grams or less","01",18
,"District of Columbia","11","500 - 999 grams","02",47
,"District of Columbia","11","1000 - 1499 grams","03",80
,"District of Columbia","11","1500 - 1999 grams","04",152
,"District of Columbia","11","2000 - 2499 grams","05",532
,"District of Columbia","11","2500 - 2999 grams","06",1829
,"District of Columbia","11","3000 - 3499 grams","07",3341
,"District of Columbia","11","3500 - 3999 grams","08",2113
,"District of Columbia","11","4000 - 4499 grams","09",486
,"District of Columbia","11","4500 - 4999 grams","10",56
,"District of Columbia","11","5000 - 8165 grams","11",Suppressed
,"District of Columbia","11","Unknown or Not Stated","12",Suppressed
,"Florida","12","499 grams or less","01",328
,"Florida","12","500 - 999 grams","02",1333
,"Florida","12","1000 - 1499 grams","03",1738
,"Florida","12","1500 - 1999 grams","04",3868
,"Florida","12","2000 - 2499 grams","05",12193
,"Florida","12","2500 - 2999 grams","06",43411
,"Florida","12","3000 - 3499 grams","07",85027
,"Florida","12","3500 - 3999 grams","08",53630
,"Florida","12","4000 - 4499 grams","09",12825
,"Florida","12","4500 - 4999 grams","10",1639
,"Florida","12","5000 - 8165 grams","11",178
,"Florida","12","Unknown or Not Stated","12",90
,"Georgia","13","499 grams or less","01",215
,"Georgia","13","500 - 999 grams","02",872
,"Georgia","13","1000 - 1499 grams","03",1195
,"Georgia","13","1500 - 1999 grams","04",2585
,"Georgia","13","2000 - 2499 grams","05",8273
,"Georgia","13","2500 - 2999 grams","06",26275
,"Georgia","13","3000 - 3499 grams","07",48021
,"Georgia","13","3500 - 3999 grams","08",28902
,"Georgia","13","4000 - 4499 grams","09",6703
,"Georgia","13","4500 - 4999 grams","10",858
,"Georgia","13","5000 - 8165 grams","11",108
,"Georgia","13","Unknown or Not Stated","12",66
,"Hawaii","15","499 grams or less","01",11
,"Hawaii","15","500 - 999 grams","02",68
,"Hawaii","15","1000 - 1499 grams","03",122
,"Hawaii","15","1500 - 1999 grams","04",258
,"Hawaii","15","2000 - 2499 grams","05",922
,"Hawaii","15","2500 - 2999 grams","06",3331
,"Hawaii","15","3000 - 3499 grams","07",6025
,"Hawaii","15","3500 - 3999 grams","08",3820
,"Hawaii","15","4000 - 4499 grams","09",905
,"Hawaii","15","4500 - 4999 grams","10",130
,"Hawaii","15","5000 - 8165 grams","11",15
,"Hawaii","15","Unknown or Not Stated","12",13
,"Idaho","16","499 grams or less","01",24
,"Idaho","16","500 - 999 grams","02",87
,"Idaho","16","1000 - 1499 grams","03",119
,"Idaho","16","1500 - 1999 grams","04",282
,"Idaho","16","2000 - 2499 grams","05",982
,"Idaho","16","2500 - 2999 grams","06",3972
,"Idaho","16","3000 - 3499 grams","07",8950
,"Idaho","16","3500 - 3999 grams","08",6226
,"Idaho","16","4000 - 4499 grams","09",1548
,"Idaho","16","4500 - 4999 grams","10",205
