"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Blount County, TN","47009","Under 15 years","15",0
,"Blount County, TN","47009","15-19 years","15-19",79
,"Blount County, TN","47009","20-24 years","20-24",278
,"Blount County, TN","47009","25-29 years","25-29",401
,"Blount County, TN","47009","30-34 years","30-34",380
,"Blount County, TN","47009","35-39 years","35-39",135
,"Blount County, TN","47009","40-44 years","40-44",27
,"Blount County, TN","47009","45-49 years","45-49",Suppressed
,"Blount County, TN","47009","50 years and over","50+",0
,"Davidson County, TN","47037","Under 15 years","15",12
,"Davidson County, TN","47037","15-19 years","15-19",453
,"Davidson County, TN","47037","20-24 years","20-24",1574
,"Davidson County, TN","47037","25-29 years","25-29",2522
,"Davidson County, TN","47037","30-34 years","30-34",3349
,"Davidson County, TN","47037","35-39 years","35-39",1721
,"Davidson County, TN","47037","40-44 years","40-44",340
,"Davidson County, TN","47037","45-49 years","45-49",27
,"Davidson County, TN","47037","50 years and over","50+",0
,"Hamilton County, TN","47065","Under 15 years","15",Suppressed
,"Hamilton County, TN","47065","15-19 years","15-19",216
,"Hamilton County, TN","47065","20-24 years","20-24",876
,"Hamilton County, TN","47065","25-29 years","25-29",1332
,"Hamilton County, TN","47065","30-34 years","30-34",1429
,"Hamilton County, TN","47065","35-39 years","35-39",597
,"Hamilton County, TN","47065","40-44 years","40-44",106
,"Hamilton County, TN","47065","45-49 years","45-49",Suppressed
,"Hamilton County, TN","47065","50 years and over","50+",0
,"Knox County, TN","47093","Under 15 years","15",0
,"Knox County, TN","47093","15-19 years","15-19",226
,"Knox County, TN","47093","20-24 years","20-24",976
,"Knox County, TN","47093","25-29 years","25-29",1614
,"Knox County, TN","47093","30-34 years","30-34",1647
,"Knox County, TN","47093","35-39 years","35-39",774
,"Knox County, TN","47093","40-44 years","40-44",145
,"Knox County, TN","47093","45-49 years","45-49",Suppressed
,"Knox County, TN","47093","50 years and over","50+",Suppressed
,"Montgomery County, TN","47125","Under 15 years","15",0
,"Montgomery County, TN","47125","15-19 years","15-19",176
,"Montgomery County, TN","47125","20-24 years","20-24",1060
,"Montgomery County, TN","47125","25-29 years","25-29",1203
,"Montgomery County, TN","47125","30-34 years","30-34",834
,"Montgomery County, TN","47125","35-39 years","35-39",316
,"Montgomery County, TN","47125","40-44 years","40-44",47
,"Montgomery County, TN","47125","45-49 years","45-49",Suppressed
,"Montgomery County, TN","47125","50 years and over","50+",Suppressed
,"Rutherford County, TN","47149","Under 15 years","15",Suppressed
,"Rutherford County, TN","47149","15-19 years","15-19",198
,"Rutherford County, TN","47149","20-24 years","20-24",775
,"Rutherford County, TN","47149","25-29 years","25-29",1327
,"Rutherford County, TN","47149","30-34 years","30-34",1229
,"Rutherford County, TN","47149","35-39 years","35-39",606
,"Rutherford County, TN","47149","40-44 years","40-44",132
,"Rutherford County, TN","47149","45-49 years","45-49",Suppressed
,"Rutherford County, TN","47149","50 years and over","50+",Suppressed
,"Shelby County, TN","47157","Under 15 years","15",15
,"Shelby County, TN","47157","15-19 years","15-19",844
,"Shelby County, TN","47157","20-24 years","20-24",2877
,"Shelby County, TN","47157","25-29 years","25-29",3594
,"Shelby County, TN","47157","30-34 years","30-34",3225
,"Shelby County, TN","47157","35-39 years","35-39",1503
,"Shelby County, TN","47157","40-44 years","40-44",363
,"Shelby County, TN","47157","45-49 years","45-49",17
,"Shelby County, TN","47157","50 years and over","50+",Suppressed
,"Sullivan County, TN","47163","Under 15 years","15",Suppressed
,"Sullivan County, TN","47163","15-19 years","15-19",93
,"Sullivan County, TN","47163","20-24 years","20-24",387
,"Sullivan County, TN","47163","25-29 years","25-29",490
,"Sullivan County, TN","47163","30-34 years","30-34",366
,"Sullivan County, TN","47163","35-39 years","35-39",124
,"Sullivan County, TN","47163","40-44 years","40-44",27
,"Sullivan County, TN","47163","45-49 years","45-49",0
,"Sullivan County, TN","47163","50 years and over","50+",0
,"Sumner County, TN","47165","Under 15 years","15",Suppressed
,"Sumner County, TN","47165","15-19 years","15-19",102
,"Sumner County, TN","47165","20-24 years","20-24",420
,"Sumner County, TN","47165","25-29 years","25-29",697
,"Sumner County, TN","47165","30-34 years","30-34",658
,"Sumner County, TN","47165","35-39 years","35-39",295
,"Sumner County, TN","47165","40-44 years","40-44",44
