Starting Column,Variable Name,Field Length
1,_STATE,2
17,FMONTH,2
19,IDATE,8
19,IMONTH,2
21,IDAY,2
23,IYEAR,4
32,DISPCODE,4
36,SEQNO,10
36,_PSU,10
63,CTELENM1,1
64,PVTRESD1,1
65,COLGHOUS,1
66,STATERE1,1
67,CELPHON1,1
68,LADULT1,1
69,NUMADULT,2
71,RESPSLC1,1
72,LANDSEX3,1
74,SAFETIME,1
75,CTELNUM1,1
76,CELLFON5,1
77,CADULT1,1
78,CELLSEX3,1
80,PVTRESD3,1
81,CCLGHOUS,1
82,CSTATE1,1
85,LANDLINE,1
86,HHADULT,2
88,SEXVAR,1
101,GENHLTH,1
102,PHYSHLTH,2
104,MENTHLTH,2
106,POORHLTH,2
108,PRIMINS2,2
110,PERSDOC3,1
111,MEDCOST1,1
112,CHECKUP1,1
113,EXERANY2,1
116,LASTDEN4,1
117,RMVTETH4,1
138,CVDINFR4,1
139,CVDCRHD4,1
140,CVDSTRK3,1
141,ASTHMA3,1
142,ASTHNOW,1
143,CHCSCNC1,1
144,CHCOCNC1,1
145,CHCCOPD3,1
146,ADDEPEV3,1
147,CHCKDNY2,1
148,HAVARTH4,1
149,DIABETE4,1
150,DIABAGE4,2
186,MARITAL,1
187,EDUCA,1
188,RENTHOM1,1
197,NUMHHOL4,1
198,NUMPHON4,1
199,CPDEMO1C,1
200,VETERAN3,1
201,EMPLOY1,1
202,CHILDREN,2
204,INCOME3,2
206,PREGNANT,1
207,WEIGHT2,4
211,HEIGHT3,4
215,DEAF,1
216,BLIND,1
217,DECIDE,1
218,DIFFWALK,1
219,DIFFDRES,1
220,DIFFALON,1
221,HADMAM,1
222,HOWLONG,1
223,CERVSCRN,1
224,CRVCLCNC,1
225,CRVCLPAP,1
226,CRVCLHPV,1
227,HADHYST2,1
228,HADSIGM4,1
229,COLNSIGM,1
230,COLNTES1,1
231,SIGMTES1,1
232,LASTSIG4,1
233,COLNCNCR,1
234,VIRCOLO1,1
235,VCLNTES2,1
236,SMALSTOL,1
237,STOLTEST,1
238,STOOLDN2,1
239,BLDSTFIT,1
240,SDNATES1,1
241,SMOKE100,1
242,SMOKDAY2,1
243,USENOW3,1
244,ECIGNOW3,1
245,LCSFIRST,3
248,LCSLAST,3
251,LCSNUMCG,3
254,LCSCTSC1,1
255,LCSSCNCR,1
256,LCSCTWHN,1
257,ALCDAY4,3
260,AVEDRNK4,2
262,DRNK3GE5,2
264,MAXDRNKS,2
266,FLUSHOT7,1
267,FLSHTMY3,6
273,IMFVPLA5,2
275,PNEUVAC4,1
276,HIVTST7,1
277,HIVTSTD3,6
283,HIVRISK5,1
284,PDIABTS1,1
285,PREDIAB2,1
286,DIABTYPE,1
287,INSULIN1,1
288,CHKHEMO3,2
290,EYEEXAM1,1
291,DIABEYE1,1
292,DIABEDU1,1
293,FEETSORE,1
294,ARTHEXER,1
295,SHINGLE2,1
296,HPVADVC4,1
297,HPVADSH1,1
298,TETANUS1,1
299,CNCRDIFF,1
300,CNCRAGE,2
302,CNCRTYP2,2
304,CSRVTRT3,1
305,CSRVDOC1,2
307,CSRVSUM,1
308,CSRVRTRN,1
309,CSRVINST,1
310,CSRVINSR,1
311,CSRVDEIN,1
312,CSRVCLIN,1
313,CSRVPAIN,1
314,CSRVCTL2,1
315,PSATEST1,1
316,PSATIME1,1
317,PCPSARS2,1
318,PSASUGS1,1
319,PCSTALK2,1
320,CIMEMLO1,1
321,CDWORRY,1
322,CDDISCU1,1
323,CDHOUS1,1
324,CDSOCIA1,1
325,CAREGIV1,1
326,CRGVREL5,2
328,CRGVPRB4,2
330,CRGVALZD,1
331,CRGVNURS,1
332,CRGVPER2,1
333,CRGVHOU2,1
334,CRGVHRS2,1
335,CRGVLNG2,1
336,ACEDEPRS,1
337,ACEDRINK,1
338,ACEDRUGS,1
339,ACEPRISN,1
340,ACEDIVRC,1
341,ACEPUNCH,1
342,ACEHURT1,1
343,ACESWEAR,1
344,ACETOUCH,1
345,ACETTHEM,1
346,ACEHVSEX,1
347,ACEADSAF,1
348,ACEADNED,1
349,LSATISFY,1
350,EMTSUPRT,1
351,SDLONELY,1
352,SDHEMPLY,1
353,FOODSTMP,1
354,SDHFOOD1,1
355,SDHBILLS,1
356,SDHUTILS,1
357,SDHTRNSP,1
358,HOWSAFE1,1
359,MARIJAN1,2
361,MARJSMOK,1
362,MARJEAT,1
363,MARJVAPE,1
364,MARJDAB,1
365,MARJOTHR,1
366,USEMRJN4,1
367,LASTSMK2,2
369,STOPSMK2,1
370,MENTCIGS,1
371,MENTECIG,1
372,HEATTBCO,1
373,SSBSUGR2,3
376,SSBFRUT3,3
379,FIREARM5,1
380,GUNLOAD,1
381,LOADULK2,1
588,RCSBORG1,1
622,RCSRLTN2,1
623,CASTHDX2,1
624,CASTHNO2,1
626,SOMALE,1
627,SOFEMALE,1
629,HADSEX,1
630,PFPPRVN4,1
631,TYPCNTR9,2
633,NOBCUSE8,2
646,QSTVER,2
648,QSTLANG,2
801,HPVDSHT,2
803,ICFQSTVR,1
1402,_METSTAT,1
1403,_URBSTAT,1
1409,MSCODE,1
1410,_STSTR,6
1416,_STRWT,10
1446,_RAWRAKE,10
1456,_WT2RAKE,10
1471,_IMPRACE,2
1482,_CHISPNC,1
1539,_CRACE1,2
1567,CAGEG,1
1583,_CLLCPWT,10
1680,_DUALUSE,1
1681,_DUALCOR,10
1691,_LLCPWT2,10
1749,_LLCPWT,10
1897,_RFHLTH,1
1898,_PHYS14D,1
1899,_MENT14D,1
1900,_HLTHPL2,1
1901,_HCVU654,1
1902,_TOTINDA,1
1903,_EXTETH3,1
1904,_ALTETH3,1
1905,_DENVST3,1
1906,_MICHD,1
1907,_LTASTH1,1
1908,_CASTHM1,1
1909,_ASTHMS1,1
1910,_DRDXAR2,1
1967,_MRACE1,2
1971,_HISPANC,1
1972,_RACE,1
1973,_RACEG21,1
1974,_RACEGR3,1
1975,_RACEPRV,1
1976,_SEX,1
1977,_AGEG5YR,2
1979,_AGE65YR,1
1980,_AGE80,2
1982,_AGE_G,1
1983,HTIN4,3
1986,HTM4,3
1989,WTKG3,5
1994,_BMI5,4
1998,_BMI5CAT,1
1999,_RFBMI5,1
2000,_CHLDCNT,1
2001,_EDUCAG,1
2002,_INCOMG1,1
2003,_RFMAM23,1
2004,_MAM402Y,1
2005,_CRVSCRN,1
2006,_RFPAP37,1
2007,_HPV5YR1,1
2008,_PAPHPV1,1
2009,_HADCOLN,1
2010,_CLNSCP2,1
2011,_HADSIGM,1
2012,_SGMSCP2,1
2013,_SGMS102,1
2014,_RFBLDS6,1
2015,_STOLDN2,1
2016,_VIRCOL2,1
2017,_SBONTI2,1
2018,_CRCREC3,1
2019,_SMOKER3,1
2020,_RFSMOK3,1
2021,_CURECI3,1
2022,LCSFIRS_,3
2025,LCSLAST_,3
2028,LCSNUMC_,3
2031,_LCSAGE,2
2033,_LCSYSMK,2
2035,_PACKDAY,4
2039,_PACKYRS,4
2043,_LCSYQTS,3
2046,_LCSSMKG,1
2047,_LCSELIG,1
2048,_LCSCTSN,1
2049,DRNKANY6,1
2050,DROCDY4_,3
2053,_RFBING6,1
2054,_DRNKWK3,5
2059,_RFDRHV9,1
2060,_FLSHOT7,1
2061,_PNEUMO3,1
2062,_AIDTST4,1
