"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Cochise County, AZ","04003","Female","F",622
,"Cochise County, AZ","04003","Male","M",615
,"Coconino County, AZ","04005","Female","F",641
,"Coconino County, AZ","04005","Male","M",677
,"Maricopa County, AZ","04013","Female","F",24760
,"Maricopa County, AZ","04013","Male","M",25946
,"Mohave County, AZ","04015","Female","F",835
,"Mohave County, AZ","04015","Male","M",894
,"Navajo County, AZ","04017","Female","F",601
,"Navajo County, AZ","04017","Male","M",629
,"Pima County, AZ","04019","Female","F",4863
,"Pima County, AZ","04019","Male","M",5134
,"Pinal County, AZ","04021","Female","F",2575
,"Pinal County, AZ","04021","Male","M",2558
,"Yavapai County, AZ","04025","Female","F",876
,"Yavapai County, AZ","04025","Male","M",918
,"Yuma County, AZ","04027","Female","F",1467
,"Yuma County, AZ","04027","Male","M",1430
,"Unidentified Counties, AZ","04999","Female","F",1258
,"Unidentified Counties, AZ","04999","Male","M",1248
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Arizona (04)"
"Year: 2022"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 4:48:40 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 4:48:40 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
