"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Adams County, PA","42001","Hispanic or Latino","2135-2",126
,"Adams County, PA","42001","Not Hispanic or Latino","2186-5",806
,"Adams County, PA","42001","Unknown or Not Stated","9",Suppressed
,"Allegheny County, PA","42003","Hispanic or Latino","2135-2",493
,"Allegheny County, PA","42003","Not Hispanic or Latino","2186-5",11164
,"Allegheny County, PA","42003","Unknown or Not Stated","9",167
,"Beaver County, PA","42007","Hispanic or Latino","2135-2",63
,"Beaver County, PA","42007","Not Hispanic or Latino","2186-5",1443
,"Beaver County, PA","42007","Unknown or Not Stated","9",12
,"Berks County, PA","42011","Hispanic or Latino","2135-2",1800
,"Berks County, PA","42011","Not Hispanic or Latino","2186-5",2750
,"Berks County, PA","42011","Unknown or Not Stated","9",34
,"Blair County, PA","42013","Hispanic or Latino","2135-2",25
,"Blair County, PA","42013","Not Hispanic or Latino","2186-5",1156
,"Blair County, PA","42013","Unknown or Not Stated","9",Suppressed
,"Bucks County, PA","42017","Hispanic or Latino","2135-2",534
,"Bucks County, PA","42017","Not Hispanic or Latino","2186-5",5012
,"Bucks County, PA","42017","Unknown or Not Stated","9",58
,"Butler County, PA","42019","Hispanic or Latino","2135-2",53
,"Butler County, PA","42019","Not Hispanic or Latino","2186-5",1625
,"Butler County, PA","42019","Unknown or Not Stated","9",20
,"Cambria County, PA","42021","Hispanic or Latino","2135-2",34
,"Cambria County, PA","42021","Not Hispanic or Latino","2186-5",1156
,"Cambria County, PA","42021","Unknown or Not Stated","9",Suppressed
,"Centre County, PA","42027","Hispanic or Latino","2135-2",35
,"Centre County, PA","42027","Not Hispanic or Latino","2186-5",1071
,"Centre County, PA","42027","Unknown or Not Stated","9",13
,"Chester County, PA","42029","Hispanic or Latino","2135-2",760
,"Chester County, PA","42029","Not Hispanic or Latino","2186-5",4829
,"Chester County, PA","42029","Unknown or Not Stated","9",21
,"Cumberland County, PA","42041","Hispanic or Latino","2135-2",216
,"Cumberland County, PA","42041","Not Hispanic or Latino","2186-5",2464
,"Cumberland County, PA","42041","Unknown or Not Stated","9",23
,"Dauphin County, PA","42043","Hispanic or Latino","2135-2",631
,"Dauphin County, PA","42043","Not Hispanic or Latino","2186-5",2616
,"Dauphin County, PA","42043","Unknown or Not Stated","9",30
,"Delaware County, PA","42045","Hispanic or Latino","2135-2",552
,"Delaware County, PA","42045","Not Hispanic or Latino","2186-5",5818
,"Delaware County, PA","42045","Unknown or Not Stated","9",117
,"Erie County, PA","42049","Hispanic or Latino","2135-2",191
,"Erie County, PA","42049","Not Hispanic or Latino","2186-5",2455
,"Erie County, PA","42049","Unknown or Not Stated","9",Suppressed
,"Fayette County, PA","42051","Hispanic or Latino","2135-2",24
,"Fayette County, PA","42051","Not Hispanic or Latino","2186-5",1093
,"Fayette County, PA","42051","Unknown or Not Stated","9",12
,"Franklin County, PA","42055","Hispanic or Latino","2135-2",233
,"Franklin County, PA","42055","Not Hispanic or Latino","2186-5",1452
,"Franklin County, PA","42055","Unknown or Not Stated","9",19
,"Lackawanna County, PA","42069","Hispanic or Latino","2135-2",376
,"Lackawanna County, PA","42069","Not Hispanic or Latino","2186-5",1573
,"Lackawanna County, PA","42069","Unknown or Not Stated","9",18
,"Lancaster County, PA","42071","Hispanic or Latino","2135-2",985
,"Lancaster County, PA","42071","Not Hispanic or Latino","2186-5",6025
,"Lancaster County, PA","42071","Unknown or Not Stated","9",83
,"Lebanon County, PA","42075","Hispanic or Latino","2135-2",349
,"Lebanon County, PA","42075","Not Hispanic or Latino","2186-5",1206
,"Lebanon County, PA","42075","Unknown or Not Stated","9",Suppressed
,"Lehigh County, PA","42077","Hispanic or Latino","2135-2",1651
,"Lehigh County, PA","42077","Not Hispanic or Latino","2186-5",2134
,"Lehigh County, PA","42077","Unknown or Not Stated","9",36
,"Luzerne County, PA","42079","Hispanic or Latino","2135-2",1033
,"Luzerne County, PA","42079","Not Hispanic or Latino","2186-5",2005
,"Luzerne County, PA","42079","Unknown or Not Stated","9",36
,"Lycoming County, PA","42081","Hispanic or Latino","2135-2",39
,"Lycoming County, PA","42081","Not Hispanic or Latino","2186-5",1024
,"Lycoming County, PA","42081","Unknown or Not Stated","9",22
,"Mercer County, PA","42085","Hispanic or Latino","2135-2",19
,"Mercer County, PA","42085","Not Hispanic or Latino","2186-5",924
,"Mercer County, PA","42085","Unknown or Not Stated","9",Suppressed
,"Monroe County, PA","42089","Hispanic or Latino","2135-2",323
,"Monroe County, PA","42089","Not Hispanic or Latino","2186-5",1028
,"Monroe County, PA","42089","Unknown or Not Stated","9",14
,"Montgomery County, PA","42091","Hispanic or Latino","2135-2",936
,"Montgomery County, PA","42091","Not Hispanic or Latino","2186-5",7477
,"Montgomery County, PA","42091","Unknown or Not Stated","9",62
,"Northampton County, PA","42095","Hispanic or Latino","2135-2",629
,"Northampton County, PA","42095","Not Hispanic or Latino","2186-5",2047
,"Northampton County, PA","42095","Unknown or Not Stated","9",23
,"Philadelphia County, PA","42101","Hispanic or Latino","2135-2",4337
,"Philadelphia County, PA","42101","Not Hispanic or Latino","2186-5",14310
,"Philadelphia County, PA","42101","Unknown or Not Stated","9",479
,"Schuylkill County, PA","42107","Hispanic or Latino","2135-2",202
,"Schuylkill County, PA","42107","Not Hispanic or Latino","2186-5",1010
,"Schuylkill County, PA","42107","Unknown or Not Stated","9",Suppressed
,"Washington County, PA","42125","Hispanic or Latino","2135-2",56
,"Washington County, PA","42125","Not Hispanic or Latino","2186-5",1800
,"Washington County, PA","42125","Unknown or Not Stated","9",17
,"Westmoreland County, PA","42129","Hispanic or Latino","2135-2",68
,"Westmoreland County, PA","42129","Not Hispanic or Latino","2186-5",2830
,"Westmoreland County, PA","42129","Unknown or Not Stated","9",12
,"York County, PA","42133","Hispanic or Latino","2135-2",784
,"York County, PA","42133","Not Hispanic or Latino","2186-5",4037
,"York County, PA","42133","Unknown or Not Stated","9",25
,"Unidentified Counties, PA","42999","Hispanic or Latino","2135-2",561
,"Unidentified Counties, PA","42999","Not Hispanic or Latino","2186-5",14269
,"Unidentified Counties, PA","42999","Unknown or Not Stated","9",130
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Pennsylvania (42)"
"Year: 2022"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 7:16:55 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 7:16:55 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
