"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Bell County, TX","48027","Female","F",3023
,"Bell County, TX","48027","Male","M",3062
,"Bexar County, TX","48029","Female","F",12810
,"Bexar County, TX","48029","Male","M",13779
,"Brazoria County, TX","48039","Female","F",2405
,"Brazoria County, TX","48039","Male","M",2420
,"Brazos County, TX","48041","Female","F",1377
,"Brazos County, TX","48041","Male","M",1373
,"Cameron County, TX","48061","Female","F",2994
,"Cameron County, TX","48061","Male","M",3118
,"Collin County, TX","48085","Female","F",6198
,"Collin County, TX","48085","Male","M",6608
,"Comal County, TX","48091","Female","F",952
,"Comal County, TX","48091","Male","M",958
,"Dallas County, TX","48113","Female","F",18213
,"Dallas County, TX","48113","Male","M",19036
,"Denton County, TX","48121","Female","F",5626
,"Denton County, TX","48121","Male","M",5873
,"Ector County, TX","48135","Female","F",1490
,"Ector County, TX","48135","Male","M",1524
,"Ellis County, TX","48139","Female","F",1390
,"Ellis County, TX","48139","Male","M",1429
,"El Paso County, TX","48141","Female","F",5599
,"El Paso County, TX","48141","Male","M",6003
,"Fort Bend County, TX","48157","Female","F",4640
,"Fort Bend County, TX","48157","Male","M",4949
,"Galveston County, TX","48167","Female","F",1895
,"Galveston County, TX","48167","Male","M",1986
,"Grayson County, TX","48181","Female","F",811
,"Grayson County, TX","48181","Male","M",875
,"Gregg County, TX","48183","Female","F",841
,"Gregg County, TX","48183","Male","M",889
,"Guadalupe County, TX","48187","Female","F",1010
,"Guadalupe County, TX","48187","Male","M",1084
,"Harris County, TX","48201","Female","F",32305
,"Harris County, TX","48201","Male","M",33819
,"Hays County, TX","48209","Female","F",1591
,"Hays County, TX","48209","Male","M",1654
,"Hidalgo County, TX","48215","Female","F",7180
,"Hidalgo County, TX","48215","Male","M",7221
,"Jefferson County, TX","48245","Female","F",1630
,"Jefferson County, TX","48245","Male","M",1630
,"Johnson County, TX","48251","Female","F",1147
,"Johnson County, TX","48251","Male","M",1250
,"Kaufman County, TX","48257","Female","F",1315
,"Kaufman County, TX","48257","Male","M",1450
,"Lubbock County, TX","48303","Female","F",2039
,"Lubbock County, TX","48303","Male","M",2101
,"McLennan County, TX","48309","Female","F",1609
,"McLennan County, TX","48309","Male","M",1712
,"Midland County, TX","48329","Female","F",1460
,"Midland County, TX","48329","Male","M",1521
,"Montgomery County, TX","48339","Female","F",4134
,"Montgomery County, TX","48339","Male","M",4336
,"Nueces County, TX","48355","Female","F",2006
,"Nueces County, TX","48355","Male","M",2163
,"Parker County, TX","48367","Female","F",889
,"Parker County, TX","48367","Male","M",1042
,"Potter County, TX","48375","Female","F",790
,"Potter County, TX","48375","Male","M",784
,"Randall County, TX","48381","Female","F",844
,"Randall County, TX","48381","Male","M",885
,"Smith County, TX","48423","Female","F",1530
,"Smith County, TX","48423","Male","M",1582
,"Tarrant County, TX","48439","Female","F",13808
,"Tarrant County, TX","48439","Male","M",14318
,"Taylor County, TX","48441","Female","F",937
,"Taylor County, TX","48441","Male","M",1025
,"Tom Green County, TX","48451","Female","F",721
,"Tom Green County, TX","48451","Male","M",723
,"Travis County, TX","48453","Female","F",8104
,"Travis County, TX","48453","Male","M",8346
,"Webb County, TX","48479","Female","F",2265
,"Webb County, TX","48479","Male","M",2272
,"Wichita County, TX","48485","Female","F",710
,"Wichita County, TX","48485","Male","M",815
,"Williamson County, TX","48491","Female","F",3996
,"Williamson County, TX","48491","Male","M",4076
,"Unidentified Counties, TX","48999","Female","F",28341
,"Unidentified Counties, TX","48999","Male","M",29425
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Texas (48)"
"Year: 2022"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 5:33:08 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 5:33:08 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
