"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Stark County, OH","39151","35-39 years","35-39",438
,"Stark County, OH","39151","40-44 years","40-44",77
,"Stark County, OH","39151","45-49 years","45-49",Suppressed
,"Stark County, OH","39151","50 years and over","50+",0
,"Summit County, OH","39153","Under 15 years","15",Suppressed
,"Summit County, OH","39153","15-19 years","15-19",204
,"Summit County, OH","39153","20-24 years","20-24",914
,"Summit County, OH","39153","25-29 years","25-29",1561
,"Summit County, OH","39153","30-34 years","30-34",1719
,"Summit County, OH","39153","35-39 years","35-39",827
,"Summit County, OH","39153","40-44 years","40-44",157
,"Summit County, OH","39153","45-49 years","45-49",Suppressed
,"Summit County, OH","39153","50 years and over","50+",0
,"Trumbull County, OH","39155","Under 15 years","15",0
,"Trumbull County, OH","39155","15-19 years","15-19",118
,"Trumbull County, OH","39155","20-24 years","20-24",484
,"Trumbull County, OH","39155","25-29 years","25-29",661
,"Trumbull County, OH","39155","30-34 years","30-34",514
,"Trumbull County, OH","39155","35-39 years","35-39",198
,"Trumbull County, OH","39155","40-44 years","40-44",42
,"Trumbull County, OH","39155","45-49 years","45-49",Suppressed
,"Trumbull County, OH","39155","50 years and over","50+",0
,"Warren County, OH","39165","Under 15 years","15",Suppressed
,"Warren County, OH","39165","15-19 years","15-19",49
,"Warren County, OH","39165","20-24 years","20-24",300
,"Warren County, OH","39165","25-29 years","25-29",715
,"Warren County, OH","39165","30-34 years","30-34",866
,"Warren County, OH","39165","35-39 years","35-39",427
,"Warren County, OH","39165","40-44 years","40-44",66
,"Warren County, OH","39165","45-49 years","45-49",Suppressed
,"Warren County, OH","39165","50 years and over","50+",0
,"Wayne County, OH","39169","Under 15 years","15",0
,"Wayne County, OH","39169","15-19 years","15-19",36
,"Wayne County, OH","39169","20-24 years","20-24",284
,"Wayne County, OH","39169","25-29 years","25-29",500
,"Wayne County, OH","39169","30-34 years","30-34",393
,"Wayne County, OH","39169","35-39 years","35-39",147
,"Wayne County, OH","39169","40-44 years","40-44",44
,"Wayne County, OH","39169","45-49 years","45-49",Suppressed
,"Wayne County, OH","39169","50 years and over","50+",0
,"Wood County, OH","39173","Under 15 years","15",0
,"Wood County, OH","39173","15-19 years","15-19",29
,"Wood County, OH","39173","20-24 years","20-24",218
,"Wood County, OH","39173","25-29 years","25-29",370
,"Wood County, OH","39173","30-34 years","30-34",391
,"Wood County, OH","39173","35-39 years","35-39",167
,"Wood County, OH","39173","40-44 years","40-44",23
,"Wood County, OH","39173","45-49 years","45-49",Suppressed
,"Wood County, OH","39173","50 years and over","50+",0
,"Unidentified Counties, OH","39999","Under 15 years","15",Suppressed
