"Notes","State of Residence","State of Residence Code","Plurality","Plurality Code",Births
,"Alabama","01","Single","1",56075
,"Alabama","01","Twin","2",2033
,"Alabama","01","Triplet or higher","3",41
,"Alaska","02","Single","1",9082
,"Alaska","02","Twin","2",267
,"Alaska","02","Triplet or higher","3",10
,"Arizona","04","Single","1",76173
,"Arizona","04","Twin","2",2330
,"Arizona","04","Triplet or higher","3",44
,"Arkansas","05","Single","1",34392
,"Arkansas","05","Twin","2",1074
,"Arkansas","05","Triplet or higher","3",Suppressed
,"California","06","Single","1",407008
,"California","06","Twin","2",11800
,"California","06","Triplet or higher","3",296
,"Colorado","08","Single","1",60430
,"Colorado","08","Twin","2",1917
,"Colorado","08","Triplet or higher","3",36
,"Connecticut","09","Single","1",34084
,"Connecticut","09","Twin","2",1218
,"Connecticut","09","Triplet or higher","3",30
,"Delaware","10","Single","1",10473
,"Delaware","10","Twin","2",334
,"Delaware","10","Triplet or higher","3",Suppressed
,"District of Columbia","11","Single","1",7826
,"District of Columbia","11","Twin","2",245
,"District of Columbia","11","Triplet or higher","3",Suppressed
,"Florida","12","Single","1",217699
,"Florida","12","Twin","2",6587
,"Florida","12","Triplet or higher","3",147
,"Georgia","13","Single","1",121718
,"Georgia","13","Twin","2",4299
,"Georgia","13","Triplet or higher","3",113
,"Hawaii","15","Single","1",15092
,"Hawaii","15","Twin","2",437
,"Hawaii","15","Triplet or higher","3",Suppressed
,"Idaho","16","Single","1",21591
,"Idaho","16","Twin","2",786
,"Idaho","16","Triplet or higher","3",14
,"Illinois","17","Single","1",124188
,"Illinois","17","Twin","2",4065
,"Illinois","17","Triplet or higher","3",97
,"Indiana","18","Single","1",76887
,"Indiana","18","Twin","2",2683
,"Indiana","18","Triplet or higher","3",79
,"Iowa","19","Single","1",35226
,"Iowa","19","Twin","2",1256
,"Iowa","19","Triplet or higher","3",24
,"Kansas","20","Single","1",33315
,"Kansas","20","Twin","2",1066
,"Kansas","20","Triplet or higher","3",20
,"Kentucky","21","Single","1",50634
,"Kentucky","21","Twin","2",1642
,"Kentucky","21","Triplet or higher","3",39
,"Louisiana","22","Single","1",54591
,"Louisiana","22","Twin","2",1832
,"Louisiana","22","Triplet or higher","3",56
,"Maine","23","Single","1",11598
,"Maine","23","Twin","2",486
,"Maine","23","Triplet or higher","3",Suppressed
,"Maryland","24","Single","1",66764
,"Maryland","24","Twin","2",1961
,"Maryland","24","Triplet or higher","3",57
,"Massachusetts","25","Single","1",66249
,"Massachusetts","25","Twin","2",2276
,"Massachusetts","25","Triplet or higher","3",59
,"Michigan","26","Single","1",98557
,"Michigan","26","Twin","2",3648
,"Michigan","26","Triplet or higher","3",116
,"Minnesota","27","Single","1",61721
,"Minnesota","27","Twin","2",2213
,"Minnesota","27","Triplet or higher","3",81
,"Mississippi","28","Single","1",33454
,"Mississippi","28","Twin","2",1179
,"Mississippi","28","Triplet or higher","3",42
,"Missouri","29","Single","1",66549
,"Missouri","29","Twin","2",2385
,"Missouri","29","Triplet or higher","3",51
,"Montana","30","Single","1",10833
,"Montana","30","Twin","2",333
,"Montana","30","Triplet or higher","3",Suppressed
,"Nebraska","31","Single","1",23472
,"Nebraska","31","Twin","2",844
,"Nebraska","31","Triplet or higher","3",29
,"Nevada","32","Single","1",32162
,"Nevada","32","Twin","2",998
,"Nevada","32","Triplet or higher","3",33
,"New Hampshire","33","Single","1",11692
,"New Hampshire","33","Twin","2",379
,"New Hampshire","33","Triplet or higher","3",Suppressed
,"New Jersey","34","Single","1",99661
,"New Jersey","34","Twin","2",3161
,"New Jersey","34","Triplet or higher","3",71
,"New Mexico","35","Single","1",21037
,"New Mexico","35","Twin","2",562
,"New Mexico","35","Triplet or higher","3",15
,"New York","36","Single","1",200989
,"New York","36","Twin","2",6619
,"New York","36","Triplet or higher","3",166
,"North Carolina","37","Single","1",117688
,"North Carolina","37","Twin","2",3768
,"North Carolina","37","Triplet or higher","3",106
,"North Dakota","38","Single","1",9236
,"North Dakota","38","Twin","2",322
,"North Dakota","38","Triplet or higher","3",Suppressed
,"Ohio","39","Single","1",123897
,"Ohio","39","Twin","2",4235
,"Ohio","39","Triplet or higher","3",99
,"Oklahoma","40","Single","1",46820
,"Oklahoma","40","Twin","2",1480
,"Oklahoma","40","Triplet or higher","3",32
,"Oregon","41","Single","1",38245
,"Oregon","41","Twin","2",1227
,"Oregon","41","Triplet or higher","3",21
,"Pennsylvania","42","Single","1",125964
,"Pennsylvania","42","Twin","2",4187
,"Pennsylvania","42","Triplet or higher","3",101
,"Rhode Island","44","Single","1",9954
