"Notes","State of Residence","State of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alabama","01","Female","F",28653
,"Alabama","01","Male","M",29496
,"Alaska","02","Female","F",4608
,"Alaska","02","Male","M",4751
,"Arizona","04","Female","F",38498
,"Arizona","04","Male","M",40049
,"Arkansas","05","Female","F",17333
,"Arkansas","05","Male","M",18138
,"California","06","Female","F",204680
,"California","06","Male","M",214424
,"Colorado","08","Female","F",30364
,"Colorado","08","Male","M",32019
,"Connecticut","09","Female","F",17078
,"Connecticut","09","Male","M",18254
,"Delaware","10","Female","F",5246
,"Delaware","10","Male","M",5570
,"District of Columbia","11","Female","F",3964
,"District of Columbia","11","Male","M",4111
,"Florida","12","Female","F",109840
,"Florida","12","Male","M",114593
,"Georgia","13","Female","F",61565
,"Georgia","13","Male","M",64565
,"Hawaii","15","Female","F",7519
,"Hawaii","15","Male","M",8016
,"Idaho","16","Female","F",10896
,"Idaho","16","Male","M",11495
,"Illinois","17","Female","F",62717
,"Illinois","17","Male","M",65633
,"Indiana","18","Female","F",38844
,"Indiana","18","Male","M",40805
,"Iowa","19","Female","F",17756
,"Iowa","19","Male","M",18750
,"Kansas","20","Female","F",16890
,"Kansas","20","Male","M",17511
,"Kentucky","21","Female","F",25595
,"Kentucky","21","Male","M",26720
,"Louisiana","22","Female","F",27548
,"Louisiana","22","Male","M",28931
,"Maine","23","Female","F",5872
,"Maine","23","Male","M",6221
,"Maryland","24","Female","F",33796
,"Maryland","24","Male","M",34986
,"Massachusetts","25","Female","F",33566
,"Massachusetts","25","Male","M",35018
,"Michigan","26","Female","F",50022
,"Michigan","26","Male","M",52299
,"Minnesota","27","Female","F",31296
,"Minnesota","27","Male","M",32719
,"Mississippi","28","Female","F",17051
,"Mississippi","28","Male","M",17624
,"Missouri","29","Female","F",33796
,"Missouri","29","Male","M",35189
,"Montana","30","Female","F",5453
,"Montana","30","Male","M",5722
,"Nebraska","31","Female","F",11903
,"Nebraska","31","Male","M",12442
,"Nevada","32","Female","F",16270
,"Nevada","32","Male","M",16923
,"New Hampshire","33","Female","F",5896
,"New Hampshire","33","Male","M",6181
,"New Jersey","34","Female","F",50341
,"New Jersey","34","Male","M",52552
,"New Mexico","35","Female","F",10593
,"New Mexico","35","Male","M",11021
,"New York","36","Female","F",101970
,"New York","36","Male","M",105804
,"North Carolina","37","Female","F",59441
,"North Carolina","37","Male","M",62121
,"North Dakota","38","Female","F",4607
,"North Dakota","38","Male","M",4960
,"Ohio","39","Female","F",62924
,"Ohio","39","Male","M",65307
,"Oklahoma","40","Female","F",23504
,"Oklahoma","40","Male","M",24828
,"Oregon","41","Female","F",19233
,"Oregon","41","Male","M",20260
,"Pennsylvania","42","Female","F",63662
,"Pennsylvania","42","Male","M",66590
,"Rhode Island","44","Female","F",5036
,"Rhode Island","44","Male","M",5233
,"South Carolina","45","Female","F",28368
,"South Carolina","45","Male","M",29452
,"South Dakota","46","Female","F",5404
,"South Dakota","46","Male","M",5797
,"Tennessee","47","Female","F",40144
,"Tennessee","47","Male","M",42121
,"Texas","48","Female","F",190625
,"Texas","48","Male","M",199116
,"Utah","49","Female","F",22355
,"Utah","49","Male","M",23413
,"Vermont","50","Female","F",2590
,"Vermont","50","Male","M",2726
,"Virginia","51","Female","F",47057
,"Virginia","51","Male","M",48573
,"Washington","53","Female","F",40575
,"Washington","53","Male","M",42758
,"West Virginia","54","Female","F",8245
,"West Virginia","54","Male","M",8684
,"Wisconsin","55","Female","F",29169
,"Wisconsin","55","Male","M",30880
,"Wyoming","56","Female","F",2954
,"Wyoming","56","Male","M",3095
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2022"
"Group By: State of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:42:51 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:42:51 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
