"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alabama","01","Hispanic or Latino","2135-2",6231
,"Alabama","01","Not Hispanic or Latino","2186-5",51905
,"Alabama","01","Unknown or Not Stated","9",13
,"Alaska","02","Hispanic or Latino","2135-2",794
,"Alaska","02","Not Hispanic or Latino","2186-5",8431
,"Alaska","02","Unknown or Not Stated","9",134
,"Arizona","04","Hispanic or Latino","2135-2",34839
,"Arizona","04","Not Hispanic or Latino","2186-5",43263
,"Arizona","04","Unknown or Not Stated","9",445
,"Arkansas","05","Hispanic or Latino","2135-2",4227
,"Arkansas","05","Not Hispanic or Latino","2186-5",31074
,"Arkansas","05","Unknown or Not Stated","9",170
,"California","06","Hispanic or Latino","2135-2",203312
,"California","06","Not Hispanic or Latino","2186-5",200347
,"California","06","Unknown or Not Stated","9",15445
,"Colorado","08","Hispanic or Latino","2135-2",18982
,"Colorado","08","Not Hispanic or Latino","2186-5",42759
,"Colorado","08","Unknown or Not Stated","9",642
,"Connecticut","09","Hispanic or Latino","2135-2",9597
,"Connecticut","09","Not Hispanic or Latino","2186-5",25717
,"Connecticut","09","Unknown or Not Stated","9",18
,"Delaware","10","Hispanic or Latino","2135-2",1996
,"Delaware","10","Not Hispanic or Latino","2186-5",8770
,"Delaware","10","Unknown or Not Stated","9",50
,"District of Columbia","11","Hispanic or Latino","2135-2",1348
,"District of Columbia","11","Not Hispanic or Latino","2186-5",6701
,"District of Columbia","11","Unknown or Not Stated","9",26
,"Florida","12","Hispanic or Latino","2135-2",74864
,"Florida","12","Not Hispanic or Latino","2186-5",149453
,"Florida","12","Unknown or Not Stated","9",116
,"Georgia","13","Hispanic or Latino","2135-2",21202
,"Georgia","13","Not Hispanic or Latino","2186-5",104334
,"Georgia","13","Unknown or Not Stated","9",594
,"Hawaii","15","Hispanic or Latino","2135-2",2701
,"Hawaii","15","Not Hispanic or Latino","2186-5",12780
,"Hawaii","15","Unknown or Not Stated","9",54
,"Idaho","16","Hispanic or Latino","2135-2",4002
,"Idaho","16","Not Hispanic or Latino","2186-5",18230
,"Idaho","16","Unknown or Not Stated","9",159
,"Illinois","17","Hispanic or Latino","2135-2",29710
,"Illinois","17","Not Hispanic or Latino","2186-5",97882
,"Illinois","17","Unknown or Not Stated","9",758
,"Indiana","18","Hispanic or Latino","2135-2",9939
,"Indiana","18","Not Hispanic or Latino","2186-5",69603
,"Indiana","18","Unknown or Not Stated","9",107
,"Iowa","19","Hispanic or Latino","2135-2",4172
,"Iowa","19","Not Hispanic or Latino","2186-5",32328
,"Iowa","19","Unknown or Not Stated","9",Suppressed
,"Kansas","20","Hispanic or Latino","2135-2",6309
,"Kansas","20","Not Hispanic or Latino","2186-5",27998
,"Kansas","20","Unknown or Not Stated","9",94
,"Kentucky","21","Hispanic or Latino","2135-2",4291
,"Kentucky","21","Not Hispanic or Latino","2186-5",47870
,"Kentucky","21","Unknown or Not Stated","9",154
,"Louisiana","22","Hispanic or Latino","2135-2",5936
,"Louisiana","22","Not Hispanic or Latino","2186-5",50503
,"Louisiana","22","Unknown or Not Stated","9",40
,"Maine","23","Hispanic or Latino","2135-2",338
,"Maine","23","Not Hispanic or Latino","2186-5",11749
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Hispanic or Latino","2135-2",14398
,"Maryland","24","Not Hispanic or Latino","2186-5",54229
,"Maryland","24","Unknown or Not Stated","9",155
,"Massachusetts","25","Hispanic or Latino","2135-2",15383
,"Massachusetts","25","Not Hispanic or Latino","2186-5",52027
,"Massachusetts","25","Unknown or Not Stated","9",1174
,"Michigan","26","Hispanic or Latino","2135-2",7127
,"Michigan","26","Not Hispanic or Latino","2186-5",94511
,"Michigan","26","Unknown or Not Stated","9",683
,"Minnesota","27","Hispanic or Latino","2135-2",6040
,"Minnesota","27","Not Hispanic or Latino","2186-5",57774
,"Minnesota","27","Unknown or Not Stated","9",201
,"Mississippi","28","Hispanic or Latino","2135-2",1930
,"Mississippi","28","Not Hispanic or Latino","2186-5",32734
,"Mississippi","28","Unknown or Not Stated","9",11
,"Missouri","29","Hispanic or Latino","2135-2",5224
,"Missouri","29","Not Hispanic or Latino","2186-5",63352
,"Missouri","29","Unknown or Not Stated","9",409
,"Montana","30","Hispanic or Latino","2135-2",678
,"Montana","30","Not Hispanic or Latino","2186-5",10471
,"Montana","30","Unknown or Not Stated","9",26
,"Nebraska","31","Hispanic or Latino","2135-2",4815
,"Nebraska","31","Not Hispanic or Latino","2186-5",19520
,"Nebraska","31","Unknown or Not Stated","9",10
,"Nevada","32","Hispanic or Latino","2135-2",13019
,"Nevada","32","Not Hispanic or Latino","2186-5",20021
,"Nevada","32","Unknown or Not Stated","9",153
,"New Hampshire","33","Hispanic or Latino","2135-2",812
,"New Hampshire","33","Not Hispanic or Latino","2186-5",11190
,"New Hampshire","33","Unknown or Not Stated","9",75
,"New Jersey","34","Hispanic or Latino","2135-2",29931
,"New Jersey","34","Not Hispanic or Latino","2186-5",72150
,"New Jersey","34","Unknown or Not Stated","9",812
,"New Mexico","35","Hispanic or Latino","2135-2",12617
,"New Mexico","35","Not Hispanic or Latino","2186-5",8958
,"New Mexico","35","Unknown or Not Stated","9",39
,"New York","36","Hispanic or Latino","2135-2",50131
,"New York","36","Not Hispanic or Latino","2186-5",156250
,"New York","36","Unknown or Not Stated","9",1393
,"North Carolina","37","Hispanic or Latino","2135-2",22568
,"North Carolina","37","Not Hispanic or Latino","2186-5",98884
,"North Carolina","37","Unknown or Not Stated","9",110
,"North Dakota","38","Hispanic or Latino","2135-2",671
,"North Dakota","38","Not Hispanic or Latino","2186-5",8672
,"North Dakota","38","Unknown or Not Stated","9",224
,"Ohio","39","Hispanic or Latino","2135-2",9062
,"Ohio","39","Not Hispanic or Latino","2186-5",118950
,"Ohio","39","Unknown or Not Stated","9",219
,"Oklahoma","40","Hispanic or Latino","2135-2",8462
