"Notes","State of Residence","State of Residence Code","Tobacco Use","Tobacco Use Code",Births
,"Alabama","01","Yes","1",2808
,"Alabama","01","No","2",55268
,"Alabama","01","Unknown or Not Stated","9",73
,"Alaska","02","Yes","1",627
,"Alaska","02","No","2",8539
,"Alaska","02","Unknown or Not Stated","9",193
,"Arizona","04","Yes","1",2076
,"Arizona","04","No","2",76385
,"Arizona","04","Unknown or Not Stated","9",86
,"Arkansas","05","Yes","1",2801
,"Arkansas","05","No","2",32529
,"Arkansas","05","Unknown or Not Stated","9",141
,"California","06","Yes","1",2833
,"California","06","No","2",414427
,"California","06","Unknown or Not Stated","9",1844
,"Colorado","08","Yes","1",1957
,"Colorado","08","No","2",60319
,"Colorado","08","Unknown or Not Stated","9",107
,"Connecticut","09","Yes","1",721
,"Connecticut","09","No","2",34584
,"Connecticut","09","Unknown or Not Stated","9",27
,"Delaware","10","Yes","1",340
,"Delaware","10","No","2",10401
,"Delaware","10","Unknown or Not Stated","9",75
,"District of Columbia","11","Yes","1",70
,"District of Columbia","11","No","2",7943
,"District of Columbia","11","Unknown or Not Stated","9",62
,"Florida","12","Yes","1",5186
,"Florida","12","No","2",219019
,"Florida","12","Unknown or Not Stated","9",228
,"Georgia","13","Yes","1",3586
,"Georgia","13","No","2",122267
,"Georgia","13","Unknown or Not Stated","9",277
,"Hawaii","15","Yes","1",197
,"Hawaii","15","No","2",15084
,"Hawaii","15","Unknown or Not Stated","9",254
,"Idaho","16","Yes","1",856
,"Idaho","16","No","2",21454
,"Idaho","16","Unknown or Not Stated","9",81
,"Illinois","17","Yes","1",4649
,"Illinois","17","No","2",123445
,"Illinois","17","Unknown or Not Stated","9",256
,"Indiana","18","Yes","1",5235
,"Indiana","18","No","2",73918
,"Indiana","18","Unknown or Not Stated","9",496
,"Iowa","19","Yes","1",2456
,"Iowa","19","No","2",34021
,"Iowa","19","Unknown or Not Stated","9",29
,"Kansas","20","Yes","1",1874
,"Kansas","20","No","2",32389
,"Kansas","20","Unknown or Not Stated","9",138
,"Kentucky","21","Yes","1",5480
,"Kentucky","21","No","2",46574
,"Kentucky","21","Unknown or Not Stated","9",261
,"Louisiana","22","Yes","1",1822
,"Louisiana","22","No","2",54095
,"Louisiana","22","Unknown or Not Stated","9",562
,"Maine","23","Yes","1",988
,"Maine","23","No","2",11095
,"Maine","23","Unknown or Not Stated","9",10
,"Maryland","24","Yes","1",1873
,"Maryland","24","No","2",66682
,"Maryland","24","Unknown or Not Stated","9",227
,"Massachusetts","25","Yes","1",1513
,"Massachusetts","25","No","2",67053
,"Massachusetts","25","Unknown or Not Stated","9",18
,"Michigan","26","Yes","1",6685
,"Michigan","26","No","2",94895
,"Michigan","26","Unknown or Not Stated","9",741
,"Minnesota","27","Yes","1",2846
,"Minnesota","27","No","2",61094
,"Minnesota","27","Unknown or Not Stated","9",75
,"Mississippi","28","Yes","1",1758
,"Mississippi","28","No","2",32863
,"Mississippi","28","Unknown or Not Stated","9",54
,"Missouri","29","Yes","1",5441
,"Missouri","29","No","2",62445
,"Missouri","29","Unknown or Not Stated","9",1099
,"Montana","30","Yes","1",965
,"Montana","30","No","2",10202
,"Montana","30","Unknown or Not Stated","9",Suppressed
,"Nebraska","31","Yes","1",1231
,"Nebraska","31","No","2",23097
,"Nebraska","31","Unknown or Not Stated","9",17
,"Nevada","32","Yes","1",900
,"Nevada","32","No","2",32093
,"Nevada","32","Unknown or Not Stated","9",200
,"New Hampshire","33","Yes","1",547
,"New Hampshire","33","No","2",11420
,"New Hampshire","33","Unknown or Not Stated","9",110
,"New Jersey","34","Yes","1",1387
,"New Jersey","34","No","2",100462
,"New Jersey","34","Unknown or Not Stated","9",1044
,"New Mexico","35","Yes","1",792
,"New Mexico","35","No","2",20750
,"New Mexico","35","Unknown or Not Stated","9",72
,"New York","36","Yes","1",4996
,"New York","36","No","2",202602
,"New York","36","Unknown or Not Stated","9",176
,"North Carolina","37","Yes","1",5425
,"North Carolina","37","No","2",116105
,"North Carolina","37","Unknown or Not Stated","9",32
,"North Dakota","38","Yes","1",699
,"North Dakota","38","No","2",8786
,"North Dakota","38","Unknown or Not Stated","9",82
,"Ohio","39","Yes","1",10032
,"Ohio","39","No","2",118015
,"Ohio","39","Unknown or Not Stated","9",184
,"Oklahoma","40","Yes","1",3165
,"Oklahoma","40","No","2",45126
,"Oklahoma","40","Unknown or Not Stated","9",41
,"Oregon","41","Yes","1",1719
,"Oregon","41","No","2",37384
,"Oregon","41","Unknown or Not Stated","9",390
,"Pennsylvania","42","Yes","1",7827
,"Pennsylvania","42","No","2",122262
,"Pennsylvania","42","Unknown or Not Stated","9",163
,"Rhode Island","44","Yes","1",254
,"Rhode Island","44","No","2",9943
,"Rhode Island","44","Unknown or Not Stated","9",72
,"South Carolina","45","Yes","1",2463
,"South Carolina","45","No","2",55067
,"South Carolina","45","Unknown or Not Stated","9",290
,"South Dakota","46","Yes","1",828
,"South Dakota","46","No","2",10302
,"South Dakota","46","Unknown or Not Stated","9",71
,"Tennessee","47","Yes","1",5999
,"Tennessee","47","No","2",75858
,"Tennessee","47","Unknown or Not Stated","9",408
,"Texas","48","Yes","1",5088
,"Texas","48","No","2",383520
,"Texas","48","Unknown or Not Stated","9",1133
,"Utah","49","Yes","1",715
,"Utah","49","No","2",44916
,"Utah","49","Unknown or Not Stated","9",137
,"Vermont","50","Yes","1",451
,"Vermont","50","No","2",4824
,"Vermont","50","Unknown or Not Stated","9",41
,"Virginia","51","Yes","1",3111
,"Virginia","51","No","2",92487
,"Virginia","51","Unknown or Not Stated","9",32
,"Washington","53","Yes","1",2570
,"Washington","53","No","2",78226
,"Washington","53","Unknown or Not Stated","9",2537
,"West Virginia","54","Yes","1",2589
,"West Virginia","54","No","2",14324
,"West Virginia","54","Unknown or Not Stated","9",16
,"Wisconsin","55","Yes","1",3164
,"Wisconsin","55","No","2",56529
,"Wisconsin","55","Unknown or Not Stated","9",356
,"Wyoming","56","Yes","1",546
,"Wyoming","56","No","2",5354
,"Wyoming","56","Unknown or Not Stated","9",149
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2022"
"Group By: State of Residence; Tobacco Use"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 2:16:35 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
