"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Bartow County, GA","13015","Female","F",659
,"Bartow County, GA","13015","Male","M",670
,"Bibb County, GA","13021","Female","F",998
,"Bibb County, GA","13021","Male","M",1069
,"Carroll County, GA","13045","Female","F",792
,"Carroll County, GA","13045","Male","M",804
,"Chatham County, GA","13051","Female","F",1797
,"Chatham County, GA","13051","Male","M",1870
,"Cherokee County, GA","13057","Female","F",1388
,"Cherokee County, GA","13057","Male","M",1469
,"Clarke County, GA","13059","Female","F",634
,"Clarke County, GA","13059","Male","M",648
,"Clayton County, GA","13063","Female","F",1695
,"Clayton County, GA","13063","Male","M",1696
,"Cobb County, GA","13067","Female","F",4351
,"Cobb County, GA","13067","Male","M",4563
,"Columbia County, GA","13073","Female","F",843
,"Columbia County, GA","13073","Male","M",851
,"Coweta County, GA","13077","Female","F",843
,"Coweta County, GA","13077","Male","M",872
,"DeKalb County, GA","13089","Female","F",4918
,"DeKalb County, GA","13089","Male","M",5016
,"Douglas County, GA","13097","Female","F",856
,"Douglas County, GA","13097","Male","M",872
,"Fayette County, GA","13113","Female","F",452
,"Fayette County, GA","13113","Male","M",482
,"Forsyth County, GA","13117","Female","F",1129
,"Forsyth County, GA","13117","Male","M",1254
,"Fulton County, GA","13121","Female","F",6014
,"Fulton County, GA","13121","Male","M",6244
,"Gwinnett County, GA","13135","Female","F",5433
,"Gwinnett County, GA","13135","Male","M",5782
,"Hall County, GA","13139","Female","F",1310
,"Hall County, GA","13139","Male","M",1426
,"Henry County, GA","13151","Female","F",1455
,"Henry County, GA","13151","Male","M",1513
,"Houston County, GA","13153","Female","F",985
,"Houston County, GA","13153","Male","M",1046
,"Lowndes County, GA","13185","Female","F",746
,"Lowndes County, GA","13185","Male","M",791
,"Muscogee County, GA","13215","Female","F",1283
,"Muscogee County, GA","13215","Male","M",1343
,"Paulding County, GA","13223","Female","F",930
,"Paulding County, GA","13223","Male","M",990
,"Richmond County, GA","13245","Female","F",1362
,"Richmond County, GA","13245","Male","M",1449
,"Whitfield County, GA","13313","Female","F",624
,"Whitfield County, GA","13313","Male","M",611
,"Unidentified Counties, GA","13999","Female","F",20068
,"Unidentified Counties, GA","13999","Male","M",21234
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Georgia (13)"
"Year: 2022"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 4:57:25 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 4:57:25 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
