"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Atlantic County, NJ","34001","Female","F",1364
,"Atlantic County, NJ","34001","Male","M",1334
,"Bergen County, NJ","34003","Female","F",4550
,"Bergen County, NJ","34003","Male","M",4767
,"Burlington County, NJ","34005","Female","F",2300
,"Burlington County, NJ","34005","Male","M",2433
,"Camden County, NJ","34007","Female","F",3035
,"Camden County, NJ","34007","Male","M",3089
,"Cumberland County, NJ","34011","Female","F",907
,"Cumberland County, NJ","34011","Male","M",924
,"Essex County, NJ","34013","Female","F",4978
,"Essex County, NJ","34013","Male","M",5169
,"Gloucester County, NJ","34015","Female","F",1483
,"Gloucester County, NJ","34015","Male","M",1567
,"Hudson County, NJ","34017","Female","F",4379
,"Hudson County, NJ","34017","Male","M",4663
,"Hunterdon County, NJ","34019","Female","F",542
,"Hunterdon County, NJ","34019","Male","M",571
,"Mercer County, NJ","34021","Female","F",2040
,"Mercer County, NJ","34021","Male","M",2163
,"Middlesex County, NJ","34023","Female","F",4213
,"Middlesex County, NJ","34023","Male","M",4339
,"Monmouth County, NJ","34025","Female","F",3174
,"Monmouth County, NJ","34025","Male","M",3270
,"Morris County, NJ","34027","Female","F",2480
,"Morris County, NJ","34027","Male","M",2618
,"Ocean County, NJ","34029","Female","F",4931
,"Ocean County, NJ","34029","Male","M",5294
,"Passaic County, NJ","34031","Female","F",3185
,"Passaic County, NJ","34031","Male","M",3229
,"Somerset County, NJ","34035","Female","F",1590
,"Somerset County, NJ","34035","Male","M",1685
,"Sussex County, NJ","34037","Female","F",703
,"Sussex County, NJ","34037","Male","M",744
,"Union County, NJ","34039","Female","F",3289
,"Union County, NJ","34039","Male","M",3414
,"Warren County, NJ","34041","Female","F",478
,"Warren County, NJ","34041","Male","M",514
,"Unidentified Counties, NJ","34999","Female","F",720
,"Unidentified Counties, NJ","34999","Male","M",765
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New Jersey (34)"
"Year: 2022"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 5:19:22 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 5:19:22 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
