"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Champaign County, IL","17019","Female","F",961
,"Champaign County, IL","17019","Male","M",1033
,"Cook County, IL","17031","Female","F",25466
,"Cook County, IL","17031","Male","M",26452
,"DeKalb County, IL","17037","Female","F",503
,"DeKalb County, IL","17037","Male","M",515
,"DuPage County, IL","17043","Female","F",4737
,"DuPage County, IL","17043","Male","M",5002
,"Kane County, IL","17089","Female","F",2674
,"Kane County, IL","17089","Male","M",2821
,"Kankakee County, IL","17091","Female","F",552
,"Kankakee County, IL","17091","Male","M",597
,"Kendall County, IL","17093","Female","F",729
,"Kendall County, IL","17093","Male","M",793
,"Lake County, IL","17097","Female","F",3266
,"Lake County, IL","17097","Male","M",3464
,"LaSalle County, IL","17099","Female","F",540
,"LaSalle County, IL","17099","Male","M",583
,"McHenry County, IL","17111","Female","F",1538
,"McHenry County, IL","17111","Male","M",1620
,"McLean County, IL","17113","Female","F",821
,"McLean County, IL","17113","Male","M",807
,"Macon County, IL","17115","Female","F",579
,"Macon County, IL","17115","Male","M",588
,"Madison County, IL","17119","Female","F",1325
,"Madison County, IL","17119","Male","M",1332
,"Peoria County, IL","17143","Female","F",1009
,"Peoria County, IL","17143","Male","M",1071
,"Rock Island County, IL","17161","Female","F",779
,"Rock Island County, IL","17161","Male","M",734
,"St. Clair County, IL","17163","Female","F",1256
,"St. Clair County, IL","17163","Male","M",1336
,"Sangamon County, IL","17167","Female","F",981
,"Sangamon County, IL","17167","Male","M",1012
,"Tazewell County, IL","17179","Female","F",608
,"Tazewell County, IL","17179","Male","M",616
,"Will County, IL","17197","Female","F",3402
,"Will County, IL","17197","Male","M",3585
,"Winnebago County, IL","17201","Female","F",1605
,"Winnebago County, IL","17201","Male","M",1682
,"Unidentified Counties, IL","17999","Female","F",9386
,"Unidentified Counties, IL","17999","Male","M",9990
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Illinois (17)"
"Year: 2022"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 5:00:52 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 5:00:52 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
