"Notes","State of Residence","State of Residence Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"Alabama","01","499 grams or less","01",73
,"Alabama","01","500 - 999 grams","02",341
,"Alabama","01","1000 - 1499 grams","03",534
,"Alabama","01","1500 - 1999 grams","04",1191
,"Alabama","01","2000 - 2499 grams","05",3908
,"Alabama","01","2500 - 2999 grams","06",12661
,"Alabama","01","3000 - 3499 grams","07",22531
,"Alabama","01","3500 - 3999 grams","08",13433
,"Alabama","01","4000 - 4499 grams","09",3011
,"Alabama","01","4500 - 4999 grams","10",399
,"Alabama","01","5000 - 8165 grams","11",43
,"Alabama","01","Unknown or Not Stated","12",24
,"Alaska","02","499 grams or less","01",Suppressed
,"Alaska","02","500 - 999 grams","02",40
,"Alaska","02","1000 - 1499 grams","03",53
,"Alaska","02","1500 - 1999 grams","04",126
,"Alaska","02","2000 - 2499 grams","05",426
,"Alaska","02","2500 - 2999 grams","06",1455
,"Alaska","02","3000 - 3499 grams","07",3342
,"Alaska","02","3500 - 3999 grams","08",2817
,"Alaska","02","4000 - 4499 grams","09",918
,"Alaska","02","4500 - 4999 grams","10",147
,"Alaska","02","5000 - 8165 grams","11",27
,"Alaska","02","Unknown or Not Stated","12",Suppressed
,"Arizona","04","499 grams or less","01",111
,"Arizona","04","500 - 999 grams","02",312
,"Arizona","04","1000 - 1499 grams","03",502
,"Arizona","04","1500 - 1999 grams","04",1148
,"Arizona","04","2000 - 2499 grams","05",4046
,"Arizona","04","2500 - 2999 grams","06",15209
,"Arizona","04","3000 - 3499 grams","07",31099
,"Arizona","04","3500 - 3999 grams","08",20384
,"Arizona","04","4000 - 4499 grams","09",4914
,"Arizona","04","4500 - 4999 grams","10",666
,"Arizona","04","5000 - 8165 grams","11",84
,"Arizona","04","Unknown or Not Stated","12",72
,"Arkansas","05","499 grams or less","01",60
,"Arkansas","05","500 - 999 grams","02",188
,"Arkansas","05","1000 - 1499 grams","03",290
,"Arkansas","05","1500 - 1999 grams","04",632
,"Arkansas","05","2000 - 2499 grams","05",2126
,"Arkansas","05","2500 - 2999 grams","06",7391
,"Arkansas","05","3000 - 3499 grams","07",13979
,"Arkansas","05","3500 - 3999 grams","08",8580
,"Arkansas","05","4000 - 4499 grams","09",1884
,"Arkansas","05","4500 - 4999 grams","10",278
,"Arkansas","05","5000 - 8165 grams","11",36
