"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alameda County, CA","06001","Female","F",7966
,"Alameda County, CA","06001","Male","M",8647
,"Butte County, CA","06007","Female","F",906
,"Butte County, CA","06007","Male","M",1040
,"Contra Costa County, CA","06013","Female","F",5666
,"Contra Costa County, CA","06013","Male","M",5904
,"El Dorado County, CA","06017","Female","F",792
,"El Dorado County, CA","06017","Male","M",778
,"Fresno County, CA","06019","Female","F",6932
,"Fresno County, CA","06019","Male","M",7018
,"Humboldt County, CA","06023","Female","F",590
,"Humboldt County, CA","06023","Male","M",611
,"Imperial County, CA","06025","Female","F",1258
,"Imperial County, CA","06025","Male","M",1305
,"Kern County, CA","06029","Female","F",6071
,"Kern County, CA","06029","Male","M",6423
,"Kings County, CA","06031","Female","F",938
,"Kings County, CA","06031","Male","M",1102
,"Los Angeles County, CA","06037","Female","F",46905
,"Los Angeles County, CA","06037","Male","M",48919
,"Madera County, CA","06039","Female","F",1065
,"Madera County, CA","06039","Male","M",1085
,"Marin County, CA","06041","Female","F",1135
,"Marin County, CA","06041","Male","M",1089
,"Merced County, CA","06047","Female","F",1837
,"Merced County, CA","06047","Male","M",2012
,"Monterey County, CA","06053","Female","F",2781
,"Monterey County, CA","06053","Male","M",2910
,"Napa County, CA","06055","Female","F",567
,"Napa County, CA","06055","Male","M",583
,"Orange County, CA","06059","Female","F",14972
,"Orange County, CA","06059","Male","M",15957
,"Placer County, CA","06061","Female","F",1816
,"Placer County, CA","06061","Male","M",1950
,"Riverside County, CA","06065","Female","F",13583
,"Riverside County, CA","06065","Male","M",14295
,"Sacramento County, CA","06067","Female","F",8726
,"Sacramento County, CA","06067","Male","M",9479
,"San Bernardino County, CA","06071","Female","F",12767
,"San Bernardino County, CA","06071","Male","M",13445
,"San Diego County, CA","06073","Female","F",18380
,"San Diego County, CA","06073","Male","M",19207
,"San Francisco County, CA","06075","Female","F",3483
,"San Francisco County, CA","06075","Male","M",3632
,"San Joaquin County, CA","06077","Female","F",4974
,"San Joaquin County, CA","06077","Male","M",5117
,"San Luis Obispo County, CA","06079","Female","F",1175
,"San Luis Obispo County, CA","06079","Male","M",1236
,"San Mateo County, CA","06081","Female","F",3653
,"San Mateo County, CA","06081","Male","M",3844
,"Santa Barbara County, CA","06083","Female","F",2817
,"Santa Barbara County, CA","06083","Male","M",2853
,"Santa Clara County, CA","06085","Female","F",9225
,"Santa Clara County, CA","06085","Male","M",9855
,"Santa Cruz County, CA","06087","Female","F",1153
,"Santa Cruz County, CA","06087","Male","M",1152
,"Shasta County, CA","06089","Female","F",872
,"Shasta County, CA","06089","Male","M",904
,"Solano County, CA","06095","Female","F",2346
,"Solano County, CA","06095","Male","M",2505
,"Sonoma County, CA","06097","Female","F",2264
,"Sonoma County, CA","06097","Male","M",2204
,"Stanislaus County, CA","06099","Female","F",3471
,"Stanislaus County, CA","06099","Male","M",3600
,"Tulare County, CA","06107","Female","F",3424
,"Tulare County, CA","06107","Male","M",3377
,"Ventura County, CA","06111","Female","F",4280
,"Ventura County, CA","06111","Male","M",4362
,"Yolo County, CA","06113","Female","F",951
,"Yolo County, CA","06113","Male","M",976
,"Unidentified Counties, CA","06999","Female","F",4939
,"Unidentified Counties, CA","06999","Male","M",5048
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: California (06)"
"Year: 2022"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 4:50:44 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 4:50:44 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
