"Notes","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code",Births
,"Alabama","01","Vaginal","1",38108
,"Alabama","01","Cesarean","2",20037
,"Alabama","01","Unknown or Not Stated","9",Suppressed
,"Alaska","02","Vaginal","1",7233
,"Alaska","02","Cesarean","2",2125
,"Alaska","02","Unknown or Not Stated","9",Suppressed
,"Arizona","04","Vaginal","1",56055
,"Arizona","04","Cesarean","2",22489
,"Arizona","04","Unknown or Not Stated","9",Suppressed
,"Arkansas","05","Vaginal","1",23532
,"Arkansas","05","Cesarean","2",11938
,"Arkansas","05","Unknown or Not Stated","9",Suppressed
,"California","06","Vaginal","1",289192
,"California","06","Cesarean","2",129910
,"California","06","Unknown or Not Stated","9",Suppressed
,"Colorado","08","Vaginal","1",44992
,"Colorado","08","Cesarean","2",17387
,"Colorado","08","Unknown or Not Stated","9",Suppressed
,"Connecticut","09","Vaginal","1",22895
,"Connecticut","09","Cesarean","2",12437
,"Connecticut","09","Unknown or Not Stated","9",0
,"Delaware","10","Vaginal","1",7358
,"Delaware","10","Cesarean","2",3450
,"Delaware","10","Unknown or Not Stated","9",Suppressed
,"District of Columbia","11","Vaginal","1",5387
,"District of Columbia","11","Cesarean","2",2686
,"District of Columbia","11","Unknown or Not Stated","9",Suppressed
,"Florida","12","Vaginal","1",143713
,"Florida","12","Cesarean","2",80526
,"Florida","12","Unknown or Not Stated","9",194
,"Georgia","13","Vaginal","1",81648
,"Georgia","13","Cesarean","2",44412
,"Georgia","13","Unknown or Not Stated","9",70
,"Hawaii","15","Vaginal","1",11241
,"Hawaii","15","Cesarean","2",4294
,"Hawaii","15","Unknown or Not Stated","9",0
,"Idaho","16","Vaginal","1",16899
,"Idaho","16","Cesarean","2",5480
,"Idaho","16","Unknown or Not Stated","9",12
,"Illinois","17","Vaginal","1",88601
,"Illinois","17","Cesarean","2",39725
,"Illinois","17","Unknown or Not Stated","9",24
,"Indiana","18","Vaginal","1",55363
,"Indiana","18","Cesarean","2",24282
,"Indiana","18","Unknown or Not Stated","9",Suppressed
,"Iowa","19","Vaginal","1",25718
,"Iowa","19","Cesarean","2",10788
,"Iowa","19","Unknown or Not Stated","9",0
,"Kansas","20","Vaginal","1",24045
,"Kansas","20","Cesarean","2",10352
,"Kansas","20","Unknown or Not Stated","9",Suppressed
,"Kentucky","21","Vaginal","1",34242
,"Kentucky","21","Cesarean","2",18016
,"Kentucky","21","Unknown or Not Stated","9",57
,"Louisiana","22","Vaginal","1",36422
,"Louisiana","22","Cesarean","2",20056
,"Louisiana","22","Unknown or Not Stated","9",Suppressed
,"Maine","23","Vaginal","1",8256
,"Maine","23","Cesarean","2",3835
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Vaginal","1",45160
,"Maryland","24","Cesarean","2",23609
,"Maryland","24","Unknown or Not Stated","9",13
,"Massachusetts","25","Vaginal","1",45749
,"Massachusetts","25","Cesarean","2",22656
,"Massachusetts","25","Unknown or Not Stated","9",179
,"Michigan","26","Vaginal","1",68384
,"Michigan","26","Cesarean","2",33903
,"Michigan","26","Unknown or Not Stated","9",34
,"Minnesota","27","Vaginal","1",44787
,"Minnesota","27","Cesarean","2",19159
,"Minnesota","27","Unknown or Not Stated","9",69
,"Mississippi","28","Vaginal","1",21335
,"Mississippi","28","Cesarean","2",13338
,"Mississippi","28","Unknown or Not Stated","9",Suppressed
,"Missouri","29","Vaginal","1",47964
,"Missouri","29","Cesarean","2",20960
,"Missouri","29","Unknown or Not Stated","9",61
,"Montana","30","Vaginal","1",8145
,"Montana","30","Cesarean","2",3021
,"Montana","30","Unknown or Not Stated","9",Suppressed
,"Nebraska","31","Vaginal","1",17314
,"Nebraska","31","Cesarean","2",7030
,"Nebraska","31","Unknown or Not Stated","9",Suppressed
,"Nevada","32","Vaginal","1",22284
,"Nevada","32","Cesarean","2",10908
,"Nevada","32","Unknown or Not Stated","9",Suppressed
,"New Hampshire","33","Vaginal","1",8199
,"New Hampshire","33","Cesarean","2",3877
,"New Hampshire","33","Unknown or Not Stated","9",Suppressed
,"New Jersey","34","Vaginal","1",69049
,"New Jersey","34","Cesarean","2",33844
,"New Jersey","34","Unknown or Not Stated","9",0
,"New Mexico","35","Vaginal","1",15775
,"New Mexico","35","Cesarean","2",5837
,"New Mexico","35","Unknown or Not Stated","9",Suppressed
,"New York","36","Vaginal","1",136966
,"New York","36","Cesarean","2",70330
,"New York","36","Unknown or Not Stated","9",478
,"North Carolina","37","Vaginal","1",84620
,"North Carolina","37","Cesarean","2",36656
,"North Carolina","37","Unknown or Not Stated","9",286
,"North Dakota","38","Vaginal","1",7079
,"North Dakota","38","Cesarean","2",2488
,"North Dakota","38","Unknown or Not Stated","9",0
,"Ohio","39","Vaginal","1",87933
,"Ohio","39","Cesarean","2",40225
,"Ohio","39","Unknown or Not Stated","9",73
,"Oklahoma","40","Vaginal","1",32631
,"Oklahoma","40","Cesarean","2",15673
,"Oklahoma","40","Unknown or Not Stated","9",28
,"Oregon","41","Vaginal","1",27981
,"Oregon","41","Cesarean","2",11507
,"Oregon","41","Unknown or Not Stated","9",Suppressed
,"Pennsylvania","42","Vaginal","1",89680
,"Pennsylvania","42","Cesarean","2",40442
,"Pennsylvania","42","Unknown or Not Stated","9",130
,"Rhode Island","44","Vaginal","1",6656
,"Rhode Island","44","Cesarean","2",3561
,"Rhode Island","44","Unknown or Not Stated","9",52
,"South Carolina","45","Vaginal","1",38946
,"South Carolina","45","Cesarean","2",18859
,"South Carolina","45","Unknown or Not Stated","9",15
,"South Dakota","46","Vaginal","1",8514
,"South Dakota","46","Cesarean","2",2686
,"South Dakota","46","Unknown or Not Stated","9",Suppressed
,"Tennessee","47","Vaginal","1",55875
,"Tennessee","47","Cesarean","2",26389
,"Tennessee","47","Unknown or Not Stated","9",Suppressed
,"Texas","48","Vaginal","1",254551
,"Texas","48","Cesarean","2",134979
,"Texas","48","Unknown or Not Stated","9",211
,"Utah","49","Vaginal","1",34766
,"Utah","49","Cesarean","2",10987
,"Utah","49","Unknown or Not Stated","9",15
,"Vermont","50","Vaginal","1",3821
,"Vermont","50","Cesarean","2",1495
,"Vermont","50","Unknown or Not Stated","9",0
,"Virginia","51","Vaginal","1",64707
,"Virginia","51","Cesarean","2",30909
,"Virginia","51","Unknown or Not Stated","9",14
,"Washington","53","Vaginal","1",58224
,"Washington","53","Cesarean","2",24608
,"Washington","53","Unknown or Not Stated","9",501
,"West Virginia","54","Vaginal","1",11148
,"West Virginia","54","Cesarean","2",5777
,"West Virginia","54","Unknown or Not Stated","9",Suppressed
,"Wisconsin","55","Vaginal","1",43425
,"Wisconsin","55","Cesarean","2",16474
,"Wisconsin","55","Unknown or Not Stated","9",150
,"Wyoming","56","Vaginal","1",4395
,"Wyoming","56","Cesarean","2",1654
,"Wyoming","56","Unknown or Not Stated","9",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2022"
"Group By: State of Residence; Delivery Method"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 2:13:43 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 2:13:43 PM"
"---"
