"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Bell County, TX","48027","Female","F",2894
,"Bell County, TX","48027","Male","M",3042
,"Bexar County, TX","48029","Female","F",13091
,"Bexar County, TX","48029","Male","M",13699
,"Brazoria County, TX","48039","Female","F",2296
,"Brazoria County, TX","48039","Male","M",2464
,"Brazos County, TX","48041","Female","F",1273
,"Brazos County, TX","48041","Male","M",1376
,"Cameron County, TX","48061","Female","F",2806
,"Cameron County, TX","48061","Male","M",3032
,"Collin County, TX","48085","Female","F",6614
,"Collin County, TX","48085","Male","M",7036
,"Comal County, TX","48091","Female","F",1040
,"Comal County, TX","48091","Male","M",1163
,"Dallas County, TX","48113","Female","F",17973
,"Dallas County, TX","48113","Male","M",18562
,"Denton County, TX","48121","Female","F",5888
,"Denton County, TX","48121","Male","M",6204
,"Ector County, TX","48135","Female","F",1496
,"Ector County, TX","48135","Male","M",1617
,"Ellis County, TX","48139","Female","F",1397
,"Ellis County, TX","48139","Male","M",1517
,"El Paso County, TX","48141","Female","F",5283
,"El Paso County, TX","48141","Male","M",5520
,"Fort Bend County, TX","48157","Female","F",4582
,"Fort Bend County, TX","48157","Male","M",4818
,"Galveston County, TX","48167","Female","F",1962
,"Galveston County, TX","48167","Male","M",1977
,"Grayson County, TX","48181","Female","F",845
,"Grayson County, TX","48181","Male","M",943
,"Gregg County, TX","48183","Female","F",813
,"Gregg County, TX","48183","Male","M",840
,"Guadalupe County, TX","48187","Female","F",1135
,"Guadalupe County, TX","48187","Male","M",1149
,"Harris County, TX","48201","Female","F",31143
,"Harris County, TX","48201","Male","M",32686
,"Hays County, TX","48209","Female","F",1841
,"Hays County, TX","48209","Male","M",1829
,"Hidalgo County, TX","48215","Female","F",6730
,"Hidalgo County, TX","48215","Male","M",7010
,"Jefferson County, TX","48245","Female","F",1493
,"Jefferson County, TX","48245","Male","M",1578
,"Johnson County, TX","48251","Female","F",1282
,"Johnson County, TX","48251","Male","M",1331
,"Kaufman County, TX","48257","Female","F",1423
,"Kaufman County, TX","48257","Male","M",1570
,"Lubbock County, TX","48303","Female","F",2051
,"Lubbock County, TX","48303","Male","M",2191
,"McLennan County, TX","48309","Female","F",1635
,"McLennan County, TX","48309","Male","M",1695
,"Midland County, TX","48329","Female","F",1595
,"Midland County, TX","48329","Male","M",1648
,"Montgomery County, TX","48339","Female","F",4495
,"Montgomery County, TX","48339","Male","M",4725
,"Nueces County, TX","48355","Female","F",2053
,"Nueces County, TX","48355","Male","M",2198
,"Parker County, TX","48367","Female","F",1022
,"Parker County, TX","48367","Male","M",1074
,"Potter County, TX","48375","Female","F",708
,"Potter County, TX","48375","Male","M",792
,"Randall County, TX","48381","Female","F",926
,"Randall County, TX","48381","Male","M",854
,"Smith County, TX","48423","Female","F",1552
,"Smith County, TX","48423","Male","M",1609
,"Tarrant County, TX","48439","Female","F",13621
,"Tarrant County, TX","48439","Male","M",13859
,"Taylor County, TX","48441","Female","F",961
,"Taylor County, TX","48441","Male","M",961
,"Tom Green County, TX","48451","Female","F",696
,"Tom Green County, TX","48451","Male","M",784
,"Travis County, TX","48453","Female","F",8137
,"Travis County, TX","48453","Male","M",8540
,"Webb County, TX","48479","Female","F",2104
,"Webb County, TX","48479","Male","M",2274
,"Wichita County, TX","48485","Female","F",688
,"Wichita County, TX","48485","Male","M",814
,"Williamson County, TX","48491","Female","F",4564
,"Williamson County, TX","48491","Male","M",4761
,"Unidentified Counties, TX","48999","Female","F",29004
,"Unidentified Counties, TX","48999","Male","M",29974
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Texas (48)"
"Year: 2024"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 3:29:39 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 3:29:39 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
